Entry,Organism (ID),Protein families,Length,Fragment,Source tissues,Toxic dose,PTM Keywords,PTM Summary,Gene Ontology (GO),Gene Ontology (biological process),Gene Ontology (cellular component),Gene Ontology (molecular function),Protein existence,ToxProt definition,Scientific_Name,Phylum,Class,Order,Family,Genus,Species,Habitat,Habitat_Detailed
Q9BJW0,153481,Omega-atracotoxin type 2 family,102,,Venom gland,,Amidation,Disulfide bond:3; Amidation:1,,,,,,both,Hadronyche infensa,Arthropoda,Arachnida,Araneae,Hexathelidae,Hadronyche,Hadronyche infensa,terrestrial,terrestrial
P60991,269628,Spider potassium channel inhibitory toxin family,34,,Venom,,Amidation,Disulfide bond:3; Amidation:1,,,,,,both,Stromatopelma calceatum,Arthropoda,Arachnida,Araneae,Theraphosidae,Stromatopelma,Stromatopelma calceatum,terrestrial,terrestrial
P84470,92438,Contains 1 BPTI/Kunitz inhibitor domain,15,fragment,Venom,LD(50) is 0.22 mg/kg by intravenous injection in mice.,,,,,,,,both,Bungarus candidus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus candidus,terrestrial,terrestrial
P0C246,179874,Spider potassium channel inhibitory toxin family,34,,Venom gland,,Amidation,Disulfide bond:3; Amidation:1,,,,,,both,Psalmopoeus cambridgei,Arthropoda,Arachnida,Araneae,Theraphosidae,Psalmopoeus,Psalmopoeus cambridgei,terrestrial,terrestrial
Q4LCS7,6858,Long (3 C-C) scorpion toxin superfamily,80,,Venom gland,,,Disulfide bond:3,GO:0005576 (extracellular region); GO:0008200 (ion channel inhibitor activity),,GO:0005576 (extracellular region),GO:0008200 (ion channel inhibitor activity),,both,Androctonus australis,Arthropoda,Arachnida,Scorpiones,Buthidae,Androctonus,Androctonus australis,terrestrial,terrestrial
P29186,31164,Sea anemone type 1 potassium channel toxin family,37,,Nematoblast,,,Disulfide bond:3,,,,,,kw_toxin,Bunodosoma granuliferum,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Bunodosoma,Bunodosoma granuliferum,marine,marine
P61103,29017,Huwentoxin-1 family,87,,Venom; Venom gland,PD(50) of HwTx-III is 192.95 +/- 120.84 mg/kg to locusts.,Cleavage on pair of basic residues,,,,,,,both,Cyriopagopus schmidti,Arthropoda,Arachnida,Araneae,Theraphosidae,Cyriopagopus,Cyriopagopus schmidti,terrestrial,terrestrial
Q9DEQ3,8656,Snake toxin family,86,,Venom gland,,,Disulfide bond:4,,,,,,both,Naja atra,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja atra,terrestrial,terrestrial
P11062,6908,Mu-agatoxin family,37,,,,,Disulfide bond:4,,,,,,both,Agelenopsis aperta,Arthropoda,Arachnida,Araneae,Agelenidae,Agelenopsis,Agelenopsis aperta,terrestrial,terrestrial
P36988,33319,Plectoxin family,46,,Venom,,,,,,,,,both,Plectreurys tristis,Arthropoda,Arachnida,Araneae,Plectreuridae,Plectreurys,Plectreurys tristis,terrestrial,terrestrial
O42256,33626,Snake toxin family,86,,Venom gland,,,Disulfide bond:5,,,,,,both,Naja sputatrix,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja sputatrix,terrestrial,terrestrial
P67860,88087,PDGF/VEGF growth factor family,216,,Kidney,,Glycoprotein,Disulfide bond:5; Glycosylation:1,,,,,,venom_tissue,Protobothrops flavoviridis,Chordata,Lepidosauria,Squamata,Viperidae,Protobothrops,Protobothrops flavoviridis,terrestrial,terrestrial
Q9YGJ2,8714,Peptidase S1 family,260,,Venom gland,,Glycoprotein; Zymogen,Disulfide bond:6; Glycosylation:1,,,,,,venom_tissue,Gloydius halys,Chordata,Lepidosauria,Squamata,Viperidae,Gloydius,Gloydius halys,terrestrial,terrestrial
Q9PT40,8709,Peptidase S1 family,260,,Venom gland,,Glycoprotein,Disulfide bond:6; Glycosylation:2,,,,,,venom_tissue,Macrovipera lebetinus,Chordata,Lepidosauria,Squamata,Viperidae,Macrovipera,Macrovipera lebetinus,terrestrial,terrestrial
Q98993,51996,SNTX/VTX toxin family,696,,Venom; Venom gland,,Glycoprotein,,,,,,,both,Synanceia verrucosa,Chordata,Actinopteri,Perciformes,Synanceiidae,Synanceia,Synanceia verrucosa,marine,marine
P07845,6123,Sea anemone actinoporin family,175,,,,,,,,,,,kw_toxin,Stichodactyla helianthus,Cnidaria,Anthozoa,Actiniaria,Stichodactylidae,Stichodactyla,Stichodactyla helianthus,marine,marine
Q27J49,8753,Natriuretic peptide family,239,,Venom; Venom gland,,Cleavage on pair of basic residues; Pyrrolidone carboxylic acid,Pyrrolidone carboxylic acid:4,GO:0045776 (negative regulation of blood pressure); GO:0009405 (pathogenesis); GO:0045777 (positive regulation of blood pressure); GO:0050880 (regulation of blood vessel size); GO:0005576 (extracellular region); GO:0042031 (angiotensin-converting enzyme inhibitor act...),GO:0045776 (negative regulation of blood pressure); GO:0009405 (pathogenesis); GO:0045777 (positive regulation of blood pressure); GO:0050880 (regulation of blood vessel size),GO:0005576 (extracellular region),GO:0042031 (angiotensin-converting enzyme inhibitor act...),,both,Lachesis muta muta,Chordata,Lepidosauria,Squamata,Viperidae,Lachesis,Lachesis muta,terrestrial,terrestrial
Q3SB13,8673,Contains 4 EF-hand domains,156,,Venom gland,,,,,,,,,venom_tissue,Pseudonaja textilis,Chordata,Lepidosauria,Squamata,Elapidae,Pseudonaja,Pseudonaja textilis,terrestrial,terrestrial
Q9NDA6,6494,Contryphan family,63,,Venom duct,,Amidation; Cleavage on pair of basic residues; D-amino acid,Amidation:1; D-amino acid:1,,,,,,both,Conus textile,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus textile,marine,marine
Q8UW25,8781,CRISP family,238,,Venom gland,,,Disulfide bond:8,,,,,,both,Hydrophis hardwickii,Chordata,Lepidosauria,Squamata,Elapidae,Hydrophis,Hydrophis hardwickii,marine,marine
Q9U6Z6,41690,Conotoxin T superfamily,63,,Venom; Venom duct,,Amidation; Cleavage on pair of basic residues,Disulfide bond:2; Amidation:1,,,,,,both,Conus purpurascens,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus purpurascens,marine,marine
O73859,33626,Snake toxin family,62,fragment,Liver,,,Disulfide bond:4,,,,,,both,Naja sputatrix,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja sputatrix,terrestrial,terrestrial
Q98958,8656,Snake toxin family,81,,Venom gland,,,Disulfide bond:4,,,,,,both,Naja atra,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja atra,terrestrial,terrestrial
Q98959,8656,Snake toxin family,81,,Liver; Venom gland,,,Disulfide bond:4,,,,,,both,Naja atra,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja atra,terrestrial,terrestrial
P60309,8656,Snake toxin family,60,,Venom,,,Disulfide bond:4,,,,,,both,Naja atra,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja atra,terrestrial,terrestrial
P0C1W2,6492,Conotoxin A superfamily,15,,,,Amidation,Disulfide bond:2; Amidation:1,,,,,,both,Conus magus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus magus,marine,marine
Q9XZK7,6494,Conotoxin A superfamily,66,,Venom duct,,,Disulfide bond:2,,,,,,both,Conus textile,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus textile,marine,marine
P28879,6493,Conotoxin A superfamily,72,,Venom; Venom duct,,,Disulfide bond:3,,,,,,both,Conus striatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus striatus,marine,marine
P58845,6494,Conotoxin O superfamily,23,,,,Amidation,Disulfide bond:3; Amidation:1,,,,,,both,Conus textile,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus textile,marine,marine
P24778,8626,Snake toxin family,63,,Venom,LD(50) is 33.5 mg/kg by intravenous injection.,,Disulfide bond:4,,,,,,both,Hemachatus haemachatus,Chordata,Lepidosauria,Squamata,Elapidae,Hemachatus,Hemachatus haemachatus,terrestrial,terrestrial
Q7Z096,61198,Conotoxin I1 superfamily,80,,Venom; Venom duct,,Bromination; Cleavage on pair of basic residues; D-amino acid; Hydroxylation,Hydroxylation:3; Bromination:1; D-amino acid:1,,,,,,both,Conus radiatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus radiatus,marine,marine
P17684,6495,Conantokin family,21,,Venom,,Amidation; Gamma-carboxyglutamic acid,Gamma-carboxyglutamic acid:4; Amidation:1,,,,,,both,Conus tulipa,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus tulipa,marine,marine
P58926,37335,Conotoxin M superfamily,17,,,,,Disulfide bond:3,,,,,,both,Conus pennaceus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus pennaceus,marine,marine
Q5K0C7,89427,Conotoxin O superfamily,79,,Venom duct,,,Disulfide bond:3,,,,,,both,Conus virgo,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus virgo,marine,marine
P56714,6494,Conotoxin O superfamily,26,,Venom,,,Disulfide bond:3,,,,,,both,Conus textile,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus textile,marine,marine
Q5G8B7,309814,,63,,Venom gland,,,Disulfide bond:3,,,,,,venom_tissue,Tityus costatus,Arthropoda,Arachnida,Scorpiones,Buthidae,Tityus,Tityus costatus,terrestrial,terrestrial
Q805F7,8713,Disintegrin family,111,,Venom,,,Disulfide bond:6,GO:0007155 (cell adhesion); GO:0030195 (negative regulation of blood coagulation),GO:0007155 (cell adhesion); GO:0030195 (negative regulation of blood coagulation),,,,venom_tissue,Agkistrodon contortrix contortrix,Chordata,Lepidosauria,Squamata,Viperidae,Agkistrodon,Agkistrodon contortrix,terrestrial,terrestrial
Q805F4,8716,Contains 1 disintegrin domain,483,,Venom,,Zymogen,Disulfide bond:9,,,,,,venom_tissue,Agkistrodon piscivorus piscivorus,Chordata,Lepidosauria,Squamata,Viperidae,Agkistrodon,Agkistrodon piscivorus,terrestrial,terrestrial
P17347,40353,Disintegrin family,49,,Venom,,Pyrrolidone carboxylic acid,Disulfide bond:4; Pyrrolidone carboxylic acid:1,,,,,,venom_tissue,Echis carinatus,Chordata,Lepidosauria,Squamata,Viperidae,Echis,Echis carinatus,terrestrial,terrestrial
P82807,70142,Peptidase S1 family,98,,Venom,,Gamma-carboxyglutamic acid,Gamma-carboxyglutamic acid:11; Disulfide bond:3,GO:0003804 (coagulation factor Xa activity),,,GO:0003804 (coagulation factor Xa activity),,both,Notechis scutatus scutatus,Chordata,Lepidosauria,Squamata,Elapidae,Notechis,Notechis scutatus,terrestrial,terrestrial
Q76CA1,230562,Contains 1 EGF-like domain,86,,Nematoblast,PD(50) is 215 ug/kg to crabs. LD(50) is >1000 ug/kg to crabs.,Cleavage on pair of basic residues,Disulfide bond:3,,,,,,kw_toxin,Stichodactyla gigantea,Cnidaria,Anthozoa,Actiniaria,Stichodactylidae,Stichodactyla,Stichodactyla gigantea,marine,marine
P14530,88087,Contains 1 disintegrin domain,478,,Venom; Venom gland,,Pyrrolidone carboxylic acid,Disulfide bond:9; Pyrrolidone carboxylic acid:1,,,,,,venom_tissue,Protobothrops flavoviridis,Chordata,Lepidosauria,Squamata,Viperidae,Protobothrops,Protobothrops flavoviridis,terrestrial,terrestrial
P84192,6887,,24,,Venom,,,,,,,,,venom_tissue,Tityus serrulatus,Arthropoda,Arachnida,Scorpiones,Buthidae,Tityus,Tityus serrulatus,terrestrial,terrestrial
P00984,8620,Contains 1 BPTI/Kunitz inhibitor domain,59,,Venom,,,Disulfide bond:3,,,,,,venom_tissue,Dendraspis polylepis polylepis,Chordata,Lepidosauria,Squamata,Elapidae,Dendroaspis,Dendroaspis polylepis,terrestrial,terrestrial
O46028,6878,Short scorpion toxin superfamily,62,,Venom gland,LD(50) is 25 ug/kg by intracerebroventricular injection into mice.,Amidation,Disulfide bond:3; Amidation:1,,,,,,both,Centruroides noxius,Arthropoda,Arachnida,Scorpiones,Buthidae,Centruroides,Centruroides noxius,terrestrial,terrestrial
P0C1X6,57059,Short scorpion toxin superfamily,36,,Venom,,,Disulfide bond:3,,,,,,both,Tityus discrepans,Arthropoda,Arachnida,Scorpiones,Buthidae,Tityus,Tityus discrepans,terrestrial,terrestrial
Q9TXD1,6878,Short scorpion toxin superfamily,38,,Venom,,,Disulfide bond:3,,,,,,both,Centruroides noxius,Arthropoda,Arachnida,Scorpiones,Buthidae,Centruroides,Centruroides noxius,terrestrial,terrestrial
Q10726,55084,Short scorpion toxin superfamily,35,,Venom,,,Disulfide bond:4,,,,,,both,Pandinus imperator,Arthropoda,Arachnida,Scorpiones,Scorpionidae,Pandinus,Pandinus imperator,terrestrial,terrestrial
Q86QV1,217898,Ergtoxin family,47,,Venom gland,,,Disulfide bond:4,,,,,,both,Centruroides gracilis,Arthropoda,Arachnida,Scorpiones,Buthidae,Centruroides,Centruroides gracilis,terrestrial,terrestrial
P58910,170972,Long (4 C-C) scorpion toxin superfamily,63,,Venom,,,Disulfide bond:4,,,,,,both,Parabuthus transvaalicus,Arthropoda,Arachnida,Scorpiones,Buthidae,Parabuthus,Parabuthus transvaalicus,terrestrial,terrestrial
Q1ELU1,379576,Latarcin family,84,,Venom; Venom gland,,,,,,,,,both,Lachesana tarabaevi,Arthropoda,Arachnida,Araneae,Zodariidae,Lachesana,Lachesana tarabaevi,terrestrial,terrestrial
P01516,7445,MCD family,14,,Venom,,Amidation,Amidation:1,,,,,,venom_tissue,Vespa crabro,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespa,Vespa crabro,terrestrial,terrestrial
P24333,8732,Snake toxin myotoxin family,65,,Venom gland,,,Disulfide bond:3,,,,,,both,Crotalus durissus terrificus,Chordata,Lepidosauria,Squamata,Viperidae,Crotalus,Crotalus durissus,terrestrial,terrestrial
Q3HXX8,100989,NGF-beta family,245,,Venom gland,,Cleavage on pair of basic residues; Glycoprotein,Disulfide bond:3; Glycosylation:2,,,,,,venom_tissue,Tropidechis carinatus,Chordata,Lepidosauria,Squamata,Elapidae,Tropidechis,Tropidechis carinatus,terrestrial,terrestrial
P01526,6221,Worm B-toxin family,55,,,,Hydroxylation,Disulfide bond:4; Hydroxylation:1,,,,,,kw_toxin,Cerebratulus lacteus,Nemertea,Pilidiophora,Heteronemertea,Lineidae,Cerebratulus,Cerebratulus lacteus,marine,marine
P01389,263737,Snake toxin family,72,,Venom,LD(50) is 0.067 mg/kg by subcutaneous injection.,,Disulfide bond:5,,,,,,both,Naja anchietae,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja anchietae,terrestrial,terrestrial
P13495,8673,Snake toxin family,71,,Venom,LD(50) is 0.015 mg/kg by intraperitoneal injection into mice.,,Disulfide bond:5,,,,,,both,Pseudonaja textilis,Chordata,Lepidosauria,Squamata,Elapidae,Pseudonaja,Pseudonaja textilis,terrestrial,terrestrial
P60774,8660,Snake toxin family,61,,Venom,,,Disulfide bond:4,,,,,,both,Naja samarensis,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja samarensis,terrestrial,terrestrial
Q9YGJ5,33626,Snake toxin family,83,,Liver,,,Disulfide bond:4,,,,,,both,Naja sputatrix,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja sputatrix,terrestrial,terrestrial
P0C2D7,31156,Flavin monoamine oxidase family,88,,Venom,,Glycoprotein,,,,,,,both,Vipera berus berus,Chordata,Lepidosauria,Squamata,Viperidae,Vipera,Vipera berus,terrestrial,terrestrial
P00611,8631,Phospholipase A2 family,145,,Liver; Venom,,,Disulfide bond:7,,,,,,venom_tissue,Laticauda semifasciata,Chordata,Lepidosauria,Squamata,Elapidae,Laticauda,Laticauda semifasciata,marine,marine
Q45Z27,100989,Phospholipase A2 family,151,,Venom gland,,,Disulfide bond:7,,,,,,both,Tropidechis carinatus,Chordata,Lepidosauria,Squamata,Elapidae,Tropidechis,Tropidechis carinatus,terrestrial,terrestrial
P59071,97228,Phospholipase A2 family,121,,Venom,LD(50) is 5.3 mg/kg body weight by intraperitoneal injection into mice.,,Disulfide bond:7,,,,,,both,Daboia russelii pulchella,Chordata,Lepidosauria,Squamata,Viperidae,Daboia,Daboia russelii,terrestrial,terrestrial
Q90W39,103944,Phospholipase A2 family,138,,Venom; Venom gland,LD(50) is 1.2 mg/kg by intravenous injection into mice.,,Disulfide bond:7,,,,,,both,Protobothrops mucrosquamatus,Chordata,Lepidosauria,Squamata,Viperidae,Protobothrops,Protobothrops mucrosquamatus,terrestrial,terrestrial
P11407,8705,Phospholipase A2 family,138,,Venom; Venom gland,,,Disulfide bond:7,,,,,,kw_toxin,Vipera ammodytes ammodytes,Chordata,Lepidosauria,Squamata,Viperidae,Vipera,Vipera ammodytes,terrestrial,terrestrial
P00622,8693,Phospholipase A2 family,121,,Venom,LD(50) is 0.18 mg/kg by intraperitoneal injection.,,Disulfide bond:7,,,,,,kw_toxin,Bitis caudalis,Chordata,Lepidosauria,Squamata,Viperidae,Bitis,Bitis caudalis,terrestrial,terrestrial
P82815,34649,Long (4 C-C) scorpion toxin superfamily,65,,Venom,,,Disulfide bond:4,,,,,,both,Olivierus martensii,Arthropoda,Arachnida,Scorpiones,Buthidae,Olivierus,Olivierus martensii,terrestrial,terrestrial
Q95WD2,218467,Long (4 C-C) scorpion toxin superfamily,87,,Venom gland,,Amidation,Disulfide bond:4; Amidation:1,,,,,,both,Centruroides sculpturatus,Arthropoda,Arachnida,Scorpiones,Buthidae,Centruroides,Centruroides sculpturatus,terrestrial,terrestrial
P60277,34647,Long (4 C-C) scorpion toxin superfamily,64,,,,,Disulfide bond:4,,,,,,both,Hottentotta tamulus,Arthropoda,Arachnida,Scorpiones,Buthidae,Hottentotta,Hottentotta tamulus,terrestrial,terrestrial
P60253,190115,Scorpion calcine family,66,,Venom gland,,Cleavage on pair of basic residues,Disulfide bond:3,,,,,,both,Opistophthalmus carinatus,Arthropoda,Arachnida,Scorpiones,Scorpionidae,Opistophthalmus,Opistophthalmus carinatus,terrestrial,terrestrial
P60266,6881,Long (4 C-C) scorpion toxin superfamily,66,,Venom,,Amidation,Disulfide bond:4; Amidation:1,,,,,,both,Centruroides suffusus suffusus,Arthropoda,Arachnida,Scorpiones,Buthidae,Centruroides,Centruroides suffusus,terrestrial,terrestrial
Q1I164,57059,Long (4 C-C) scorpion toxin superfamily,73,fragment,Venom gland,,Amidation,Disulfide bond:4; Amidation:1,,,,,,both,Tityus discrepans,Arthropoda,Arachnida,Scorpiones,Buthidae,Tityus,Tityus discrepans,terrestrial,terrestrial
P60256,6869,Long (4 C-C) scorpion toxin superfamily,66,,Single abdominal segment,,,Disulfide bond:4,,,,,,both,Buthus occitanus mardochei,Arthropoda,Arachnida,Scorpiones,Buthidae,Buthus,Buthus occitanus,terrestrial,terrestrial
P82813,42519,Long (4 C-C) scorpion toxin superfamily,61,,Venom,,,Disulfide bond:4,,,,,,both,Hottentotta tamulus,Arthropoda,Arachnida,Scorpiones,Buthidae,Hottentotta,Hottentotta tamulus,terrestrial,terrestrial
O77091,34649,Long (4 C-C) scorpion toxin superfamily,90,,Venom; Venom gland,PD(50) is 0.49 ng/mg in gryllus bimaculatus crickets.,,Disulfide bond:4,,,,,,both,Olivierus martensii,Arthropoda,Arachnida,Scorpiones,Buthidae,Olivierus,Olivierus martensii,terrestrial,terrestrial
Q5D230,278061,MIT-like ACTX family,88,fragment,Venom; Venom gland,,Pyrrolidone carboxylic acid,Disulfide bond:5; Pyrrolidone carboxylic acid:1,,,,,,venom_tissue,Hadronyche sp. 20,Arthropoda,Arachnida,Araneae,Hexathelidae,Hadronyche,Hadronyche sp. 20,terrestrial,terrestrial
P82228,6904,Janus-atracotoxin family,37,,Venom,,,Disulfide bond:4,,,,,,both,Hadronyche versuta,Arthropoda,Arachnida,Araneae,Hexathelidae,Hadronyche,Hadronyche versuta,terrestrial,terrestrial
P01410,8618,Snake toxin family,62,,Venom,,,,,,,,,both,Dendroaspis angusticeps,Chordata,Lepidosauria,Squamata,Elapidae,Dendroaspis,Dendroaspis angusticeps,terrestrial,terrestrial
P84016,272752,Spider neurotoxin 21C2 family,32,,Venom,,,,,,,,,venom_tissue,Phoneutria reidyi,Arthropoda,Arachnida,Araneae,Ctenidae,Phoneutria,Phoneutria reidyi,terrestrial,terrestrial
P84014,272752,Spider toxin Tx3 family,55,,Venom,,,,,,,,,both,Phoneutria reidyi,Arthropoda,Arachnida,Araneae,Ctenidae,Phoneutria,Phoneutria reidyi,terrestrial,terrestrial
P83910,272754,Spider neurotoxin 27C3 family,36,,Venom,,,,,,,,,both,Phoneutria keyserlingi,Arthropoda,Arachnida,Araneae,Ctenidae,Phoneutria,Phoneutria keyserlingi,terrestrial,terrestrial
Q76DT2,227975,Contains 1 EGF-like domain,498,,Nematoblast,,,Disulfide bond:3,,,,,,kw_toxin,Actineria villosa,Cnidaria,Anthozoa,Actiniaria,Aliciidae,Actineria,Actineria villosa,marine,marine
P01530,6112,Sea anemone sodium channel inhibitory toxin family,49,,,,,Disulfide bond:3,,,,,,kw_toxin,Anthopleura xanthogrammica,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,Anthopleura xanthogrammica,marine,marine
P22947,8620,Snake toxin family,60,,Venom,,,Disulfide bond:4,,,,,,both,Dendraspis polylepis polylepis,Chordata,Lepidosauria,Squamata,Elapidae,Dendroaspis,Dendroaspis polylepis,terrestrial,terrestrial
P0C1Y9,8618,Snake toxin family,61,,,,,Disulfide bond:4,,,,,,both,Dendroaspis angusticeps,Chordata,Lepidosauria,Squamata,Elapidae,Dendroaspis,Dendroaspis angusticeps,terrestrial,terrestrial
P58426,152925,Spider potassium channel inhibitory toxin family,30,,Venom,,Amidation,Disulfide bond:3; Amidation:1,,,,,,both,Heteropoda venatoria,Arthropoda,Arachnida,Araneae,Sparassidae,Heteropoda,Heteropoda venatoria,terrestrial,terrestrial
P81031,8618,Snake toxin family,65,,,,,Disulfide bond:4,,,,,,both,Dendroaspis angusticeps,Chordata,Lepidosauria,Squamata,Elapidae,Dendroaspis,Dendroaspis angusticeps,terrestrial,terrestrial
P36989,33319,,46,,Venom,,,,,,,,,both,Plectreurys tristis,Arthropoda,Arachnida,Araneae,Plectreuridae,Plectreurys,Plectreurys tristis,terrestrial,terrestrial
P01401,8642,Snake toxin family,65,,Venom,LD(50) is 13.4 mg/kg by subcutaneous injection.,,Disulfide bond:5,,,,,,both,Naja haje haje,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja haje,terrestrial,terrestrial
P82885,8649,Vespryn family,108,,Venom,,,,,,,,,venom_tissue,Naja kaouthia,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja kaouthia,terrestrial,terrestrial
Q9U6X1,38281,Sea anemone actinoporin family,211,,,,Cleavage on pair of basic residues,,,,,,,kw_toxin,Heteractis magnifica,Cnidaria,Anthozoa,Actiniaria,Stichodactylidae,Heteractis,Heteractis magnifica,marine,marine
P0C1X7,57059,Long (4 C-C) scorpion toxin superfamily,83,,Venom; Venom gland,,Amidation,Disulfide bond:4; Amidation:1,,,,,,both,Tityus discrepans,Arthropoda,Arachnida,Scorpiones,Buthidae,Tityus,Tityus discrepans,terrestrial,terrestrial
P10521,28643,MCD family,17,,Venom,,Amidation,Amidation:1,,,,,,venom_tissue,Bombus pensylvanicus,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus pensylvanicus,terrestrial,terrestrial
P0C249,257329,Contryphan family,8,,,,Amidation; D-amino acid; Hydroxylation,Amidation:1; D-amino acid:1; Disulfide bond:1,,,,,,both,Conus inscriptus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus inscriptus,marine,marine
P81992,29156,CRISP family,28,fragment,Venom,,,,,,,,,both,Austrelaps superbus,Chordata,Lepidosauria,Squamata,Elapidae,Austrelaps,Austrelaps superbus,terrestrial,terrestrial
P0C2F2,351660,Conotoxin T superfamily,11,,Venom,,Bromination,Disulfide bond:2; Bromination:1,,,,,,both,Conus monile,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus monile,marine,marine
P69765,319920,Conotoxin T superfamily,54,fragment,Venom; Venom duct,,Amidation; Hydroxylation,Disulfide bond:2; Amidation:1; Hydroxylation:1,,,,,,both,Conus victoriae,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus victoriae,marine,marine
Q91124,8656,Snake toxin family,81,,Venom gland,,,Disulfide bond:4,,,,,,both,Naja atra,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja atra,terrestrial,terrestrial
P01455,8641,Snake toxin family,60,,Venom,LD(50) is 3 mg/kg by intravenous injection.,,Disulfide bond:4,,,,,,both,Naja annulifera,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja annulifera,terrestrial,terrestrial
Q98960,8656,Snake toxin family,81,,Venom gland,,,Disulfide bond:4,,,,,,both,Naja atra,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja atra,terrestrial,terrestrial
P01464,8641,Snake toxin family,60,,Venom,LD(50) is 1.82 mg/kg by intravenous injection.,,Disulfide bond:4,,,,,,both,Naja annulifera,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja annulifera,terrestrial,terrestrial
P0C1V8,101285,Conotoxin A superfamily,17,,Venom,,Amidation; Sulfation,Disulfide bond:2; Amidation:1; Sulfation:1,,,,,,both,Conus anemone,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus anemone,marine,marine
P69748,319919,Conotoxin O superfamily,27,,Venom duct,,Hydroxylation,Disulfide bond:3; Hydroxylation:1,,,,,,both,Conus aurisiacus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus aurisiacus,marine,marine
P62377,35670,Snake toxin family,62,,Venom,LD(50) is 60 mg/kg by subcutaneous injection.,,Disulfide bond:4,,,,,,both,Naja naja,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja naja,terrestrial,terrestrial
Q7Z094,61198,Conotoxin I1 superfamily,46,,Venom; Venom duct,,Bromination; D-amino acid; Hydroxylation,Hydroxylation:3; Bromination:1; D-amino acid:1,,,,,,both,Conus radiatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus radiatus,marine,marine
P58809,42752,Conotoxin T superfamily,12,,Venom,,Hydroxylation,Disulfide bond:2; Hydroxylation:1,,,,,,both,Conus marmoreus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus marmoreus,marine,marine
P0C260,101318,,14,,Venom,,Amidation; D-amino acid,Amidation:1; D-amino acid:1,,,,,,both,Conus planorbis,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus planorbis,marine,marine
Q3YEG3,69564,Conotoxin O superfamily,82,,Venom duct,,Cleavage on pair of basic residues,Disulfide bond:3,,,,,,both,Conus miles,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus miles,marine,marine
Q3YEE3,69564,Conotoxin O superfamily,83,,Venom duct,,,Disulfide bond:3,,,,,,both,Conus miles,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus miles,marine,marine
P83254,8709,Disintegrin family,64,,Venom,,,Disulfide bond:6,GO:0007155 (cell adhesion); GO:0030195 (negative regulation of blood coagulation),GO:0007155 (cell adhesion); GO:0030195 (negative regulation of blood coagulation),,,,venom_tissue,Macrovipera lebetinus,Chordata,Lepidosauria,Squamata,Viperidae,Macrovipera,Macrovipera lebetinus,terrestrial,terrestrial
P31990,8753,Disintegrin family,73,,Venom,,,Disulfide bond:1,,,,,,venom_tissue,Lachesis muta muta,Chordata,Lepidosauria,Squamata,Viperidae,Lachesis,Lachesis muta,terrestrial,terrestrial
