Entry,Organism (ID),Protein families,Length,Fragment,Toxic dose,PTM Summary,PTM,Gene Ontology (GO),Gene Ontology (molecular function),Protein existence,Scientific_Name,Phylum,Class,Order,Family,Genus,Species,Habitat,Habitat_Detailed
P69657,89438,Conotoxin A superfamily,60,,,DISULFID:2; MOD_RES:1,Post-translational modification of Pro-50 into hydroxyproline [P50O] induces a 9-fold decrease in inhibition of alpha-6/alpha-3-beta- 2-beta-3 (CHRNA6/CHRNA3-CHRNB2-CHRNB3) and a 4-fold decrease in inhibition of alpha-6/alpha-3-beta-4 (CHRNA6/CHRNA3-CHRNB4). {ECO:0000269|PubMed:20739611}.,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Conus bullatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus bullatus,marine,marine
P56973,101297,Conotoxin A superfamily,64,,,DISULFID:2; MOD_RES:2,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Conus consors,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus consors,marine,marine
D4HPD6,101291,Conotoxin A superfamily,59,,PD(50) is 110 ug/kg into zebrafish. {ECO:0000269|PubMed:29857567}.,DISULFID:2; MOD_RES:1,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Conus catus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus catus,marine,marine
P56638,88764,Conotoxin A superfamily,56,,,DISULFID:2; MOD_RES:2,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Conus episcopatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus episcopatus,marine,marine
P50982,55423,Conotoxin A superfamily,62,,,DISULFID:2; MOD_RES:2,,GO:0044504 (modulation of receptor activity in other organism); GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Conus ermineus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus ermineus,marine,marine
A6M938,101306,Conotoxin A superfamily,45,fragment,,DISULFID:2; MOD_RES:1,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Conus leopardus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus leopardus,marine,marine
X1WB75,1077918,Conotoxin A superfamily,18,,,DISULFID:2,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Conasprella longurionis,Mollusca,Gastropoda,Neogastropoda,Conidae,Conasprella,Conasprella longurionis,marine,marine
L8BU87,89426,Conotoxin A superfamily,37,fragment,,DISULFID:2; MOD_RES:1,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology;,Conus lividus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus lividus,marine,marine
P0DL68,1967283,Conotoxin A superfamily,17,,,DISULFID:2; MOD_RES:1,"Amidation at Cys-17 plays a critical role, since a C-terminally carboxylated analog of this toxin is 3-fold less porent at the alpha-7 subtype and 3-fold more potent at the alpha-3-beta-2 subtype. {ECO:0000269|PubMed:23924607}.",GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Conus limpusi,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus limpusi,marine,marine
P0C1W1,6492,Conotoxin A superfamily,15,,,DISULFID:2; MOD_RES:1,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Conus magus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus magus,marine,marine
P0DQQ6,2825866,Conotoxin A superfamily,14,,,DISULFID:2; MOD_RES:1,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Conus milneedwardsi,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus milneedwardsi,marine,marine
P0C1R7,89429,Conotoxin A superfamily,17,,,DISULFID:2; MOD_RES:1,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Conus omaria,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus omaria,marine,marine
P50984,37335,Conotoxin A superfamily,16,,,DISULFID:2; MOD_RES:2,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Conus pennaceus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus pennaceus,marine,marine
Q1L777,330676,Conotoxin A superfamily,38,fragment,,DISULFID:2; MOD_RES:1,"A non-modified residue at position Pro-34 is critical, since a hydroxylation at this position decreases potency of the toxin to inhibit alpha-3-beta-2 (1-45-fold) and increases potency to inhibit alpha-6/alpha-3-beta-2-beta-3 (1.77-fold) nAChRs. {ECO:0000269|PubMed:23846688}.",GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0005246 (calcium channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0005246 (calcium channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology;,Conus pergrandis,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus pergrandis,marine,marine
P69658,41690,Conotoxin A superfamily,40,fragment,,DISULFID:2; MOD_RES:1,,GO:2000272 (negative regulation of signaling receptor activity); GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Conus purpurascens,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus purpurascens,marine,marine
P0C1D0,101314,Conotoxin A superfamily,32,fragment,,DISULFID:2,"The disulfide bond CysI-CysIII is important for alpha-9-alpha-10 subtype inhibition, whereas the bond CysII-CysIV contributes to GABA(B) modulation. {ECO:0000269|PubMed:25393758}.",GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Conus regius,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus regius,marine,marine
P28878,6493,Conotoxin A superfamily,13,,,DISULFID:2; MOD_RES:1,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Conus striatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus striatus,marine,marine
P0DM21,6494,Conotoxin A superfamily,56,,,DISULFID:2; MOD_RES:3,"Exists in 4 different forms, depending on hydroxylations. Tx1a-PP does not contain hydroxyproline, tx1a-OP has one hydroxyproline at position 45, tx1a-PO has one hydroxyproline at position 46, and tx1a-PP has two hydroxyprolines at positions 45 and 46. {ECO:0000269|PubMed:23031820}.",GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Conus textile,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus textile,marine,marine
P0CI05,909294,Conotoxin A superfamily,16,,,DISULFID:2; MOD_RES:2,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Conus tinianus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus tinianus,marine,marine
P58811,6495,Conotoxin A superfamily,58,,,DISULFID:2; MOD_RES:1,,GO:0005576 (extracellular region); GO:0090729 (toxin activity),GO:0090729 (toxin activity),1: Evidence at protein level;,Conus tulipa,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus tulipa,marine,marine
P69747,319920,Conotoxin A superfamily,66,,,DISULFID:2; MOD_RES:3,[C3S]Vc1.1(1-8) mutant is C-terminally amidated. {ECO:0000269|PubMed:26948522}.,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Conus victoriae,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus victoriae,marine,marine
P0C8V4,117992,Conotoxin A superfamily,17,,,DISULFID:2; MOD_RES:1,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Conus ventricosus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus ventricosus,marine,marine
F5C0A0,89427,Conotoxin A superfamily,62,,,DISULFID:2,The toxin is inactive on the alpha-3-beta-2 nAChR when the disulfide bond connectivity is C1-C4 and C2-C3 (ViIA-I) (IC(50)>10000 nM). {ECO:0000269|PubMed:26511093}.,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Conus virgo,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus virgo,marine,marine
P56640,89437,Conotoxin A superfamily,58,,,DISULFID:2; MOD_RES:1,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Conus aulicus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus aulicus,marine,marine
P0C1V7,101285,Conotoxin A superfamily,17,,,DISULFID:2; MOD_RES:2,"Sulfation at Tyr-16 is important for activity, since suppression of this modification induces a 2.3-fold decrease in inhibitory potency on alpha-3-beta-2/CHRNA3-CHRNB2 nAChRs (IC(50)=0.64 nM), and a 11-fold decrease in inhibitory potency on alpha-7/CHRNA7 nAChRs (IC(50)=836 nM). {ECO:0000269|PubMed:14971903}.",GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Conus anemone,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus anemone,marine,marine
C0HLK1,101289,Conotoxin A superfamily,13,,,DISULFID:2; MOD_RES:2,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Conus brunneus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus brunneus,marine,marine
P0DPT2,101291,Conotoxin A superfamily,41,fragment,,DISULFID:2; MOD_RES:1,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Conus catus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus catus,marine,marine
P0C1W2,6492,Conotoxin A superfamily,15,,,DISULFID:2; MOD_RES:1,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Conus magus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus magus,marine,marine
P50985,37335,Conotoxin A superfamily,61,,,DISULFID:2; MOD_RES:2,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Conus pennaceus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus pennaceus,marine,marine
P0C351,41690,Conotoxin A superfamily,16,,,DISULFID:2; MOD_RES:3,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Conus purpurascens,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus purpurascens,marine,marine
P85009,101314,Conotoxin A superfamily,12,,,DISULFID:2; MOD_RES:2,"Occurs in 2 forms, Reg1b has a 4-hydroxyproline at Pro-6, Reg1c contains unmodified proline at Pro-6. {ECO:0000269|PubMed:17153339}.",GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Conus regius,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus regius,marine,marine
K4RNX9,6494,Conotoxin A superfamily,41,fragment,,DISULFID:2; MOD_RES:1,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0090729 (toxin activity),3: Inferred from homology;,Conus textile,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus textile,marine,marine
A0A4P8XV20,117992,Conotoxin A superfamily,42,fragment,,DISULFID:2; MOD_RES:1,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Conus ventricosus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus ventricosus,marine,marine
P0DPL8,6494,Conotoxin A superfamily,62,,,DISULFID:2; MOD_RES:2,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Conus textile,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus textile,marine,marine
P56641,89437,Conotoxin A superfamily,16,,,DISULFID:2; MOD_RES:1,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Conus aulicus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus aulicus,marine,marine
P0C1V8,101285,Conotoxin A superfamily,17,,,DISULFID:2; MOD_RES:2,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Conus anemone,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus anemone,marine,marine
P0C8U4,101297,Conotoxin A superfamily,64,,,DISULFID:2; MOD_RES:2,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Conus consors,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus consors,marine,marine
P0DQQ5,101291,Conotoxin A superfamily,21,,,DISULFID:2,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Conus catus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus catus,marine,marine
Q86RB2,6491,Conotoxin A superfamily,40,fragment,,DISULFID:2; MOD_RES:1,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Conus geographus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus geographus,marine,marine
H9N3R7,89426,Conotoxin A superfamily,31,fragment,,DISULFID:2; MOD_RES:1,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0090729 (toxin activity),3: Inferred from homology;,Conus lividus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus lividus,marine,marine
C0HLM2,41690,Conotoxin A superfamily,14,,,MOD_RES:1,A non-hydroxylated version of this conotoxin has been synthesized. Hydroxylation of Pro-7 seems to increase the inhibition of rodent alpha-1-beta-1-delta-epsilon and alpha-1-beta-1-delta-gamma nAChRs. {ECO:0000269|PubMed:28917942}.,GO:2000272 (negative regulation of signaling receptor activity); GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Conus purpurascens,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus purpurascens,marine,marine
P86261,6494,Conotoxin A superfamily,16,,,DISULFID:2; MOD_RES:1,Contains 2 disulfide bonds. {ECO:0000269|PubMed:19380747}.,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Conus textile,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus textile,marine,marine
P0DKP5,101297,Conotoxin A superfamily,64,,,DISULFID:2; MOD_RES:2,,GO:0005576 (extracellular region); GO:0090729 (toxin activity),GO:0090729 (toxin activity),1: Evidence at protein level;,Conus consors,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus consors,marine,marine
P60274,6491,Conotoxin A superfamily,66,,,DISULFID:2; MOD_RES:2,"An amidation of Cys-63 increases potency against alpha-7/CHRNA7 (2.6-fold) and alpha-3-beta-2/CHRNA3-CHRNB2 (2-fold) nAChR. On the other hand, the peptide has no more activity on alpha-4-beta-2/CHRNA4- CHRNB2 nAChR with an amidated Cys-63. {ECO:0000269|PubMed:19098004}.",GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Conus geographus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus geographus,marine,marine
P85010,101314,Conotoxin A superfamily,12,,,DISULFID:2; MOD_RES:1,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Conus regius,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus regius,marine,marine
K8DWB5,6494,Conotoxin A superfamily,37,fragment,,DISULFID:2; MOD_RES:1,"Unmodified Met-32 is essential for toxin binding to rat alpha-3- beta-4/CHRNA3-CHRNB4 nAChR. An oxidation of this methionine provokes a 13.3-fold decrease in inhibitory potency (IC(50)=245 nM instead of 18 nM). Owing to its potent activity, derivatives of this toxin have a potential in the development of a novel drug. Unfortunately, the oxidation of the methionine is readily to happen during toxin synthesis and oxidation steps as well as under oxidative environment in vivo, which should still be considered to find a solution to this major drawback. {ECO:0000269|PubMed:29925760}.",GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Conus textile,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus textile,marine,marine
P0DKP7,101297,Conotoxin A superfamily,61,,,DISULFID:2; MOD_RES:1,,GO:0005576 (extracellular region); GO:0090729 (toxin activity),GO:0090729 (toxin activity),1: Evidence at protein level;,Conus consors,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus consors,marine,marine
P85011,101314,Conotoxin A superfamily,12,,,DISULFID:2; MOD_RES:2,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Conus regius,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus regius,marine,marine
P85012,101314,Conotoxin A superfamily,13,,,DISULFID:2; MOD_RES:3,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Conus regius,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus regius,marine,marine
P0DKP8,101297,Conotoxin A superfamily,50,fragment,,DISULFID:2; MOD_RES:1,,GO:0005576 (extracellular region); GO:0090729 (toxin activity),GO:0090729 (toxin activity),1: Evidence at protein level;,Conus consors,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus consors,marine,marine
C0HJA8,101314,Conotoxin A superfamily,23,,,DISULFID:2,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Conus regius,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus regius,marine,marine
