Entry,Organism (ID),Protein families,Length,Fragment,Source tissues,Toxic dose,PTM Keywords,PTM Summary,Gene Ontology (GO),Gene Ontology (biological process),Gene Ontology (cellular component),Gene Ontology (molecular function),Protein existence,ToxProt definition,Scientific_Name,Phylum,Class,Order,Family,Genus,Species,Habitat,Habitat_Detailed
O73800,8714,Peptidase S1 family,260,,Venom gland,,Disulfide bond; Glycoprotein; Zymogen,Disulfide bond:6; Glycosylation:3,GO:0009405 (pathogenesis); GO:0006508 (proteolysis); GO:0005576 (extracellular region); GO:0004252 (serine-type endopeptidase activity),GO:0009405 (pathogenesis); GO:0006508 (proteolysis),GO:0005576 (extracellular region),GO:0004252 (serine-type endopeptidase activity),2: Evidence at transcript level,both,Gloydius halys,Chordata,Lepidosauria,Squamata,Viperidae,Gloydius,Gloydius halys,terrestrial,terrestrial
P84746,8726,,12,,Venom,,,,GO:0009405 (pathogenesis); GO:0005576 (extracellular region),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),,1: Evidence at protein level,both,Bothrops jararacussu,Chordata,Lepidosauria,Squamata,Viperidae,Bothrops,Bothrops jararacussu,terrestrial,terrestrial
P58930,8770,Waglerin family,22,,Venom,LD(50) is 0.583 mg/kg by intraperitoneal injection.,Disulfide bond,Disulfide bond:1,GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0030550 (acetylcholine receptor inhibitor activity),1: Evidence at protein level,both,Tropidolaemus wagleri,Chordata,Lepidosauria,Squamata,Viperidae,Tropidolaemus,Tropidolaemus wagleri,terrestrial,terrestrial
B5G6H0,8671,Snake waprin family,74,,Venom gland,,Disulfide bond,Disulfide bond:4,GO:0042742 (defense response to bacterium); GO:0005576 (extracellular region); GO:0030414 (peptidase inhibitor activity),GO:0042742 (defense response to bacterium),GO:0005576 (extracellular region),GO:0030414 (peptidase inhibitor activity),2: Evidence at transcript level,venom_tissue,Pseudechis porphyriacus,Chordata,Lepidosauria,Squamata,Elapidae,Pseudechis,Pseudechis porphyriacus,terrestrial,terrestrial
C0JAT9,571530,SicTox family,273,fragment,Venom gland,,Disulfide bond,Disulfide bond:2,GO:0019835 (cytolysis); GO:0044179 (hemolysis of cells in other organism); GO:0006629 (lipid metabolic process); GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0046872 (metal ion binding); GO:0050290 (sphingomyelin phosphodiesterase D activity),GO:0019835 (cytolysis); GO:0044179 (hemolysis of cells in other organism); GO:0006629 (lipid metabolic process); GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0046872 (metal ion binding); GO:0050290 (sphingomyelin phosphodiesterase D activity),2: Evidence at transcript level,both,Loxosceles spadicea,Arthropoda,Arachnida,Araneae,Sicariidae,Loxosceles,Loxosceles spadicea,terrestrial,terrestrial
C0JAS0,571525,SicTox family,273,fragment,Venom gland,,Disulfide bond,Disulfide bond:2,GO:0019835 (cytolysis); GO:0006071 (glycerol metabolic process); GO:0044179 (hemolysis of cells in other organism); GO:0006629 (lipid metabolic process); GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0008889 (glycerophosphodiester phosphodiesterase activity); GO:0046872 (metal ion binding); GO:0050290 (sphingomyelin phosphodiesterase D activity),GO:0019835 (cytolysis); GO:0006071 (glycerol metabolic process); GO:0044179 (hemolysis of cells in other organism); GO:0006629 (lipid metabolic process); GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0008889 (glycerophosphodiester phosphodiesterase activity); GO:0046872 (metal ion binding); GO:0050290 (sphingomyelin phosphodiesterase D activity),2: Evidence at transcript level,both,Loxosceles hirsuta,Arthropoda,Arachnida,Araneae,Sicariidae,Loxosceles,Loxosceles hirsuta,terrestrial,terrestrial
C0JAV9,571518,SicTox family,273,fragment,Venom gland,,Disulfide bond; Glycoprotein,Disulfide bond:2; Glycosylation:1,GO:0019835 (cytolysis); GO:0006071 (glycerol metabolic process); GO:0044179 (hemolysis of cells in other organism); GO:0006629 (lipid metabolic process); GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0008889 (glycerophosphodiester phosphodiesterase activity); GO:0046872 (metal ion binding); GO:0050290 (sphingomyelin phosphodiesterase D activity),GO:0019835 (cytolysis); GO:0006071 (glycerol metabolic process); GO:0044179 (hemolysis of cells in other organism); GO:0006629 (lipid metabolic process); GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0008889 (glycerophosphodiester phosphodiesterase activity); GO:0046872 (metal ion binding); GO:0050290 (sphingomyelin phosphodiesterase D activity),2: Evidence at transcript level,both,Loxosceles apachea,Arthropoda,Arachnida,Araneae,Sicariidae,Loxosceles,Loxosceles apachea,terrestrial,terrestrial
C0JAZ4,571533,SicTox family,272,fragment,Venom gland,,Disulfide bond,Disulfide bond:2,GO:0019835 (cytolysis); GO:0044179 (hemolysis of cells in other organism); GO:0006629 (lipid metabolic process); GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0046872 (metal ion binding); GO:0050290 (sphingomyelin phosphodiesterase D activity),GO:0019835 (cytolysis); GO:0044179 (hemolysis of cells in other organism); GO:0006629 (lipid metabolic process); GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0046872 (metal ion binding); GO:0050290 (sphingomyelin phosphodiesterase D activity),2: Evidence at transcript level,both,Loxosceles variegata,Arthropoda,Arachnida,Araneae,Sicariidae,Loxosceles,Loxosceles variegata,terrestrial,terrestrial
Q1KY79,58217,SicTox family,285,,Venom gland,LD(50) is 118.5 by intraperitoneal injection into mice.,Disulfide bond,Disulfide bond:1,GO:0019835 (cytolysis); GO:0044179 (hemolysis of cells in other organism); GO:0006629 (lipid metabolic process); GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0046872 (metal ion binding); GO:0050290 (sphingomyelin phosphodiesterase D activity),GO:0019835 (cytolysis); GO:0044179 (hemolysis of cells in other organism); GO:0006629 (lipid metabolic process); GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0046872 (metal ion binding); GO:0050290 (sphingomyelin phosphodiesterase D activity),2: Evidence at transcript level,both,Loxosceles laeta,Arthropoda,Arachnida,Araneae,Sicariidae,Loxosceles,Loxosceles laeta,terrestrial,terrestrial
P39088,38281,Sea anemone actinoporin family,54,fragment,,,,,GO:0006812 (cation transport); GO:0019835 (cytolysis); GO:0052331 (hemolysis of cells in other organism involved in symbiotic interaction); GO:0009405 (pathogenesis); GO:0046931 (pore complex assembly); GO:0042151 (nematocyst); GO:0044218 (other organism cell membrane); GO:0046930 (pore complex); GO:0015267 (channel activity),GO:0006812 (cation transport); GO:0019835 (cytolysis); GO:0052331 (hemolysis of cells in other organism involved in symbiotic interaction); GO:0009405 (pathogenesis); GO:0046931 (pore complex assembly),GO:0042151 (nematocyst); GO:0044218 (other organism cell membrane); GO:0046930 (pore complex),GO:0015267 (channel activity),1: Evidence at protein level,kw_toxin,Heteractis magnifica,Cnidaria,Anthozoa,Actiniaria,Stichodactylidae,Heteractis,Heteractis magnifica,marine,marine
Q86M31,34649,Long (4 C-C) scorpion toxin superfamily,85,,Venom,,Amidation; Disulfide bond,Disulfide bond:4; Amidation:1,GO:0006952 (defense response); GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0019871 (sodium channel inhibitor activity),GO:0006952 (defense response); GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0019871 (sodium channel inhibitor activity),2: Evidence at transcript level,both,Olivierus martensii,Arthropoda,Arachnida,Scorpiones,Buthidae,Olivierus,Olivierus martensii,terrestrial,terrestrial
Q5G8B5,309814,,73,,Venom gland,,Amidation; Cleavage on pair of basic residues,Amidation:1,GO:0042742 (defense response to bacterium); GO:0005576 (extracellular region),GO:0042742 (defense response to bacterium),GO:0005576 (extracellular region),,2: Evidence at transcript level,venom_tissue,Tityus costatus,Arthropoda,Arachnida,Scorpiones,Buthidae,Tityus,Tityus costatus,terrestrial,terrestrial
C0JB47,571532,SicTox family,276,fragment,Venom gland,,Disulfide bond,Disulfide bond:2,GO:0006629 (lipid metabolic process); GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0046872 (metal ion binding); GO:0050290 (sphingomyelin phosphodiesterase D activity),GO:0006629 (lipid metabolic process); GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0046872 (metal ion binding); GO:0050290 (sphingomyelin phosphodiesterase D activity),2: Evidence at transcript level,both,Loxosceles spinulosa,Arthropoda,Arachnida,Araneae,Sicariidae,Loxosceles,Loxosceles spinulosa,terrestrial,terrestrial
C0JB58,571541,SicTox family,275,fragment,Venom gland,,Disulfide bond,Disulfide bond:2,GO:0006629 (lipid metabolic process); GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0046872 (metal ion binding); GO:0050290 (sphingomyelin phosphodiesterase D activity),GO:0006629 (lipid metabolic process); GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0046872 (metal ion binding); GO:0050290 (sphingomyelin phosphodiesterase D activity),2: Evidence at transcript level,both,Sicarius peruensis,Arthropoda,Arachnida,Araneae,Sicariidae,Sicarius,Sicarius peruensis,terrestrial,terrestrial
P83346,92438,Snake three-finger toxin family,65,,Venom,,Disulfide bond,Disulfide bond:4,GO:0009405 (pathogenesis); GO:0005576 (extracellular region),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),,1: Evidence at protein level,both,Bungarus candidus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus candidus,terrestrial,terrestrial
P0C8U5,89446,Conotoxin A superfamily,17,fragment,Venom duct,,Amidation; Disulfide bond,Disulfide bond:2; Amidation:1,GO:0009405 (pathogenesis); GO:0007268 (synaptic transmission); GO:0005576 (extracellular region); GO:0045211 (postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity),GO:0009405 (pathogenesis); GO:0007268 (synaptic transmission),GO:0005576 (extracellular region); GO:0045211 (postsynaptic membrane),GO:0030550 (acetylcholine receptor inhibitor activity),2: Evidence at transcript level,both,Conus monachus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus monachus,marine,marine
P85010,101314,Conotoxin A superfamily,12,,Venom,,Amidation; Disulfide bond,Disulfide bond:2; Amidation:1,GO:0009405 (pathogenesis); GO:0007268 (synaptic transmission); GO:0005576 (extracellular region); GO:0045211 (postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity),GO:0009405 (pathogenesis); GO:0007268 (synaptic transmission),GO:0005576 (extracellular region); GO:0045211 (postsynaptic membrane),GO:0030550 (acetylcholine receptor inhibitor activity),1: Evidence at protein level,both,Conus regius,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus regius,marine,marine
Q8I6R5,35631,Conotoxin A superfamily,17,fragment,Venom duct,,Amidation; Cleavage on pair of basic residues; Disulfide bond,Disulfide bond:2; Amidation:1,GO:0009405 (pathogenesis); GO:0007268 (synaptic transmission); GO:0005576 (extracellular region); GO:0045211 (postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity),GO:0009405 (pathogenesis); GO:0007268 (synaptic transmission),GO:0005576 (extracellular region); GO:0045211 (postsynaptic membrane),GO:0030550 (acetylcholine receptor inhibitor activity),1: Evidence at protein level,both,Conus imperialis,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus imperialis,marine,marine
P60978,269418,Insecticidal toxin ABC family,39,,Venom; Venom gland,,Disulfide bond,Disulfide bond:4,GO:0009405 (pathogenesis); GO:0005576 (extracellular region),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),,1: Evidence at protein level,both,Calisoga sp. US5688764,Arthropoda,Arachnida,Araneae,Nemesiidae,Calisoga,Calisoga sp. US5688764,terrestrial,terrestrial
P58804,61198,,33,,Venom,,Bromination; Disulfide bond; Gamma-carboxyglutamic acid; Hydroxylation,Gamma-carboxyglutamic acid:4; Disulfide bond:3; Hydroxylation:2; Bromination:1,GO:0009405 (pathogenesis); GO:0005576 (extracellular region),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),,1: Evidence at protein level,both,Conus radiatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus radiatus,marine,marine
Q7Z097,61198,Conotoxin I1 superfamily,46,fragment,Venom duct,,D-amino acid; Disulfide bond,Disulfide bond:4; D-amino acid:1,GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0019871 (sodium channel inhibitor activity),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0019871 (sodium channel inhibitor activity),2: Evidence at transcript level,both,Conus radiatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus radiatus,marine,marine
D2DGD9,89445,Conotoxin I3 superfamily,81,,,,Disulfide bond,Disulfide bond:3,GO:0009405 (pathogenesis); GO:0005576 (extracellular region),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),,2: Evidence at transcript level,both,Conus litteratus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus litteratus,marine,marine
P0C1U1,101291,Conotoxin M superfamily,22,,Venom duct,,Amidation; Disulfide bond,Disulfide bond:3; Amidation:1,GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0019871 (sodium channel inhibitor activity),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0019871 (sodium channel inhibitor activity),2: Evidence at transcript level,both,Conus catus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus catus,marine,marine
P0C425,42752,Conotoxin M superfamily,16,,Venom,,Amidation; Disulfide bond,Disulfide bond:3; Amidation:1,GO:0009405 (pathogenesis); GO:0005576 (extracellular region),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),,1: Evidence at protein level,both,Conus marmoreus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus marmoreus,marine,marine
Q5K0B9,35631,Conotoxin O1 superfamily,80,,Venom duct,,Cleavage on pair of basic residues; Disulfide bond,Disulfide bond:3,GO:0009405 (pathogenesis); GO:0007268 (synaptic transmission); GO:0005576 (extracellular region); GO:0042734 (presynaptic membrane); GO:0019855 (calcium channel inhibitor activity),GO:0009405 (pathogenesis); GO:0007268 (synaptic transmission),GO:0005576 (extracellular region); GO:0042734 (presynaptic membrane),GO:0019855 (calcium channel inhibitor activity),2: Evidence at transcript level,both,Conus imperialis,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus imperialis,marine,marine
Q9XZL4,6493,Conotoxin O1 superfamily,72,,Venom duct,,Disulfide bond; Hydroxylation,Disulfide bond:3; Hydroxylation:1,GO:0009405 (pathogenesis); GO:0007268 (synaptic transmission); GO:0005576 (extracellular region); GO:0042734 (presynaptic membrane); GO:0019855 (calcium channel inhibitor activity),GO:0009405 (pathogenesis); GO:0007268 (synaptic transmission),GO:0005576 (extracellular region); GO:0042734 (presynaptic membrane),GO:0019855 (calcium channel inhibitor activity),2: Evidence at transcript level,both,Conus striatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus striatus,marine,marine
Q9UA83,100123,Conotoxin O1 superfamily,70,fragment,Venom duct,,Disulfide bond,Disulfide bond:3,GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0008200 (ion channel inhibitor activity),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0008200 (ion channel inhibitor activity),2: Evidence at transcript level,both,Conus abbreviatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus abbreviatus,marine,marine
Q9UAB2,89426,Conotoxin O1 superfamily,71,fragment,Venom duct,,Disulfide bond,Disulfide bond:3,GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0008200 (ion channel inhibitor activity),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0008200 (ion channel inhibitor activity),2: Evidence at transcript level,both,Conus lividus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus lividus,marine,marine
C8CK77,89439,Conotoxin O2 superfamily,85,,Venom duct,,Disulfide bond,,GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0008200 (ion channel inhibitor activity),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0008200 (ion channel inhibitor activity),2: Evidence at transcript level,both,Conus capitaneus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus capitaneus,marine,marine
P69748,319919,Conotoxin O1 superfamily,78,,Venom duct,,Cleavage on pair of basic residues; Disulfide bond; Hydroxylation,Disulfide bond:3; Hydroxylation:1,GO:0009405 (pathogenesis); GO:0007268 (synaptic transmission); GO:0005576 (extracellular region); GO:0042734 (presynaptic membrane); GO:0019871 (sodium channel inhibitor activity),GO:0009405 (pathogenesis); GO:0007268 (synaptic transmission),GO:0005576 (extracellular region); GO:0042734 (presynaptic membrane),GO:0019871 (sodium channel inhibitor activity),2: Evidence at transcript level,both,Conus aurisiacus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus aurisiacus,marine,marine
Q9NDA5,6494,Contryphan family,63,,Venom duct,,Amidation; D-amino acid; Hydroxylation,Amidation:1; D-amino acid:1; Hydroxylation:1,GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0008200 (ion channel inhibitor activity),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0008200 (ion channel inhibitor activity),2: Evidence at transcript level,both,Conus textile,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus textile,marine,marine
P17237,7495,MCD family,13,,Venom,,Amidation,Amidation:1,GO:0006935 (chemotaxis); GO:0043303 (mast cell degranulation); GO:0005576 (extracellular region),GO:0006935 (chemotaxis); GO:0043303 (mast cell degranulation),GO:0005576 (extracellular region),,1: Evidence at protein level,venom_tissue,Icaria sp.,Arthropoda,Insecta,Hymenoptera,Vespidae,Icaria,Icaria sp.,terrestrial,terrestrial
P84808,8649,CRISP family,13,fragment,Venom,,,,GO:0006952 (defense response); GO:0009405 (pathogenesis); GO:0005576 (extracellular region),GO:0006952 (defense response); GO:0009405 (pathogenesis),GO:0005576 (extracellular region),,1: Evidence at protein level,both,Naja kaouthia,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja kaouthia,terrestrial,terrestrial
A8S6B6,29156,CRISP family,238,,,,Disulfide bond,Disulfide bond:8,GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0019855 (calcium channel inhibitor activity),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0019855 (calcium channel inhibitor activity),2: Evidence at transcript level,both,Austrelaps superbus,Chordata,Lepidosauria,Squamata,Elapidae,Austrelaps,Austrelaps superbus,terrestrial,terrestrial
Q9BPG8,37335,Conotoxin T superfamily,62,,Venom duct,,Amidation; Cleavage on pair of basic residues; Disulfide bond,Disulfide bond:2; Amidation:1,GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0008200 (ion channel inhibitor activity),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0008200 (ion channel inhibitor activity),2: Evidence at transcript level,both,Conus pennaceus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus pennaceus,marine,marine
P0CAZ7,379576,Cytoinsectotoxin family,131,,Venom gland,,,,GO:0019835 (cytolysis); GO:0042742 (defense response to bacterium); GO:0044179 (hemolysis of cells in other organism); GO:0009405 (pathogenesis); GO:0005576 (extracellular region),GO:0019835 (cytolysis); GO:0042742 (defense response to bacterium); GO:0044179 (hemolysis of cells in other organism); GO:0009405 (pathogenesis),GO:0005576 (extracellular region),,2: Evidence at transcript level,both,Lachesana tarabaevi,Arthropoda,Arachnida,Araneae,Zodariidae,Lachesana,Lachesana tarabaevi,terrestrial,terrestrial
Q9BH86,37335,Conotoxin T superfamily,62,,Venom duct,,Amidation; Cleavage on pair of basic residues; Disulfide bond,Disulfide bond:2; Amidation:1,GO:0009405 (pathogenesis); GO:0005576 (extracellular region),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),,2: Evidence at transcript level,both,Conus pennaceus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus pennaceus,marine,marine
Q68IP5,42752,Conotoxin T superfamily,54,fragment,Venom duct,,Cleavage on pair of basic residues; Disulfide bond; Gamma-carboxyglutamic acid,Disulfide bond:2; Gamma-carboxyglutamic acid:1,GO:0009405 (pathogenesis); GO:0005576 (extracellular region),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),,2: Evidence at transcript level,both,Conus marmoreus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus marmoreus,marine,marine
P58807,42752,Conotoxin T superfamily,11,,Venom,,Disulfide bond; Hydroxylation,Disulfide bond:2; Hydroxylation:1,GO:0009405 (pathogenesis); GO:0005576 (extracellular region),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),,1: Evidence at protein level,both,Conus marmoreus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus marmoreus,marine,marine
Q2VBN5,8665,Snake three-finger toxin family,84,,Venom gland,,Disulfide bond,Disulfide bond:4,GO:0019835 (cytolysis); GO:0044179 (hemolysis of cells in other organism); GO:0009405 (pathogenesis); GO:0005576 (extracellular region),GO:0019835 (cytolysis); GO:0044179 (hemolysis of cells in other organism); GO:0009405 (pathogenesis),GO:0005576 (extracellular region),,2: Evidence at transcript level,both,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial,terrestrial
P62375,8656,Snake three-finger toxin family,83,,Venom; Venom gland,,Disulfide bond,Disulfide bond:4,GO:0009405 (pathogenesis); GO:0005576 (extracellular region),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),,1: Evidence at protein level,both,Naja atra,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja atra,terrestrial,terrestrial
P01453,8641,Snake three-finger toxin family,60,,Venom,LD(50) is 4.14 mg/kg by intravenous injection.,Disulfide bond,Disulfide bond:4,GO:0019835 (cytolysis); GO:0009405 (pathogenesis); GO:0005576 (extracellular region),GO:0019835 (cytolysis); GO:0009405 (pathogenesis),GO:0005576 (extracellular region),,1: Evidence at protein level,both,Naja annulifera,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja annulifera,terrestrial,terrestrial
P01440,35670,Snake three-finger toxin family,60,,Venom,,Disulfide bond,Disulfide bond:4,GO:0019835 (cytolysis); GO:0009405 (pathogenesis); GO:0005576 (extracellular region),GO:0019835 (cytolysis); GO:0009405 (pathogenesis),GO:0005576 (extracellular region),,1: Evidence at protein level,both,Naja naja,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja naja,terrestrial,terrestrial
P60307,8656,Snake three-finger toxin family,60,,Venom,,Disulfide bond,Disulfide bond:4,GO:0019835 (cytolysis); GO:0009405 (pathogenesis); GO:0005576 (extracellular region),GO:0019835 (cytolysis); GO:0009405 (pathogenesis),GO:0005576 (extracellular region),,1: Evidence at protein level,both,Naja atra,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja atra,terrestrial,terrestrial
P19004,8607,Snake three-finger toxin family,64,,Venom,LD(50) is 9.4 mg/kg by intravenous injection.,Disulfide bond,Disulfide bond:4,GO:0009405 (pathogenesis); GO:0005576 (extracellular region),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),,1: Evidence at protein level,both,Aspidelaps scutatus,Chordata,Lepidosauria,Squamata,Elapidae,Aspidelaps,Aspidelaps scutatus,terrestrial,terrestrial
Q9YGH0,8616,Snake three-finger toxin family,103,,Venom gland,,Disulfide bond,Disulfide bond:5,GO:0005576 (extracellular region),,GO:0005576 (extracellular region),,2: Evidence at transcript level,venom_tissue,Bungarus multicinctus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus multicinctus,terrestrial,terrestrial
Q3BK13,8709,Disintegrin family,128,,Venom; Venom gland,,Disulfide bond,Disulfide bond:6,GO:0007596 (blood coagulation); GO:0007155 (cell adhesion); GO:0009405 (pathogenesis); GO:0005576 (extracellular region),GO:0007596 (blood coagulation); GO:0007155 (cell adhesion); GO:0009405 (pathogenesis),GO:0005576 (extracellular region),,1: Evidence at protein level,both,Macrovipera lebetinus,Chordata,Lepidosauria,Squamata,Viperidae,Macrovipera,Macrovipera lebetinus,terrestrial,terrestrial
P31986,332626,Disintegrin family,73,,Venom,,Disulfide bond,Disulfide bond:6,GO:0007596 (blood coagulation); GO:0007155 (cell adhesion); GO:0005576 (extracellular region),GO:0007596 (blood coagulation); GO:0007155 (cell adhesion),GO:0005576 (extracellular region),,1: Evidence at protein level,venom_tissue,Crotalus lutosus,Chordata,Lepidosauria,Squamata,Viperidae,Crotalus,Crotalus lutosus,terrestrial,terrestrial
Q8QGP7,8618,Natriuretic peptide family,53,,Venom gland,,Disulfide bond,Disulfide bond:1,GO:0005576 (extracellular region); GO:0005179 (hormone activity),,GO:0005576 (extracellular region),GO:0005179 (hormone activity),2: Evidence at transcript level,both,Dendroaspis angusticeps,Chordata,Lepidosauria,Squamata,Elapidae,Dendroaspis,Dendroaspis angusticeps,terrestrial,terrestrial
P85237,406443,MIT-like AcTx family,23,fragment,Venom,,,,GO:0005576 (extracellular region),,GO:0005576 (extracellular region),,1: Evidence at protein level,venom_tissue,Oligoctenus ornatus,Arthropoda,Arachnida,Araneae,Ctenidae,Oligoctenus,Oligoctenus ornatus,terrestrial,terrestrial
D2Y2Q1,209901,Contains 1 BPTI/Kunitz inhibitor domain,88,,Venom gland,,Disulfide bond,Disulfide bond:2,GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0019870 (potassium channel inhibitor activity); GO:0004867 (serine-type endopeptidase inhibitor activity),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0019870 (potassium channel inhibitor activity); GO:0004867 (serine-type endopeptidase inhibitor activity),2: Evidence at transcript level,both,Cyriopagopus hainanus,Arthropoda,Arachnida,Araneae,Theraphosidae,Cyriopagopus,Cyriopagopus hainanus,terrestrial,terrestrial
D2Y2E0,209901,MIT-like AcTx family,84,,Venom gland,,Disulfide bond,Disulfide bond:4,GO:0009405 (pathogenesis); GO:0005576 (extracellular region),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),,2: Evidence at transcript level,both,Cyriopagopus hainanus,Arthropoda,Arachnida,Araneae,Theraphosidae,Cyriopagopus,Cyriopagopus hainanus,terrestrial,terrestrial
D2Y270,209901,Magi-1 family,113,,Venom; Venom gland,,Disulfide bond,Disulfide bond:3,GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0019871 (sodium channel inhibitor activity),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0019871 (sodium channel inhibitor activity),1: Evidence at protein level,both,Cyriopagopus hainanus,Arthropoda,Arachnida,Araneae,Theraphosidae,Cyriopagopus,Cyriopagopus hainanus,terrestrial,terrestrial
D2Y277,209901,Magi-1 family,113,,Venom gland,,Disulfide bond,Disulfide bond:3,GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0019871 (sodium channel inhibitor activity),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0019871 (sodium channel inhibitor activity),2: Evidence at transcript level,both,Cyriopagopus hainanus,Arthropoda,Arachnida,Araneae,Theraphosidae,Cyriopagopus,Cyriopagopus hainanus,terrestrial,terrestrial
D2Y2H1,209901,,109,,Venom gland,,Disulfide bond,Disulfide bond:4,GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0008200 (ion channel inhibitor activity),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0008200 (ion channel inhibitor activity),2: Evidence at transcript level,both,Cyriopagopus hainanus,Arthropoda,Arachnida,Araneae,Theraphosidae,Cyriopagopus,Cyriopagopus hainanus,terrestrial,terrestrial
