Entry,Organism,Protein families,Length,Fragment,Toxic dose,PTM
D6C4L2,Californiconus californicus (California cone) (Conus californicus),Conotoxin O1 superfamily,80,,,
D6C4L6,Californiconus californicus (California cone) (Conus californicus),Conotoxin O1 superfamily,67,,,
P0DKQ6,Conus consors (Singed cone),Conotoxin O1 superfamily,35,,,
P85023,Conus regius (Crown cone),Conotoxin M superfamily,17,,,
P0C614,Conus magus (Magus cone) (Magician's cone snail),Conotoxin I1 superfamily,42,,,
P0C610,Conus figulinus (Fig cone),Conotoxin I1 superfamily,43,,,
P0C607,Conus arenatus (Sand-dusted cone),Conotoxin I1 superfamily,75,,,
Q7Z092,Conus radiatus (Rayed cone),Conotoxin I1 superfamily,46,,,The natural D-Phe form of the peptide is more potent than the synthetic L-Phe form.
Q7Z0A2,Conus radiatus (Rayed cone),Conotoxin I1 superfamily,42,,,
Q7Z0A4,Conus radiatus (Rayed cone),Conotoxin I1 superfamily,45,fragment,,
P69497,Conus imperialis (Imperial cone),Conotoxin I2 superfamily,64,,,
C7DQX6,Conus litteratus (Lettered cone),Conotoxin I2 superfamily,71,,,
C7DQX9,Conus vitulinus (Calf cone) (Conus planorbis vitulinus),Conotoxin I2 superfamily,74,,,
P0C615,Conus spurius (Alphabet cone),Conotoxin I2 superfamily,32,,,
D2DGD8,Conus pulicarius (Flea-bite cone),Conotoxin I3 superfamily,83,,,
P0DP00,Conus ochroleucus (Perfect cone) (Graphiconus ochroleucus),,22,,,
P58806,Conus radiatus (Rayed cone),Conotoxin B superfamily,107,,,
D6C4J0,Californiconus californicus (California cone) (Conus californicus),Conotoxin L superfamily,67,,,Contains 2 disulfide bonds
D6C4I9,Californiconus californicus (California cone) (Conus californicus),Conotoxin L superfamily,67,,,Contains 2 disulfide bonds
E2E4F7,Celestus warreni (Giant Hispaniolan galliwasp) (Diploglossus warreni),,185,,,
Q9BH51,Conus tessulatus (Tessellate cone),Conotoxin M superfamily,70,,,
Q9BPH5,Conus pennaceus (Feathered cone) (Conus episcopus),Conotoxin M superfamily,70,,,
P0CY73,Conus bullatus (Bubble cone),Conotoxin M superfamily,76,,,
P58624,Conus betulinus (Beech cone),Conotoxin M superfamily,15,,,
P86260,Conus textile (Cloth-of-gold cone),Conotoxin M superfamily,16,,,Contains 3 disulfide bonds
Q9BPJ2,Conus ventricosus (Mediterranean cone),Conotoxin M superfamily,67,,,
Q9BP45,Conus pennaceus (Feathered cone) (Conus episcopus),Conotoxin M superfamily,20,fragment,,
Q9BPH7,Conus ventricosus (Mediterranean cone),Conotoxin M superfamily,69,,,
Q9BPH6,Conus ventricosus (Mediterranean cone),Conotoxin M superfamily,71,,,
P0CH16,Conus parius (Cone snail),Conotoxin M superfamily,22,,,
P0C424,Conus marmoreus (Marble cone),Conotoxin M superfamily,16,,,
P0C1N1,Conus marmoreus (Marble cone),Conotoxin M superfamily,67,,,"Has been found to be hydroxylated and amidated by Han et al. (2006), and to be unmodified by Ju et al. (2022)"
P0C260,Conus vitulinus (Calf cone) (Conus planorbis vitulinus),,14,,,
D5L5Q8,Conus vitulinus (Calf cone) (Conus planorbis vitulinus),Conotoxin M superfamily,65,fragment,,
Q7Z0A6,Conus radiatus (Rayed cone),Conotoxin I1 superfamily,42,,,
Q0N4U3,Conus ferrugineus (Cone snail),Conotoxin J superfamily,76,,,
P0C8E1,Conus parius (Cone snail),Conotoxin B superfamily,19,,,
P17684,Conus tulipa (Fish-hunting cone snail) (Tulip cone),Conotoxin B superfamily,21,,,
Q9BPJ1,Conus textile (Cloth-of-gold cone),Conotoxin M superfamily,67,,,
Q9BPK0,Conus tessulatus (Tessellate cone),Conotoxin M superfamily,68,,,
Q2I2Q5,Conus litteratus (Lettered cone),Conotoxin M superfamily,69,,,
P0CH22,Conus pulicarius (Flea-bite cone),Conotoxin M superfamily,64,fragment,,
P0CH23,Conus pulicarius (Flea-bite cone),Conotoxin M superfamily,64,fragment,,
P0CH21,Conus pulicarius (Flea-bite cone),Conotoxin M superfamily,58,fragment,,
P0C349,Conus striatus (Striated cone),Conotoxin M superfamily,22,,,
P0C1U2,Conus magus (Magus cone) (Magician's cone snail),Conotoxin M superfamily,22,,,
Q86DU6,Conus striatus (Striated cone),Conotoxin M superfamily,73,,,
P58846,Conus textile (Cloth-of-gold cone),Conotoxin M superfamily,65,,,"The hydroxylation at Pro-62 is observed in PubMed:15924437, PubMed:19380747 and PubMed:22709442, and the non-hydroxylation is described in PubMed:22709442"
Q5EHP3,Conus marmoreus (Marble cone),Conotoxin M superfamily,71,,,"Has been found to be amidated by Han et al. (2006), and to be unmodified by Ju et al. (2022); Ju et al. (2022) describe a disulfide connectivity (C56-C62; C57-C68; C66-C69) that differs from that of Han and colleagues (2006 and 2007)"
P0DKQ2,Conus consors (Singed cone),Conotoxin M superfamily,73,,,
Q9BPJ7,Conus textile (Cloth-of-gold cone),Conotoxin M superfamily,68,,,Contains 3 disulfide bonds
P86262,Conus textile (Cloth-of-gold cone),Conotoxin M superfamily,17,,,"Contains 3 disulfide bonds; The truncated conotoxin tx3e is only found with an hydroxyproline, whereas conotoxin tx3e is either hydroxylated or not hydroxylated"
B6V6L0,Conus imperialis (Imperial cone),Conotoxin M superfamily,81,,,
P0DKQ4,Conus consors (Singed cone),Conotoxin M superfamily,26,,,
Q9XYZ1,Conus pulicarius (Flea-bite cone),Conotoxin O1 superfamily,74,,,
P0CH41,Centruroides elegans (Bark scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",67,,,
W4VS16,Conus victoriae (Queen Victoria cone),Conotoxin H superfamily,74,,,
D6C4J7,Californiconus californicus (California cone) (Conus californicus),Conotoxin L superfamily,73,,,Contains 2 disulfide bonds
P84713,Conus monile (Necklace cone),,13,,,
P0C612,Conus lynceus (Lynceus cone),Conotoxin I1 superfamily,38,,,
Q7Z091,Conus radiatus (Rayed cone),Conotoxin I1 superfamily,41,,,"Position 41 corresponds to a L-threonine, and not a D-threonine as firstly supposed."
Q7Z0A5,Conus radiatus (Rayed cone),Conotoxin I1 superfamily,45,fragment,,
P69496,Conus imperialis (Imperial cone),Conotoxin I2 superfamily,64,,,
C7DQC2,Conus litteratus (Lettered cone),Conotoxin I2 superfamily,70,,,
Q9U3Z3,Conus betulinus (Beech cone),Conotoxin I2 superfamily,70,,,Contains 4 disulfide bonds
D2DGD6,Conus pulicarius (Flea-bite cone),Conotoxin I3 superfamily,80,,,
D2DGD3,Conus caracteristicus (Characteristic cone),Conotoxin I3 superfamily,80,,,
P0C8W0,Conus distans (Distant cone),,98,,,Contains 5 disulfide bonds
P0C613,Conus magus (Magus cone) (Magician's cone snail),Conotoxin I1 superfamily,35,,,
P0C609,Conus betulinus (Beech cone),Conotoxin I1 superfamily,36,,,
Q7Z098,Conus radiatus (Rayed cone),Conotoxin I1 superfamily,46,fragment,,
Q7Z095,Conus radiatus (Rayed cone),Conotoxin I1 superfamily,46,,,
P84197,Conus regius (Crown cone),Conotoxin I1 superfamily,44,,,
Q7Z096,Conus radiatus (Rayed cone),Conotoxin I1 superfamily,80,,,The natural D-Leu form of the peptide is more potent than the synthetic L-Leu form.
Q7Z093,Conus radiatus (Rayed cone),Conotoxin I1 superfamily,46,,,
Q7Z0A3,Conus radiatus (Rayed cone),Conotoxin I1 superfamily,45,fragment,,
P69501,Conus vexillum (Flag cone),Conotoxin I2 superfamily,67,,,
C7DQX8,Conus vitulinus (Calf cone) (Conus planorbis vitulinus),Conotoxin I2 superfamily,74,,,
C7DQX7,Conus litteratus (Lettered cone),Conotoxin I2 superfamily,70,,,
P0C252,Conus emaciatus (False virgin cone),Conotoxin I2 superfamily,39,fragment,,
Q5I4E5,Conus textile (Cloth-of-gold cone),Conotoxin I2 superfamily,69,,,Contains 4 disulfide bonds.
P0DKZ1,Conus rolani (Cone snail),Conotoxin B superfamily,96,fragment,,
P0C6S3,Conus cancellatus (Cancellate cone) (Conus austini),Conotoxin L superfamily,28,,,
C7DQC1,Conus litteratus (Lettered cone),Conotoxin I2 superfamily,63,,,
Q9BPI8,Conus tessulatus (Tessellate cone),Conotoxin M superfamily,67,,,
Q9BPI0,Conus textile (Cloth-of-gold cone),Conotoxin M superfamily,71,,,Contains 3 disulfide bonds
P0C1N6,Conus textile (Cloth-of-gold cone),Conotoxin M superfamily,71,,,"Contains 3 disulfide bonds; The truncated conotoxin tx3h exists in two forms, one is amidated, whereas the other is non-amidated. The conotoxin tx3h also exists in two forms, one is amidated and the other is brominated but not amidated"
D5L5Q7,Conus vitulinus (Calf cone) (Conus planorbis vitulinus),Conotoxin M superfamily,67,,,
P69753,Conus magus (Magus cone) (Magician's cone snail),Conotoxin O1 superfamily,84,,,
P0DOZ1,Conus longurionis (Cone snail),,27,,,
P24159,Conus textile (Cloth-of-gold cone),Conotoxin O1 superfamily,27,,,
P69755,Conus magus (Magus cone) (Magician's cone snail),Conotoxin O1 superfamily,83,,,
P69756,Conus magus (Magus cone) (Magician's cone snail),Conotoxin O1 superfamily,32,,,
P0CY68,Conus bullatus (Bubble cone),Conotoxin O1 superfamily,47,fragment,,
P0CY64,Conus bullatus (Bubble cone),Conotoxin O1 superfamily,89,,,
P0C1C8,Conus cancellatus (Cancellate cone) (Conus austini),Conotoxin O1 superfamily,31,,,
P0CH13,Conus delessertii (Sozon's cone) (Conus sozoni),,28,,,
Q0N4U6,Conus planorbis (Planorbis cone),Conotoxin J superfamily,68,fragment,,
P0C8E3,Conus purpurascens (Purple cone),Conotoxin B superfamily,104,,,
D6C4I7,Californiconus californicus (California cone) (Conus californicus),Conotoxin L superfamily,67,,,Contains 2 disulfide bonds
P84704,Conus villepinii (Villepin's cone),Conotoxin L superfamily,27,,,
P0C8E0,Conus parius (Cone snail),Conotoxin B superfamily,19,,,
P0DOZ4,Conus quercinus (Oak cone),,17,,,
P84706,Conus anabathrum floridanus (Florida cone) (Conus floridanus floridensis),Conotoxin L superfamily,27,,,
P42718,Parapolybia indica (Lesser paper wasp),,13,,,
P0CY83,Conus bullatus (Bubble cone),Conotoxin J superfamily,76,,,
Q2I2R5,Conus litteratus (Lettered cone),Conotoxin L superfamily,64,,,May contain a 4-hydroxyproline
D6C4J2,Californiconus californicus (California cone) (Conus californicus),,20,fragment,,Contains 2 disulfide bonds
Q9BP43,Conus pennaceus (Feathered cone) (Conus episcopus),Conotoxin M superfamily,36,fragment,,
P58623,Conus betulinus (Beech cone),Conotoxin M superfamily,14,,,
Q9BPJ8,Conus arenatus (Sand-dusted cone),Conotoxin M superfamily,68,,,
Q9BPJ6,Conus textile (Cloth-of-gold cone),Conotoxin M superfamily,70,,,
Q9BPI7,Conus ventricosus (Mediterranean cone),Conotoxin M superfamily,67,,,
Q3YED1,Conus marmoreus (Marble cone),Conotoxin O1 superfamily,80,,,
Q5K0C5,Conus virgo (Virgin cone),Conotoxin O1 superfamily,79,,,
Q5K0D7,Conus striatus (Striated cone),Conotoxin O1 superfamily,72,,,
B0KZ79,Conus emaciatus (False virgin cone),Conotoxin O2 superfamily,86,,,Contains 4 disulfide bonds
P0DOZ0,Conus longurionis (Cone snail),,24,,,
A7LI91,Californiconus californicus (California cone) (Conus californicus),,43,fragment,,
D2Y496,Californiconus californicus (California cone) (Conus californicus),Conotoxin O1 superfamily,97,,,
D2Y4A0,Californiconus californicus (California cone) (Conus californicus),Conotoxin O1 superfamily,35,fragment,,
P0CH39,Conus imperialis (Imperial cone),Conotoxin A superfamily,71,,,
B2KPN7,Conus marmoreus (Marble cone),Conotoxin M superfamily,71,,,"The D-Phe is essential to the structural conformation; Since conomarphin is a cysteine-free peptide, hydroxyproline plays a critical role in maintaining a restricted conformation of the peptide.; Mature peptide with hydroxylation at Pro-64 and D-amino acid at Phe-67 are described by Han and colleagues (2008), whereas the same sequence without modification is described by Fu and colleagues (2022)"
Q9TWL8,Conus magus (Magus cone) (Magician's cone snail),,42,,,
Q9NDA5,Conus textile (Cloth-of-gold cone),Contryphan family,63,,,
P0DP20,Conus figulinus (Fig cone),Contryphan family,10,,,
Q8I6V7,Conus regius (Crown cone),Conotoxin P superfamily,90,,,
P85018,Conus regius (Crown cone),Conotoxin M superfamily,19,,,
Q9U648,Conus textile (Cloth-of-gold cone),Conotoxin O1 superfamily,76,,,
Q9XZK2,Conus striatus (Striated cone),Conotoxin O1 superfamily,71,,LD(50) is >16 mg/kg by intramuscular injection into goldfish (C.carassius). {ECO:0000269|PubMed:26344359}.,
Q3YEG3,Conus miles (Soldier cone) (Mile cone),Conotoxin O1 superfamily,82,,,
Q9XZK3,Conus striatus (Striated cone),Conotoxin O1 superfamily,78,,,
Q2I2R4,Conus litteratus (Lettered cone),Conotoxin O1 superfamily,76,,,
P0CB10,Conus ammiralis (Admiral cone),Conotoxin O1 superfamily,77,,,
P0CB11,Conus ammiralis (Admiral cone),Conotoxin O1 superfamily,76,,,
D5KR58,Californiconus californicus (California cone) (Conus californicus),Conotoxin O1 superfamily,64,,,Five different peptides have been sequenced after total venom examination by HPLC-MS. cal6.4a-4c are identical in length but are differentially hydroxylated and brominated
P0C8V9,Conus achatinus (Little frog cone),Conotoxin O1 superfamily,78,,,
B2KJ30,Conus striatus (Striated cone),Conotoxin O1 superfamily,78,,,
P01522,Conus geographus (Geography cone) (Nubecula geographus),Conotoxin O1 superfamily,73,,,
Q9TW08,Conus lividus (Livid cone),Conotoxin O1 superfamily,71,fragment,,
Q9TVU1,Conus abbreviatus (Abbreviated cone) (Miliariconus abbreviatus),Conotoxin O1 superfamily,70,fragment,,
Q5K0C8,Conus vexillum (Flag cone),Conotoxin O1 superfamily,79,,,
Q9U647,Conus textile (Cloth-of-gold cone),Conotoxin O1 superfamily,76,,,
Q5K0C4,Conus capitaneus (Captain cone),Conotoxin O1 superfamily,80,,,"Peptide predicted to begin at Arg-51, but it seems more probable that it begins at Cys-52, since this position corresponds to a dibasic residue cleavage"
Q9U659,Conus pennaceus (Feathered cone) (Conus episcopus),Conotoxin O1 superfamily,77,,,
Q3YEF9,Conus betulinus (Beech cone),Conotoxin O2 superfamily,77,,,
G1AS76,Conus victoriae (Queen Victoria cone),Conotoxin O2 superfamily,70,,,
G1AS78,Conus victoriae (Queen Victoria cone),Conotoxin O2 superfamily,71,,,
Q9BPA9,Conus textile (Cloth-of-gold cone),Conotoxin O2 superfamily,70,,,"Contains 3 disulfide bonds; Exists in 5 different forms, depending on bromination and hydroxylation. Form P2 does not contain brominated tryptophan (PubMed:23031820), form P2-WBr has one brominated tryptophan at position 60 (PubMed:22709442, PubMed:23031820), form P2-2WBr has two brominated tryptophans at position 59 and 60 (PubMed:23031820), form hydroxyPro-P2-WBr has a hydroxyproline at position 49 and a brominated tryptophan at position 59 (PubMed:22709442), and form hydroxyPro-P2-2WBr has an hydroxyproline at position 49 and two brominated tryptophan at position 59 and 60 (PubMed:22709442)"
C8CK79,Conus vexillum (Flag cone),Conotoxin O2 superfamily,85,,,Contains 4 disulfide bonds
P60513,Conus ermineus (Atlantic fish-hunting cone),Conotoxin O1 superfamily,32,,"Dose that produces hyperactivity (ED(50)) is 1.8 pmol/g body mass (native toxin), 1.9 pmol/g body mass (synthetic toxin) and 3.9 pmol/g body mass (P13A mutant). {ECO:0000269|PubMed:14976206}.",
P58914,Conus radiatus (Rayed cone),Conotoxin O1 superfamily,27,,,
P58915,Conus tulipa (Fish-hunting cone snail) (Tulip cone),Conotoxin O1 superfamily,26,,,
P69752,Conus ermineus (Atlantic fish-hunting cone),Conotoxin O1 superfamily,29,,,
P0CH18,Conus parius (Cone snail),,32,,,
P0CY70,Conus bullatus (Bubble cone),Conotoxin O1 superfamily,56,fragment,,
P0CY62,Conus bullatus (Bubble cone),Conotoxin O1 superfamily,80,,,
P0CY67,Conus bullatus (Bubble cone),Conotoxin O1 superfamily,63,fragment,,
A6YR31,Californiconus californicus (California cone) (Conus californicus),,45,,,
A9UH01,Californiconus californicus (California cone) (Conus californicus),,43,fragment,,
Q9NDA6,Conus textile (Cloth-of-gold cone),Contryphan family,63,,,
P0DP17,Conus leopardus (Leopard cone),Contryphan family,8,,,
Q2I2P3,Conus litteratus (Lettered cone),Contryphan family,63,,,
P0C837,Conus striatus (Striated cone),Contryphan family,63,,,
Q9BPI4,Conus tessulatus (Tessellate cone),Conotoxin M superfamily,67,,,
Q5I2P0,Conus leopardus (Leopard cone),Conotoxin M superfamily,69,,,
Q5EHP4,Conus leopardus (Leopard cone),Conotoxin M superfamily,70,,,
P0C1N2,Conus marmoreus (Marble cone),Conotoxin M superfamily,68,,,
Q2I2Q1,Conus litteratus (Lettered cone),Conotoxin M superfamily,66,,,
P0C1N7,Conus textile (Cloth-of-gold cone),Conotoxin M superfamily,64,,,"Contains 3 disulfide bonds.; Two peptides are produced from this precursor. Conotoxin Tx3.5-b is amidated at Cys-63, conotoxin Tx3.5-a has an unmodified C-terminus"
Q5EHP2,Conus marmoreus (Marble cone),Conotoxin M superfamily,70,,,
P0C1T9,Conus consors (Singed cone),Conotoxin M superfamily,22,,,
P0C195,Conus kinoshitai (Kinoshita's cone),Conotoxin M superfamily,18,fragment,,"Toxins with three different disulfide connectivities have been synthesized (PubMed:35167877, PubMed:23167564). The conotoxin mu-KIIIA-P1 shows the connectivity C1-C5, C2-C4, and C3-C6, whereas mu-KIIIA-P2 shows the connectivity C1-C6, C2-C4, and C3-C5 (PubMed:23167564). The conotoxin mu-KIIIA-N has the 'native' fold of the mu-conotoxin family (C1-C4, C2-C5, and C3-C6) (PubMed:35167877). Mu-KIIIA-P1 and mu-KIIIA-P2 are obtained by both thermodynamic oxidative folding and regioselective synthesis (PubMed:35167877, PubMed:23167564). Mu-KIIIA-P1 is the major oxidative folding product (PubMed:23167564). Mu-KIIIA-N is only obtained by regioselective synthesis (PubMed:35167877)"
P58841,Conus quercinus (Oak cone),Conotoxin M superfamily,15,,,
Q9BH73,Conus textile (Cloth-of-gold cone),Conotoxin M superfamily,70,,,"Two short peptides are produced from this precursor; Conotoxin tx3a-b is amidated at Cys-69 (but has no bromotryptophan), whereas conotoxin tx3a-a has an unmodified Gly-70 and a bromotryptophan (PubMed:15924437, PubMed:17042781, PubMed:19380747, PubMed:22709442). Two elongated peptides are also produced; Conotoxin elongated-tx3a-b is amidated at Cys-69 (but has no bromotryptophan), whereas conotoxin elongated tx3a-a has an unmodified Gly-70 (but has no bromotryptophan) (PubMed:22709442); [Conotoxin tx3a-a]: Ju et al. (2022) describe a disulfide connectivity (C55-C61; C56-C69; C66-C68) that differs from that of Han and colleagues (2006), McDougal et al. (2008), and Ueberheide et al. (2009)"
P01524,Conus geographus (Geography cone) (Nubecula geographus),Conotoxin M superfamily,22,,,
P05482,Conus geographus (Geography cone) (Nubecula geographus),Conotoxin M superfamily,22,,,
P0DKQ1,Conus consors (Singed cone),Conotoxin M superfamily,22,,,
P60245,Conus purpurascens (Purple cone),Conotoxin M superfamily,24,,,
P0CG45,Conus radiatus (Rayed cone),Conotoxin M superfamily,25,,,
Q9BP44,Conus arenatus (Sand-dusted cone),Conotoxin M superfamily,48,fragment,,"Contains 3 disulfide bonds (By similarity). They are not added, since framework IV presents two different connectivities (I-V, II-III, IV-VI and I-III, II-V, IV-VI)"
D6C4L3,Californiconus californicus (California cone) (Conus californicus),Conotoxin O1 superfamily,67,,,
D6C4L7,Californiconus californicus (California cone) (Conus californicus),Conotoxin O1 superfamily,67,,,
Q9XZK9,Conus textile (Cloth-of-gold cone),Conotoxin O1 superfamily,76,,,
P0C904,Conus leopardus (Leopard cone),Conotoxin O1 superfamily,75,,,
Q9XZL0,Conus textile (Cloth-of-gold cone),Conotoxin O1 superfamily,76,,,
Q3YEG7,Conus betulinus (Beech cone),Conotoxin O1 superfamily,80,,,
Q9U654,Conus textile (Cloth-of-gold cone),Conotoxin O1 superfamily,76,,,
P0C8V5,Conus achatinus (Little frog cone),Conotoxin O1 superfamily,83,,,
Q9XZL4,Conus striatus (Striated cone),Conotoxin O1 superfamily,72,,,
Q2I2R2,Conus litteratus (Lettered cone),Conotoxin O1 superfamily,72,,,
P0DJB2,Californiconus californicus (California cone) (Conus californicus),,28,,,
P0C831,Conus striatus (Striated cone),Conotoxin O1 superfamily,72,,,
P58917,Conus catus (Cat cone),Conotoxin O1 superfamily,71,,,
Q9XYZ0,Conus pulicarius (Flea-bite cone),Conotoxin O1 superfamily,80,,,
D2Y492,Californiconus californicus (California cone) (Conus californicus),Conotoxin O1 superfamily,70,,,
P69759,Conus victoriae (Queen Victoria cone),Conotoxin O1 superfamily,77,,,
Q3YEE4,Conus miles (Soldier cone) (Mile cone),Conotoxin O1 superfamily,74,,,
C8CK76,Conus lividus (Livid cone),Conotoxin O2 superfamily,85,,,Contains 4 disulfide bonds
C8CK75,Conus miles (Soldier cone) (Mile cone),Conotoxin O2 superfamily,85,,,Contains 4 disulfide bonds
Q3YED3,Conus lividus (Livid cone),Conotoxin O3 superfamily,79,,,
C7T1P2,Conus ebraeus (Hebrew cone),Conotoxin O1 superfamily,26,fragment,,
C7T187,Conus ebraeus (Hebrew cone),Conotoxin O1 superfamily,69,fragment,,
M9PQ91,Conus betulinus (Beech cone),Conotoxin O1 superfamily,84,,,
Q9N669,Conus ebraeus (Hebrew cone),Conotoxin O1 superfamily,69,fragment,,
A0A0F6QDA5,Conus eburneus (Ivory cone),Conotoxin O1 superfamily,31,fragment,,
P56712,Conus pennaceus (Feathered cone) (Conus episcopus),Conotoxin O1 superfamily,78,,,
P58918,Conus catus (Cat cone),Conotoxin O1 superfamily,25,,,
P56713,Conus pennaceus (Feathered cone) (Conus episcopus),Conotoxin O1 superfamily,82,,,
P0CH19,Conus parius (Cone snail),,24,,,"The three Pro-12, Pro-13 and Pro-24 were found to be not hydroxylated"
P0CH20,Conus parius (Cone snail),,32,,,
P0CY72,Conus bullatus (Bubble cone),Conotoxin O1 superfamily,80,fragment,,
A6YR21,Californiconus californicus (California cone) (Conus californicus),Conotoxin O1 superfamily,87,,,
P58922,Conus textile (Cloth-of-gold cone),Conotoxin O2 superfamily,76,,,
D2Y4A1,Californiconus californicus (California cone) (Conus californicus),Conotoxin O1 superfamily,35,fragment,,
P0DOZ2,Conus australis (Cone snail) (Asprella australis),ConoGAY family,18,,,
P85014,Conus villepinii (Villepin's cone),Conophan family,7,,,
P05487,Conus striatus (Striated cone),Vasopressin/oxytocin family,9,,,
P0C251,Conus betulinus (Beech cone),Conotoxin I1 superfamily,73,,,
Q7Z099,Conus radiatus (Rayed cone),Conotoxin I1 superfamily,46,fragment,,
P69499,Conus striatus (Striated cone),Conotoxin I2 superfamily,68,,,
C7DQB9,Conus eburneus (Ivory cone),Conotoxin I2 superfamily,81,,,
P0C8D9,Conus ermineus (Atlantic fish-hunting cone),Conotoxin B superfamily,96,fragment,,
P0DOZ6,Conus gloriamaris (Glory-of-the-Seas cone),,18,,,
Q9BPI5,Conus tessulatus (Tessellate cone),Conotoxin M superfamily,67,,,
Q9BPH8,Conus ventricosus (Mediterranean cone),Conotoxin M superfamily,70,,,
Q2I2Q2,Conus litteratus (Lettered cone),Conotoxin M superfamily,70,,,
C1J5M5,Conus bullatus (Bubble cone),Conotoxin M superfamily,77,,,
P01523,Conus geographus (Geography cone) (Nubecula geographus),Conotoxin M superfamily,74,,,Hydroxylated; hydroxylations improve the ability to block Nav1.4/SCN4A sodium channels but does not affect folding
P0C8V2,Conus striolatus (Cone snail),Conotoxin M superfamily,22,,"When injected intraperitoneally or subcutaneously in mice, this toxin causes motor impairment/paralysis and is lethal at doses as low as 0.6 nmol per mouse. {ECO:0000269|PubMed:18831583}.",
P0C1U0,Conus consors (Singed cone),Conotoxin M superfamily,25,,,
P58842,Conus quercinus (Oak cone),Conotoxin M superfamily,15,,,
P0DP11,Conus figulinus (Fig cone),Conotoxin M family,14,,,Contains 3 disulfide bonds
P58926,Conus pennaceus (Feathered cone) (Conus episcopus),Conotoxin M superfamily,17,,,"Contains 3 disulfide bonds (By similarity). They are not added, since framework IV presents two different connectivities (I-V, II-III, IV-VI and I-III, II-V, IV-VI)"
D6C4L5,Californiconus californicus (California cone) (Conus californicus),Conotoxin O1 superfamily,67,,,
D6C4L8,Californiconus californicus (California cone) (Conus californicus),Conotoxin M superfamily,70,,,
P85016,Conus regius (Crown cone),Conotoxin M superfamily,17,,,"Contains 3 disulfide bonds (By similarity). They are not indicated here, since framework III presents two different connectivities (I-IV, II-V, III-VI and I-V, II-VI, III-IV)"
P85017,Conus regius (Crown cone),Conotoxin M superfamily,17,,,"Reg12e and reg3e are conotoxins with identical sequences, but different post-translational modifications. Reg12e is C-terminally amidated, while reg3e is not"
P85020,Conus regius (Crown cone),Conotoxin M superfamily,17,,,
Q2I2P8,Conus litteratus (Lettered cone),Conotoxin M superfamily,83,,,"Authors of PubMed:25600641 studied the activity of this peptide with the C-terminal Arg residue, which is probably cleaved in the native peptide; Contains 2 disulfide bonds"
Q5K0D6,Conus striatus (Striated cone),Conotoxin O1 superfamily,78,,,
P0C902,Conus leopardus (Leopard cone),Conotoxin O1 superfamily,79,,,
Q5K0D8,Conus striatus (Striated cone),Conotoxin O1 superfamily,78,,,
P69758,Conus victoriae (Queen Victoria cone),Conotoxin O1 superfamily,75,,,
Q9TVF7,Conus lividus (Livid cone),Conotoxin O1 superfamily,69,fragment,,
Q9TVF6,Conus lividus (Livid cone),Conotoxin O1 superfamily,69,fragment,,
Q9TVX4,Conus abbreviatus (Abbreviated cone) (Miliariconus abbreviatus),Conotoxin O1 superfamily,71,fragment,,
Q9TVR4,Conus abbreviatus (Abbreviated cone) (Miliariconus abbreviatus),Conotoxin O1 superfamily,74,fragment,,
P0C833,Conus striatus (Striated cone),Conotoxin O1 superfamily,86,,,
Q9UAB2,Conus lividus (Livid cone),Conotoxin O1 superfamily,71,fragment,,
Q3YEE3,Conus miles (Soldier cone) (Mile cone),Conotoxin O1 superfamily,83,,,
Q3YEE6,Conus lividus (Livid cone),Conotoxin O1 superfamily,83,,,
Q3YEF4,Conus marmoreus (Marble cone),Conotoxin O2 superfamily,73,,,
C8CK77,Conus capitaneus (Captain cone),Conotoxin O2 superfamily,85,,,Contains 4 disulfide bonds
P56708,Conus marmoreus (Marble cone),Conotoxin O1 superfamily,82,,,
P0CY60,Conus bullatus (Bubble cone),Conotoxin O1 superfamily,70,,,
P0CY65,Conus bullatus (Bubble cone),Conotoxin O1 superfamily,75,,,
P05483,Conus geographus (Geography cone) (Nubecula geographus),,29,,,
P05485,Conus magus (Magus cone) (Magician's cone snail),Conotoxin O1 superfamily,25,,,
P56714,Conus textile (Cloth-of-gold cone),Conotoxin O1 superfamily,77,,,
A6YR41,Californiconus californicus (California cone) (Conus californicus),,44,,,
A7LI90,Californiconus californicus (California cone) (Conus californicus),Conotoxin O1 superfamily,84,,,
Q2I2P1,Conus litteratus (Lettered cone),Conotoxin C superfamily,85,,,
Q9XYR5,Conus geographus (Geography cone) (Nubecula geographus),Conotoxin C superfamily,76,,,O-glycosylated. The glycosylation seems to enhance the affinity to the neurotensin receptors.
P85015,Conus villepinii (Villepin's cone),Conophan family,7,,,"Occurs in 2 forms, vil-I' contains 4-hydroxyproline at Pro-2, vil-I'(O2P) contains unmodified proline at Pro-2"
Q9BPI3,Conus tessulatus (Tessellate cone),Conotoxin M superfamily,67,,,
P0DKQ9,Conus tulipa (Fish-hunting cone snail) (Tulip cone),Conotoxin M superfamily,74,,,
C1J5M7,Conus bullatus (Bubble cone),Conotoxin M superfamily,80,,,
P58927,Conus pennaceus (Feathered cone) (Conus episcopus),Conotoxin M superfamily,70,,,"Contains 3 disulfide bonds (By similarity). They are not added, since framework IV presents two different connectivities (I-V, II-III, IV-VI and I-III, II-V, IV-VI)"
D6C4L4,Californiconus californicus (California cone) (Conus californicus),Conotoxin O1 superfamily,67,,,
