Entry,Organism (ID),Protein families,Length,Fragment,Toxic dose,PTM,Scientific_Name,Phylum,Class,Order,Family,Genus,Species,Habitat
P0C642,89427,Conotoxin T superfamily,12,,,,Conus virgo,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus virgo,marine
Q9BPE7,37335,Conotoxin T superfamily,63,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus pennaceus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus pennaceus,marine
Q9BPF4,37335,Conotoxin T superfamily,63,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus pennaceus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus pennaceus,marine
Q9BPH0,6494,Conotoxin T superfamily,63,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus textile,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus textile,marine
Q6PN86,42752,Conotoxin T superfamily,64,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus marmoreus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus marmoreus,marine
Q3YEE9,6494,Conotoxin T superfamily,62,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755)... {ECO:0000305}.",Conus textile,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus textile,marine
P0C669,89427,Conotoxin T superfamily,63,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus virgo,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus virgo,marine
Q9BP51,89451,Conotoxin T superfamily,77,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus arenatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus arenatus,marine
Q6PN85,42752,Conotoxin T superfamily,65,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus marmoreus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus marmoreus,marine
P0C670,89427,Conotoxin T superfamily,63,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus virgo,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus virgo,marine
A0A3G3C7R5,198732,Conotoxin T superfamily,63,,,Contains 2 disulfide bonds. {ECO:0000305}.,Conus amadis,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus amadis,marine
Q9BHA6,89451,Conotoxin T superfamily,77,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus arenatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus arenatus,marine
P0C666,89440,Conotoxin T superfamily,71,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus caracteristicus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus caracteristicus,marine
Q9U6Z9,37336,Conotoxin T superfamily,63,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus gloriamaris,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus gloriamaris,marine
Q9U6Z5,35631,Conotoxin T superfamily,62,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus imperialis,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus imperialis,marine
Q6PN81,101306,Conotoxin T superfamily,65,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus leopardus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus leopardus,marine
Q1A3R3,89445,Conotoxin T superfamily,65,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus litteratus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus litteratus,marine
P0C636,93154,Conotoxin T superfamily,67,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus pulicarius,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus pulicarius,marine
P0DJC4,101313,Conotoxin T superfamily,62,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus quercinus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus quercinus,marine
Q9U700,6494,Conotoxin T superfamily,62,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus textile,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus textile,marine
Q9BPF5,101317,Conotoxin T superfamily,65,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus tessulatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus tessulatus,marine
Q9BPG5,117992,Conotoxin T superfamily,60,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus ventricosus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus ventricosus,marine
Q9BH81,89451,Conotoxin T superfamily,67,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus arenatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus arenatus,marine
P0C667,89440,Conotoxin T superfamily,66,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus caracteristicus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus caracteristicus,marine
D2Y172,1736779,Conotoxin T superfamily,66,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Californiconus californicus,Mollusca,Gastropoda,Neogastropoda,Conidae,Californiconus,Californiconus californicus,marine
Q9U6Z8,37336,Conotoxin T superfamily,62,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus gloriamaris,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus gloriamaris,marine
Q6PN80,101306,Conotoxin T superfamily,68,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus leopardus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus leopardus,marine
Q1A3Q9,89445,Conotoxin T superfamily,68,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus litteratus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus litteratus,marine
Q6PTD0,69564,Conotoxin T superfamily,62,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus miles,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus miles,marine
Q6PN84,42752,Conotoxin T superfamily,66,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus marmoreus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus marmoreus,marine
Q9BPE2,37335,Conotoxin T superfamily,66,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus pennaceus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus pennaceus,marine
P0C637,93154,Conotoxin T superfamily,64,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus pulicarius,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus pulicarius,marine
P0DJC5,101313,Conotoxin T superfamily,62,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus quercinus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus quercinus,marine
Q9BPE5,101317,Conotoxin T superfamily,65,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus tessulatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus tessulatus,marine
Q9BPG3,117992,Conotoxin T superfamily,61,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus ventricosus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus ventricosus,marine
Q9BPG2,117992,Conotoxin T superfamily,61,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus ventricosus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus ventricosus,marine
Q9BPG1,117992,Conotoxin T superfamily,61,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus ventricosus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus ventricosus,marine
Q9BH79,89451,Conotoxin T superfamily,68,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus arenatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus arenatus,marine
P0C668,89440,Conotoxin T superfamily,64,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus caracteristicus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus caracteristicus,marine
Q3YEH3,89445,Conotoxin T superfamily,62,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus litteratus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus litteratus,marine
Q6PN83,42752,Conotoxin T superfamily,64,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus marmoreus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus marmoreus,marine
P0C638,93154,Conotoxin T superfamily,62,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus pulicarius,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus pulicarius,marine
Q9BPE3,101317,Conotoxin T superfamily,76,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus tessulatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus tessulatus,marine
P69767,319920,Conotoxin T superfamily,53,fragment,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus victoriae,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus victoriae,marine
Q6PN82,42752,Conotoxin T superfamily,62,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus marmoreus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus marmoreus,marine
Q3YEE8,6494,Conotoxin T superfamily,61,,,Contains 2 disulfide bonds. {ECO:0000269|PubMed:19380747}.,Conus textile,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus textile,marine
Q68IP5,42752,Conotoxin T superfamily,54,fragment,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus marmoreus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus marmoreus,marine
Q9BP47,89451,Conotoxin T superfamily,58,fragment,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus arenatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus arenatus,marine
H8Y1U0,35631,Conotoxin T superfamily,58,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus imperialis,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus imperialis,marine
Q1A3R1,89445,Conotoxin T superfamily,62,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus litteratus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus litteratus,marine
P0C639,93154,Conotoxin T superfamily,63,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus pulicarius,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus pulicarius,marine
C0KYC3,192919,Conotoxin T superfamily,59,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus spurius,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus spurius,marine
Q9BPF9,6494,Conotoxin T superfamily,61,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus textile,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus textile,marine
Q9BPD9,101317,Conotoxin T superfamily,74,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus tessulatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus tessulatus,marine
Q9BPF7,117992,Conotoxin T superfamily,64,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus ventricosus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus ventricosus,marine
Q1A3R0,89445,Conotoxin T superfamily,62,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus litteratus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus litteratus,marine
P0C640,93154,Conotoxin T superfamily,68,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus pulicarius,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus pulicarius,marine
C0KYC4,192919,Conotoxin T superfamily,44,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus spurius,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus spurius,marine
Q9BP46,101317,Conotoxin T superfamily,56,fragment,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus tessulatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus tessulatus,marine
Q9BPE1,117992,Conotoxin T superfamily,75,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus ventricosus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus ventricosus,marine
Q1A3Q8,89445,Conotoxin T superfamily,66,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus litteratus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus litteratus,marine
P0C641,93154,Conotoxin T superfamily,60,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus pulicarius,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus pulicarius,marine
C0KYC5,192919,Conotoxin T superfamily,62,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus spurius,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus spurius,marine
Q9BPE0,117992,Conotoxin T superfamily,75,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus ventricosus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus ventricosus,marine
Q1A3Q6,89445,Conotoxin T superfamily,69,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus litteratus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus litteratus,marine
C0KYC6,192919,Conotoxin T superfamily,62,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus spurius,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus spurius,marine
Q1A3Q5,89445,Conotoxin T superfamily,62,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus litteratus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus litteratus,marine
Q3YEH2,6494,Conotoxin T superfamily,63,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus textile,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus textile,marine
Q1A3Q7,89445,Conotoxin T superfamily,67,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus litteratus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus litteratus,marine
Q9BPG6,6494,Conotoxin T superfamily,67,,,O-glycan consists of the disaccharide Gal-GalNAc. {ECO:0000269|PubMed:10318957}.,Conus textile,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus textile,marine
P81755,6494,Conotoxin T superfamily,67,,,O-glycan consists of the disaccharide Gal-GalNAc. {ECO:0000269|PubMed:10318957}.,Conus textile,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus textile,marine
P58848,89437,Conotoxin T superfamily,11,,,,Conus aulicus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus aulicus,marine
P0DQQ7,72279,Conotoxin T superfamily,10,,,,Conus bandanus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus bandanus,marine
P0DJL6,101297,Conotoxin T superfamily,14,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus consors,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus consors,marine
Q1A3Q1,89445,Conotoxin T superfamily,69,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus litteratus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus litteratus,marine
P69764,42752,Conotoxin T superfamily,59,,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus marmoreus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus marmoreus,marine
Q9U6Z6,41690,Conotoxin T superfamily,63,,,,Conus purpurascens,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus purpurascens,marine
P84845,192919,Conotoxin T superfamily,59,,,,Conus spurius,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus spurius,marine
P69765,319920,Conotoxin T superfamily,54,fragment,,"Contains 2 disulfide bonds that can be either 'C1-C3, C2-C4' or 'C1-C4, C2-C3', since these disulfide connectivities have been observed for conotoxins with cysteine framework V (for examples, see AC P0DQQ7 and AC P81755). {ECO:0000305}.",Conus victoriae,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus victoriae,marine
P0C2B0,89427,Conotoxin T superfamily,59,,,,Conus virgo,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus virgo,marine
