Entry,Organism (ID),Protein families,Length,Fragment,Toxic dose,PTM,Protein existence,Scientific_Name,Phylum,Class,Order,Family,Genus,Species,Habitat
Q7Z093,61198,Conotoxin I1 superfamily,46,,,,2: Evidence at transcript level;,Conus radiatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus radiatus,marine
Q7Z097,61198,Conotoxin I1 superfamily,46,fragment,,,2: Evidence at transcript level;,Conus radiatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus radiatus,marine
Q7Z0A5,61198,Conotoxin I1 superfamily,45,fragment,,,2: Evidence at transcript level;,Conus radiatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus radiatus,marine
Q7Z0A0,61198,Conotoxin I1 superfamily,44,fragment,,,2: Evidence at transcript level;,Conus radiatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus radiatus,marine
Q7Z0A4,61198,Conotoxin I1 superfamily,45,fragment,,,2: Evidence at transcript level;,Conus radiatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus radiatus,marine
Q7Z0A3,61198,Conotoxin I1 superfamily,45,fragment,,,2: Evidence at transcript level;,Conus radiatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus radiatus,marine
P69495,35631,Conotoxin I2 superfamily,64,,,,2: Evidence at transcript level;,Conus imperialis,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus imperialis,marine
P69500,89431,Conotoxin I2 superfamily,67,,,,2: Evidence at transcript level;,Conus vexillum,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus vexillum,marine
P69496,35631,Conotoxin I2 superfamily,64,,,,2: Evidence at transcript level;,Conus imperialis,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus imperialis,marine
P69501,89431,Conotoxin I2 superfamily,67,,,,2: Evidence at transcript level;,Conus vexillum,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus vexillum,marine
P69497,35631,Conotoxin I2 superfamily,64,,,,2: Evidence at transcript level;,Conus imperialis,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus imperialis,marine
P0DKM1,379542,Conotoxin I2 superfamily,74,,,,2: Evidence at transcript level;,Conus ferrugineus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus ferrugineus,marine
C7DQC2,89445,Conotoxin I2 superfamily,70,,,,2: Evidence at transcript level;,Conus litteratus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus litteratus,marine
P0C258,101315,Conotoxin I2 superfamily,70,,,,2: Evidence at transcript level;,Conus striolatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus striolatus,marine
C7DQX6,89445,Conotoxin I2 superfamily,71,,,,2: Evidence at transcript level;,Conus litteratus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus litteratus,marine
C7DQX8,101318,Conotoxin I2 superfamily,74,,,,2: Evidence at transcript level;,Conus planorbis,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus planorbis,marine
C7DQB8,89442,Conotoxin I2 superfamily,68,,,,2: Evidence at transcript level;,Conus emaciatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus emaciatus,marine
C7DQX7,89445,Conotoxin I2 superfamily,70,,,,2: Evidence at transcript level;,Conus litteratus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus litteratus,marine
C7DQC0,101300,Conotoxin I2 superfamily,68,,,,2: Evidence at transcript level;,Conus eburneus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus eburneus,marine
C7DQX9,101318,Conotoxin I2 superfamily,74,,,,2: Evidence at transcript level;,Conus planorbis,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus planorbis,marine
C7DQB7,89442,Conotoxin I2 superfamily,67,,,,2: Evidence at transcript level;,Conus emaciatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus emaciatus,marine
P0C252,89442,Conotoxin I2 superfamily,39,fragment,,,2: Evidence at transcript level;,Conus emaciatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus emaciatus,marine
P0C615,192919,Conotoxin I2 superfamily,32,,,,1: Evidence at protein level;,Conus spurius,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus spurius,marine
P0C255,101301,Conotoxin I2 superfamily,44,fragment,,,2: Evidence at transcript level;,Conus figulinus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus figulinus,marine
P0C254,88764,Conotoxin I2 superfamily,70,,,,2: Evidence at transcript level;,Conus episcopatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus episcopatus,marine
Q9U3Z3,89764,Conotoxin I2 superfamily,70,,,Contains 4 disulfide bonds. {ECO:0000269|PubMed:12547831}.,1: Evidence at protein level;,Conus betulinus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus betulinus,marine
Q5I4E5,6494,Conotoxin I2 superfamily,69,,,Contains 4 disulfide bonds.,1: Evidence at protein level;,Conus textile,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus textile,marine
P69494,89439,Conotoxin I2 superfamily,67,,,,2: Evidence at transcript level;,Conus capitaneus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus capitaneus,marine
P69498,69564,Conotoxin I2 superfamily,68,,,,2: Evidence at transcript level;,Conus miles,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus miles,marine
P69499,6493,Conotoxin I2 superfamily,68,,,,2: Evidence at transcript level;,Conus striatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus striatus,marine
Q7YZS9,89427,Conotoxin I2 superfamily,67,,,"Contains 4 disulfide bonds. Here are reported disulfide bonds proposed in [PubMed:16268797], even if the connectivity known for the framework XI is I-IV, II-VI, III-VII, V-VIII.",1: Evidence at protein level;,Conus virgo,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus virgo,marine
D2DGD8,93154,Conotoxin I3 superfamily,83,,,,2: Evidence at transcript level;,Conus pulicarius,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus pulicarius,marine
D2DGD9,89445,Conotoxin I3 superfamily,81,,,,2: Evidence at transcript level;,Conus litteratus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus litteratus,marine
D2DGD6,93154,Conotoxin I3 superfamily,80,,,,2: Evidence at transcript level;,Conus pulicarius,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus pulicarius,marine
D2DGD7,93154,Conotoxin I3 superfamily,81,,,,2: Evidence at transcript level;,Conus pulicarius,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus pulicarius,marine
D2DGD5,89440,Conotoxin I3 superfamily,80,,,,2: Evidence at transcript level;,Conus caracteristicus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus caracteristicus,marine
D2DGD3,89440,Conotoxin I3 superfamily,80,,,,1: Evidence at protein level;,Conus caracteristicus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus caracteristicus,marine
D2DGD4,89440,Conotoxin I3 superfamily,76,,,,1: Evidence at protein level;,Conus caracteristicus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus caracteristicus,marine
C7DQC1,89445,Conotoxin I2 superfamily,63,,,,2: Evidence at transcript level;,Conus litteratus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus litteratus,marine
C7DQB9,101300,Conotoxin I2 superfamily,81,,,,2: Evidence at transcript level;,Conus eburneus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus eburneus,marine
C7DQY0,35631,Conotoxin I2 superfamily,84,,,,2: Evidence at transcript level;,Conus imperialis,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus imperialis,marine
Q0N4U4,379542,Conotoxin J superfamily,76,,,,2: Evidence at transcript level;,Conus ferrugineus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus ferrugineus,marine
Q0N4U7,97183,Conotoxin J superfamily,76,,,,2: Evidence at transcript level;,Conus planorbis,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus planorbis,marine
P0CY83,89438,Conotoxin J superfamily,76,,,,2: Evidence at transcript level;,Conus bullatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus bullatus,marine
Q0N4U3,379542,Conotoxin J superfamily,76,,,,2: Evidence at transcript level;,Conus ferrugineus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus ferrugineus,marine
Q0N4U6,97183,Conotoxin J superfamily,68,fragment,,,2: Evidence at transcript level;,Conus planorbis,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus planorbis,marine
Q0N4U5,97183,Conotoxin J superfamily,76,,,,2: Evidence at transcript level;,Conus planorbis,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus planorbis,marine
Q0N4U8,97183,Conotoxin J superfamily,76,,,,1: Evidence at protein level;,Conus planorbis,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus planorbis,marine
P0CG46,101760,Conotoxin B superfamily,103,,,,1: Evidence at protein level;,Conus sulcatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus sulcatus,marine
P0DOZ5,89440,,17,,,,1: Evidence at protein level;,Conus caracteristicus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus caracteristicus,marine
P0C8D9,55423,Conotoxin B superfamily,96,fragment,,,2: Evidence at transcript level;,Conus ermineus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus ermineus,marine
P07231,6491,Conotoxin B superfamily,100,,,,1: Evidence at protein level;,Conus geographus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus geographus,marine
P0DOZ6,37336,,18,,,,1: Evidence at protein level;,Conus gloriamaris,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus gloriamaris,marine
P69745,289038,Conotoxin B superfamily,101,,,,3: Inferred from homology;,Conus lynceus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus lynceus,marine
P0DP00,72282,,22,,,,1: Evidence at protein level;,Conus ochroleucus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus ochroleucus,marine
P0C8E0,505247,Conotoxin B superfamily,19,,,,1: Evidence at protein level;,Conus parius,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus parius,marine
P0C8E1,505247,Conotoxin B superfamily,19,,,,1: Evidence at protein level;,Conus parius,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus parius,marine
P0C8E2,505247,Conotoxin B superfamily,19,,,,1: Evidence at protein level;,Conus parius,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus parius,marine
P0C8E3,41690,Conotoxin B superfamily,104,,,,1: Evidence at protein level;,Conus purpurascens,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus purpurascens,marine
P0DOZ4,101313,,17,,,,1: Evidence at protein level;,Conus quercinus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus quercinus,marine
P0DKY9,745791,Conotoxin B superfamily,103,,,,3: Inferred from homology;,Conus rolani,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus rolani,marine
P0DKZ0,745791,Conotoxin B superfamily,96,fragment,,,3: Inferred from homology;,Conus rolani,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus rolani,marine
P0DKZ1,745791,Conotoxin B superfamily,96,fragment,,,3: Inferred from homology;,Conus rolani,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus rolani,marine
P58806,61198,Conotoxin B superfamily,107,,,,1: Evidence at protein level;,Conus radiatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus radiatus,marine
P17684,6495,Conotoxin B superfamily,21,,,,1: Evidence at protein level;,Conus tulipa,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus tulipa,marine
D6C4I7,1736779,Conotoxin L superfamily,67,,,Contains 2 disulfide bonds. {ECO:0000250}.,3: Inferred from homology;,Californiconus californicus,Mollusca,Gastropoda,Neogastropoda,Conidae,Californiconus,Californiconus californicus,marine
D6C4I8,1736779,Conotoxin L superfamily,66,,,Contains 2 disulfide bonds. {ECO:0000250}.,3: Inferred from homology;,Californiconus californicus,Mollusca,Gastropoda,Neogastropoda,Conidae,Californiconus,Californiconus californicus,marine
Q2I2R5,89445,Conotoxin L superfamily,64,,,May contain a 4-hydroxyproline. {ECO:0000305}.,1: Evidence at protein level;,Conus litteratus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus litteratus,marine
D6C4J0,1736779,Conotoxin L superfamily,67,,,Contains 2 disulfide bonds. {ECO:0000250}.,3: Inferred from homology;,Californiconus californicus,Mollusca,Gastropoda,Neogastropoda,Conidae,Californiconus,Californiconus californicus,marine
D6C4J3,1736779,,59,,,Contains 2 disulfide bonds. {ECO:0000250}.,3: Inferred from homology;,Californiconus californicus,Mollusca,Gastropoda,Neogastropoda,Conidae,Californiconus,Californiconus californicus,marine
D6C4J7,1736779,Conotoxin L superfamily,73,,,Contains 2 disulfide bonds. {ECO:0000250}.,3: Inferred from homology;,Californiconus californicus,Mollusca,Gastropoda,Neogastropoda,Conidae,Californiconus,Californiconus californicus,marine
P84705,1520082,Conotoxin L superfamily,27,,,,1: Evidence at protein level;,Conus anabathrum floridanus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus anabathrum,marine
P0C6S2,289020,Conotoxin L superfamily,27,,,,1: Evidence at protein level;,Conus cancellatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus cancellatus,marine
P84704,257347,Conotoxin L superfamily,27,,,,1: Evidence at protein level;,Conus villepinii,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus villepinii,marine
P84706,1520082,Conotoxin L superfamily,27,,,,1: Evidence at protein level;,Conus anabathrum floridanus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus anabathrum,marine
P0C6S3,289020,Conotoxin L superfamily,28,,,,1: Evidence at protein level;,Conus cancellatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus cancellatus,marine
D6C4J2,1736779,,20,fragment,,Contains 2 disulfide bonds. {ECO:0000250}.,1: Evidence at protein level;,Californiconus californicus,Mollusca,Gastropoda,Neogastropoda,Conidae,Californiconus,Californiconus californicus,marine
P84707,1520082,Conotoxin L superfamily,27,,,,1: Evidence at protein level;,Conus anabathrum floridanus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus anabathrum,marine
D6C4I9,1736779,Conotoxin L superfamily,67,,,Contains 2 disulfide bonds. {ECO:0000250}.,1: Evidence at protein level;,Californiconus californicus,Mollusca,Gastropoda,Neogastropoda,Conidae,Californiconus,Californiconus californicus,marine
E2E4F7,865857,,185,,,,2: Evidence at transcript level;,Caribicus warreni,Chordata,Lepidosauria,Squamata,Diploglossidae,Caribicus,Caribicus warreni,terrestrial
P0C8S6,101309,,23,,,,1: Evidence at protein level;,Conus mustelinus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus mustelinus,marine
Q9BPJ1,6494,Conotoxin M superfamily,67,,,,2: Evidence at transcript level;,Conus textile,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus textile,marine
Q9BPH4,101317,Conotoxin M superfamily,70,,,,2: Evidence at transcript level;,Conus tessulatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus tessulatus,marine
Q9BH51,101317,Conotoxin M superfamily,70,,,,2: Evidence at transcript level;,Conus tessulatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus tessulatus,marine
Q9BPH3,89451,Conotoxin M superfamily,67,,,,2: Evidence at transcript level;,Conus arenatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus arenatus,marine
Q9BPI1,37335,Conotoxin M superfamily,68,,,,2: Evidence at transcript level;,Conus pennaceus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus pennaceus,marine
Q9BPH5,37335,Conotoxin M superfamily,70,,,,2: Evidence at transcript level;,Conus pennaceus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus pennaceus,marine
Q9BP43,37335,Conotoxin M superfamily,36,fragment,,,2: Evidence at transcript level;,Conus pennaceus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus pennaceus,marine
Q9BPH9,101317,Conotoxin M superfamily,72,,,,2: Evidence at transcript level;,Conus tessulatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus tessulatus,marine
P0CY73,89438,Conotoxin M superfamily,76,,,,2: Evidence at transcript level;,Conus bullatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus bullatus,marine
P0CY74,89438,Conotoxin M superfamily,29,fragment,,,2: Evidence at transcript level;,Conus bullatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus bullatus,marine
P58623,89764,Conotoxin M superfamily,14,,,,1: Evidence at protein level;,Conus betulinus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus betulinus,marine
P58624,89764,Conotoxin M superfamily,15,,,,1: Evidence at protein level;,Conus betulinus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus betulinus,marine
P86260,6494,Conotoxin M superfamily,16,,,Contains 3 disulfide bonds.,1: Evidence at protein level;,Conus textile,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus textile,marine
Q9BPJ8,89451,Conotoxin M superfamily,68,,,,2: Evidence at transcript level;,Conus arenatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus arenatus,marine
Q9BPJ0,101317,Conotoxin M superfamily,67,,,,2: Evidence at transcript level;,Conus tessulatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus tessulatus,marine
Q9BPJ2,117992,Conotoxin M superfamily,67,,,,2: Evidence at transcript level;,Conus ventricosus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus ventricosus,marine
Q9BPJ6,6494,Conotoxin M superfamily,70,,,,2: Evidence at transcript level;,Conus textile,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus textile,marine
Q9BPI9,117992,Conotoxin M superfamily,68,,,,2: Evidence at transcript level;,Conus ventricosus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus ventricosus,marine
Q9BP45,37335,Conotoxin M superfamily,20,fragment,,,2: Evidence at transcript level;,Conus pennaceus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus pennaceus,marine
Q9BPI6,101317,Conotoxin M superfamily,67,,,,2: Evidence at transcript level;,Conus tessulatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus tessulatus,marine
Q9BPI7,117992,Conotoxin M superfamily,67,,,,2: Evidence at transcript level;,Conus ventricosus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus ventricosus,marine
Q9BPJ5,6494,Conotoxin M superfamily,72,,,,2: Evidence at transcript level;,Conus textile,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus textile,marine
Q9BPJ3,6494,Conotoxin M superfamily,71,,,,2: Evidence at transcript level;,Conus textile,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus textile,marine
Q9BPH7,117992,Conotoxin M superfamily,69,,,,2: Evidence at transcript level;,Conus ventricosus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus ventricosus,marine
Q9BPJ4,6494,Conotoxin M superfamily,90,,,,2: Evidence at transcript level;,Conus textile,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus textile,marine
Q9BPJ9,101317,Conotoxin M superfamily,68,,,,2: Evidence at transcript level;,Conus tessulatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus tessulatus,marine
Q9BPI3,101317,Conotoxin M superfamily,67,,,,2: Evidence at transcript level;,Conus tessulatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus tessulatus,marine
Q9BPI4,101317,Conotoxin M superfamily,67,,,,2: Evidence at transcript level;,Conus tessulatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus tessulatus,marine
Q9BPK0,101317,Conotoxin M superfamily,68,,,,2: Evidence at transcript level;,Conus tessulatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus tessulatus,marine
Q9BPI5,101317,Conotoxin M superfamily,67,,,,2: Evidence at transcript level;,Conus tessulatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus tessulatus,marine
Q9BPI8,101317,Conotoxin M superfamily,67,,,,2: Evidence at transcript level;,Conus tessulatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus tessulatus,marine
Q9BPI0,6494,Conotoxin M superfamily,71,,,Contains 3 disulfide bonds.,1: Evidence at protein level;,Conus textile,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus textile,marine
Q5I2P0,101306,Conotoxin M superfamily,69,,,,3: Inferred from homology;,Conus leopardus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus leopardus,marine
Q2I2Q5,89445,Conotoxin M superfamily,69,,,,1: Evidence at protein level;,Conus litteratus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus litteratus,marine
Q5EHP1,101313,Conotoxin M superfamily,71,,,,2: Evidence at transcript level;,Conus quercinus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus quercinus,marine
P0C1N6,6494,Conotoxin M superfamily,71,,,Contains 3 disulfide bonds.,1: Evidence at protein level;,Conus textile,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus textile,marine
P0DKQ9,6495,Conotoxin M superfamily,74,,,,2: Evidence at transcript level;,Conus tulipa,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus tulipa,marine
Q5EHP4,101306,Conotoxin M superfamily,70,,,,3: Inferred from homology;,Conus leopardus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus leopardus,marine
Q2I2Q4,89445,Conotoxin M superfamily,70,,,,2: Evidence at transcript level;,Conus litteratus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus litteratus,marine
Q9BPH8,117992,Conotoxin M superfamily,70,,,,2: Evidence at transcript level;,Conus ventricosus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus ventricosus,marine
Q9BPH6,117992,Conotoxin M superfamily,71,,,,2: Evidence at transcript level;,Conus ventricosus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus ventricosus,marine
Q2I2Q3,89445,Conotoxin M superfamily,69,,,,2: Evidence at transcript level;,Conus litteratus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus litteratus,marine
P0C1N2,42752,Conotoxin M superfamily,68,,,,2: Evidence at transcript level;,Conus marmoreus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus marmoreus,marine
Q2I2Q2,89445,Conotoxin M superfamily,70,,,,2: Evidence at transcript level;,Conus litteratus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus litteratus,marine
P0C1N3,42752,Conotoxin M superfamily,68,,,,2: Evidence at transcript level;,Conus marmoreus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus marmoreus,marine
P0CH22,93154,Conotoxin M superfamily,64,fragment,,,2: Evidence at transcript level;,Conus pulicarius,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus pulicarius,marine
Q2I2Q1,89445,Conotoxin M superfamily,66,,,,2: Evidence at transcript level;,Conus litteratus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus litteratus,marine
P0C1N4,42752,Conotoxin M superfamily,64,,,,2: Evidence at transcript level;,Conus marmoreus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus marmoreus,marine
P0CH23,93154,Conotoxin M superfamily,64,fragment,,,2: Evidence at transcript level;,Conus pulicarius,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus pulicarius,marine
P0C1N7,6494,Conotoxin M superfamily,64,,,"Two peptides are produced from this precursor. Conotoxin Tx3.5-b is amidated at Cys-63, conotoxin Tx3.5-a has an unmodified C-terminus. {ECO:0000269|PubMed:19380747}.",1: Evidence at protein level;,Conus textile,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus textile,marine
P0CH21,93154,Conotoxin M superfamily,58,fragment,,,2: Evidence at transcript level;,Conus pulicarius,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus pulicarius,marine
Q5EHP2,42752,Conotoxin M superfamily,70,,,,2: Evidence at transcript level;,Conus marmoreus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus marmoreus,marine
P0C349,6493,Conotoxin M superfamily,22,,,,1: Evidence at protein level;,Conus striatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus striatus,marine
P0DOZ8,1945508,Conotoxin M superfamily,15,,,,1: Evidence at protein level;,Conus asiaticus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus asiaticus,marine
C1J5M5,89438,Conotoxin M superfamily,77,,,,2: Evidence at transcript level;,Conus bullatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus bullatus,marine
P0C1T9,101297,Conotoxin M superfamily,22,,,,2: Evidence at transcript level;,Conus consors,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus consors,marine
P0C1U1,101291,Conotoxin M superfamily,22,,,,2: Evidence at transcript level;,Conus catus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus catus,marine
P0DP10,101301,Conotoxin M superfamily,15,,,Hydroxylated on Pro-11 only in conotoxin Fi3b. {ECO:0000269|PubMed:25420928}.,1: Evidence at protein level;,Conus figulinus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus figulinus,marine
P01523,6491,Conotoxin M superfamily,74,,,"Hydroxylated; hydroxylations improve the ability to block Nav1.4/SCN4A sodium channels but does not affect folding. {ECO:0000269|PubMed:1991506, ECO:0000269|PubMed:2069951}.",1: Evidence at protein level;,Conus geographus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus geographus,marine
P0C195,376876,Conotoxin M superfamily,22,fragment,,"PubMed:23167564 presents recalculated solution structures for mu-KIIIA-P1 with a new disulfide connectivity (C1-C5, C2-C4, C3- C6). This connectivity differs from that proposed in PubMed:19170536 (C1-C4, C2-C5, C3-C6). {ECO:0000305|PubMed:23167564}.",2: Evidence at transcript level;,Conus kinoshitai,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus kinoshitai,marine
P0C1U2,6492,Conotoxin M superfamily,22,,,,2: Evidence at transcript level;,Conus magus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus magus,marine
P0C1M9,42752,Conotoxin M superfamily,17,,,,1: Evidence at protein level;,Conus marmoreus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus marmoreus,marine
P0CH15,505247,Conotoxin M superfamily,15,,,Both Pro-5 and Pro-12 were found to be not hydroxylated.,1: Evidence at protein level;,Conus parius,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus parius,marine
