Entry,Organism,Organism (ID),Protein families,Length,Fragment,Toxic dose,PTM,Gene Ontology (GO),Gene Ontology (molecular function),Protein existence
F2XFS9,Conus eburneus (Ivory cone),101300,Conotoxin A superfamily,63,,,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0005246 (calcium channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0005246 (calcium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P0C8V0,Conus pulicarius (Flea-bitten cone),93154,Conotoxin A superfamily,58,,,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology;
A1X8D1,Conus quercinus (Oak cone),101313,Conotoxin A superfamily,38,fragment,,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology;
P0DUQ6,Conus planorbis (Planorbis cone),97183,Conotoxin A superfamily,70,,,,GO:0005576 (extracellular region); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
A1X8C3,Conus leopardus (Leopard cone),101306,Conotoxin A superfamily,64,,,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology;
P0CB12,Conus ammiralis (Admiral cone),97188,Conotoxin A superfamily,60,,,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology;
A0A068B6Q6,Conus betulinus (Beech cone),89764,Conotoxin A superfamily,37,fragment,,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
A1X8C2,Conus leopardus (Leopard cone),101306,Conotoxin A superfamily,64,,,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology;
F5C3U4,Conus marmoreus (Marble cone),42752,Conotoxin A superfamily,69,,,"Two 4-hydroxyprolines have been detected by MS but the assignment of which of the three prolines is modified is uncertain (PubMed:23152539, PubMed:24351107).",GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0090729 (toxin activity),1: Evidence at protein level;
A1X8D6,Conus leopardus (Leopard cone),101306,Conotoxin A superfamily,37,fragment,,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology;
P0C901,Conus leopardus (Leopard cone),101306,Conotoxin A superfamily,43,,,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology;
P0C1V7,Conus anemone (Anemone cone),101285,Conotoxin A superfamily,17,,,"Sulfation at Tyr-16, in synergy with amidation, is important for activity and structure stability (PubMed:14971903, PubMed:34671739). Non-sulfated conotoxin has a 2.3-fold lower inhibitory potency on alpha-3-beta-2/CHRNA3-CHRNB2 nAChRs (IC(50)=0.64 nM), and a 11-fold lower inhibitory potency on alpha-7/CHRNA7 nAChRs (IC(50)=836 nM), when compared to sulfated conotoxin (PubMed:14971903). {ECO:0000269|PubMed:14971903, ECO:0000269|PubMed:34671739}.",GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P85886,Conus spurius (Alphabet cone),192919,Conotoxin A superfamily,69,,,Occurs in 2 forms which differ in the post-translational modification of Glu-60. In form SrA1 Glu-60 is 4-carboxyglutamate while in form SrA2 Glu-60 is unmodified. {ECO:0000269|PubMed:17635581}.,GO:0044504 (modulation of receptor activity in another organism); GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P0C8R2,Conus arenatus (Sand-dusted cone),89451,Conotoxin A superfamily,39,fragment,,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P56639,Conus aulicus (Princely cone),89437,Conotoxin A superfamily,56,,,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P0DL39,Conus australis (Austral cone) (Asprella australis),1519798,Conotoxin A superfamily,16,,,"Two isomers (with different disulfide connectivity) have been synthesized (AusIA-globular (C1-C3, C2-C4) and AusIA-ribbon (C1-C4, C2- C3)). Only AusIA-globular contains the cysteine connectivity described as typical for native alpha-conotoxins. However, AusIA-ribbon is more potent than AusIA-globular, suggesting that another disulfide connectivity may exist in nature. Both isomers adopt very flexible structures without having a unique folded structure, lacking any stable alpha-helical and/or beta-turn units. {ECO:0000303|PubMed:25194747}.",GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P69657,Conus bullatus (Bubble cone),89438,Conotoxin A superfamily,60,,,Post-translational modification of Pro-50 into hydroxyproline [P50O] induces a 9-fold decrease in inhibition of alpha-6/alpha-3-beta- 2-beta-3 (CHRNA6/CHRNA3-CHRNB2-CHRNB3) and a 4-fold decrease in inhibition of alpha-6/alpha-3-beta-4 (CHRNA6/CHRNA3-CHRNB4). {ECO:0000269|PubMed:20739611}.,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P56973,Conus consors (Singed cone),101297,Conotoxin A superfamily,64,,,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
D4HPD6,Conus catus (Cat cone),101291,Conotoxin A superfamily,59,,PD(50) is 110 ug/kg into zebrafish. {ECO:0000269|PubMed:29857567}.,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P56638,Conus episcopatus (Bishop's cone),88764,Conotoxin A superfamily,56,,,Both tyrosine sulfation and C-terminal amidation are important for activity and structure stability. {ECO:0000269|PubMed:34671739}.,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P50982,Conus ermineus (Agate cone) (Chelyconus ermineus),55423,Conotoxin A superfamily,62,,,,GO:0044504 (modulation of receptor activity in another organism); GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
A6M938,Conus leopardus (Leopard cone),101306,Conotoxin A superfamily,45,fragment,,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
X1WB75,Conasprella longurionis (Cone snail) (Conus longurionis),1077918,Conotoxin A superfamily,18,,,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
L8BU87,Conus lividus (Livid cone),89426,Conotoxin A superfamily,37,fragment,,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology;
P0DL68,Conus limpusi (Cone snail),1967283,Conotoxin A superfamily,17,,,"Amidation at Cys-17 plays a critical role, since a C-terminally carboxylated analog is 3-fold less potent at the alpha-7/CHRNA7 nAChR subtype and 3-fold more potent at the alpha-3-beta-2/CHRNA3-CHRNB2 subtype. {ECO:0000269|PubMed:23924607}.",GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P0C1W1,Conus magus (Magical cone),6492,Conotoxin A superfamily,15,,,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P0DQQ6,Conus milneedwardsi (Glory of India cone snail),2825866,Conotoxin A superfamily,14,,,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P0DQY0,Conus obscurus (Obscure cone) (Conus halitropus),89447,Conotoxin A superfamily,13,,LD(50) is 2.4 nM/g by intramuscular injection into fish (Poecilia reticulata). {ECO:0000269|PubMed:36292948}.,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P0C1R7,Conus omaria (Omaria cone),89429,Conotoxin A superfamily,17,,,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P50984,Conus pennaceus (Feathered cone) (Conus episcopus),37335,Conotoxin A superfamily,16,,,Both tyrosine sulfation and C-terminal amidation are important for activity and structure stability. {ECO:0000269|PubMed:34671739}.,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
Q1L777,Conus pergrandis (Grand cone),330676,Conotoxin A superfamily,38,fragment,,"A non-modified residue at position Pro-34 is critical, since a hydroxylation at this position decreases potency of the toxin to inhibit alpha-3-beta-2 (1-45-fold) and increases potency to inhibit alpha-6/alpha-3-beta-2-beta-3 (1.77-fold) nAChRs. {ECO:0000269|PubMed:23846688}.",GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0005246 (calcium channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0005246 (calcium channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology;
P69658,Conus purpurascens (Purple cone),41690,Conotoxin A superfamily,40,fragment,,,GO:2000272 (negative regulation of signaling receptor activity); GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
S4UJW3,Conus quercinus (Oak cone),101313,Conotoxin A superfamily,83,,,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology;
P0C1D0,Conus regius (Crown cone),101314,Conotoxin A superfamily,32,fragment,,"The disulfide bond CysI-CysIII is important for alpha-9-alpha-10 subtype inhibition, whereas the bond CysII-CysIV contributes to GABA(B) modulation. {ECO:0000269|PubMed:25393758}.",GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P28878,Conus striatus (Striated cone),6493,Conotoxin A superfamily,13,,,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P0DM21,Conus textile (Cloth-of-gold cone),6494,Conotoxin A superfamily,56,,,"Exists in 4 different forms, depending on hydroxylations. Tx1a-PP does not contain hydroxyproline, tx1a-OP has one hydroxyproline at position 45, tx1a-PO has one hydroxyproline at position 46, and tx1a-PP has two hydroxyprolines at positions 45 and 46. {ECO:0000269|PubMed:23031820}.",GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P0CI05,Conus tinianus (Variable cone),909294,Conotoxin A superfamily,16,,,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P58811,Conus tulipa (Fish-hunting cone snail) (Tulip cone),6495,Conotoxin A superfamily,58,,,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P69747,Conus victoriae (Queen Victoria cone),319920,Conotoxin A superfamily,66,,,[C3S]Vc1.1(1-8) mutant is C-terminally amidated. {ECO:0000269|PubMed:26948522}.,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P0C8V4,Conus ventricosus (Mediterranean cone),117992,Conotoxin A superfamily,17,,,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
F5C0A0,Conus virgo (Virgin cone),89427,Conotoxin A superfamily,62,,,The toxin is inactive on the alpha-3-beta-2 nAChR when the disulfide bond connectivity is C1-C4 and C2-C3 (ViIA-I) (IC(50)>10000 nM). {ECO:0000269|PubMed:26511093}.,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P56640,Conus aulicus (Princely cone),89437,Conotoxin A superfamily,58,,,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
C0HLK1,Conus brunneus (Wood's brown cone),101289,Conotoxin A superfamily,13,,,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P0DPT2,Conus catus (Cat cone),101291,Conotoxin A superfamily,41,fragment,,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P0C1W2,Conus magus (Magical cone),6492,Conotoxin A superfamily,15,,,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P0DQY1,Conus obscurus (Obscure cone) (Conus halitropus),89447,Conotoxin A superfamily,13,,,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P50985,Conus pennaceus (Feathered cone) (Conus episcopus),37335,Conotoxin A superfamily,61,,,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P0C351,Conus purpurascens (Purple cone),41690,Conotoxin A superfamily,16,,,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P85009,Conus regius (Crown cone),101314,Conotoxin A superfamily,12,,,"Occurs in 2 forms, Reg1b has a 4-hydroxyproline at Pro-6, Reg1c contains unmodified proline at Pro-6. {ECO:0000269|PubMed:17153339}.",GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
K4RNX9,Conus textile (Cloth-of-gold cone),6494,Conotoxin A superfamily,41,fragment,,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0090729 (toxin activity),3: Inferred from homology;
A0A4P8XV20,Conus ventricosus (Mediterranean cone),117992,Conotoxin A superfamily,42,fragment,,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P0DPL8,Conus textile (Cloth-of-gold cone),6494,Conotoxin A superfamily,62,,,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P56641,Conus aulicus (Princely cone),89437,Conotoxin A superfamily,16,,,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P0C1V8,Conus anemone (Anemone cone),101285,Conotoxin A superfamily,17,,,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P0C8U4,Conus consors (Singed cone),101297,Conotoxin A superfamily,64,,,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P0DQQ5,Conus catus (Cat cone),101291,Conotoxin A superfamily,21,,,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0090729 (toxin activity),1: Evidence at protein level;
Q86RB2,Conus geographus (Geography cone) (Nubecula geographus),6491,Conotoxin A superfamily,40,fragment,,,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P0DX20,Conus lividus (Livid cone),89426,Conotoxin A superfamily,38,fragment,,"The two analogs ([DelQ14]LvIC and [D1G,DelQ14]LvIC) are amidated at their N-terminal Cys. {ECO:0000269|PubMed:36682014}.",GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0090729 (toxin activity),1: Evidence at protein level;
C0HLM2,Conus purpurascens (Purple cone),41690,Conotoxin A superfamily,14,,,A non-hydroxylated version of this conotoxin has been synthesized. Hydroxylation of Pro-7 seems to increase the inhibition of rodent alpha-1-beta-1-delta-epsilon and alpha-1-beta-1-delta-gamma nAChRs. {ECO:0000269|PubMed:28917942}.,GO:2000272 (negative regulation of signaling receptor activity); GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P86261,Conus textile (Cloth-of-gold cone),6494,Conotoxin A superfamily,16,,,Contains 2 disulfide bonds. {ECO:0000269|PubMed:19380747}.,GO:0005576 (extracellular region); GO:0035792 (host cell postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P0DKP5,Conus consors (Singed cone),101297,Conotoxin A superfamily,64,,,,GO:0005576 (extracellular region); GO:0090729 (toxin activity),GO:0090729 (toxin activity),1: Evidence at protein level;
