Entry,Organism,Organism (ID),Protein families,Length,Fragment,Toxic dose,PTM Summary,PTM,Gene Ontology (GO),Gene Ontology (molecular function),Protein existence
P20416,Bothrops jararaca (Jararaca),8724,Peptidase M12B family,29,,,,,,,
P22796,Lachesis muta muta (Bushmaster),8753,Peptidase M12B family,200,,,,,,,
Q9PSN7,Crotalus ruber ruber (Red diamond rattlesnake),8736,Contains 1 disintegrin domain,216,,,DISULFID:6; CARBOHYD:1,,GO:0007596 (blood coagulation); GO:0008237 (metallopeptidase activity),GO:0008237 (metallopeptidase activity),
P20897,Crotalus ruber ruber (Red diamond rattlesnake),8736,Peptidase M12B family,202,,,DISULFID:2; MOD_RES:1,,,,
Q08169,Apis mellifera (Honeybee),7460,Glycosyl hydrolase 56 family,382,,,DISULFID:2; CARBOHYD:2,,,,
P58609,Isyndus obscurus (Assassin bug),184615,,36,,,DISULFID:3,,,,
P59868,Pandinus imperator (Emperor scorpion),55084,Scorpion calcine family,33,,,DISULFID:3,,,,
P59888,Pandinus imperator (Emperor scorpion),55084,Phospholipase A2 family,167,,,DISULFID:5,,,,
P25660,Bungarus fasciatus (Banded krait),8613,Contains 1 BPTI/Kunitz inhibitor domain,65,,,DISULFID:3,,,,
P00987,Bungarus multicinctus (Many-banded krait),8616,Contains 1 BPTI/Kunitz inhibitor domain,85,,,DISULFID:4,,,,
P00991,Vipera ammodytes ammodytes (Western sand viper),8705,Contains 1 BPTI/Kunitz inhibitor domain,61,,,DISULFID:3; MOD_RES:1,,,,
P00989,Bungarus multicinctus (Many-banded krait),8616,Contains 1 BPTI/Kunitz inhibitor domain,85,,,DISULFID:4,,,,
P00990,Daboia russelli siamensis (Siamese Russell's viper) (Vipera russelli siamensis),8708,Contains 1 BPTI/Kunitz inhibitor domain,60,,,DISULFID:3,,,,
P00985,Hemachatus haemachatus (Ringhals) (Sepedon haemachatus),8626,Contains 1 BPTI/Kunitz inhibitor domain,57,,,DISULFID:3,,,,
P00986,Naja nivea (Cape cobra),8655,Contains 1 BPTI/Kunitz inhibitor domain,57,,,DISULFID:3,,,,
P00992,Vipera ammodytes ammodytes (Western sand viper),8705,Contains 1 BPTI/Kunitz inhibitor domain,65,,,DISULFID:3,,,,
P00983,Dendroaspis polylepis polylepis (Black mamba),8620,Contains 1 BPTI/Kunitz inhibitor domain,57,,,DISULFID:3,,,,
P19859,Naja naja (Indian cobra),35670,Contains 1 BPTI/Kunitz inhibitor domain,57,,,DISULFID:3,,,,
P82966,Ophiophagus hannah (King cobra) (Naja hannah),8665,Contains 1 BPTI/Kunitz inhibitor domain,58,,,DISULFID:3,,GO:0005576 (extracellular region); GO:0004867 (serine-type endopeptidase inhibitor activity),GO:0004867 (serine-type endopeptidase inhibitor activity),
Q7LZE3,Dendroaspis angusticeps (Eastern green mamba),8618,Contains 1 BPTI/Kunitz inhibitor domain,59,,,DISULFID:3,,,,
Q7LZS8,Dendroaspis angusticeps (Eastern green mamba),8618,Contains 1 BPTI/Kunitz inhibitor domain,59,,,DISULFID:3,,,,
P00984,Dendroaspis polylepis polylepis (Black mamba),8620,Contains 1 BPTI/Kunitz inhibitor domain,59,,,DISULFID:3,,,,
P00980,Dendroaspis angusticeps (Eastern green mamba),8618,Contains 1 BPTI/Kunitz inhibitor domain,59,,LD(50) is 23 mg/kg by intravenous injection.,DISULFID:3; MOD_RES:1,,,,
P00979,Dendroaspis polylepis polylepis (Black mamba),8620,Contains 1 BPTI/Kunitz inhibitor domain,60,,LD(50) is 38 mg/kg by intravenous injection.,DISULFID:3,,,,
P00982,Dendroaspis angusticeps (Eastern green mamba),8618,Contains 1 BPTI/Kunitz inhibitor domain,57,,LD(50) is 15 mg/kg by intravenous injection.,DISULFID:3,,,,
P00981,Dendroaspis polylepis polylepis (Black mamba),8620,Contains 1 BPTI/Kunitz inhibitor domain,79,,LD(50) is 30 mg/kg by intravenous injection.,DISULFID:3,,,,
P24541,Eristocophis macmahoni (Leaf-nosed viper),8702,Contains 1 BPTI/Kunitz inhibitor domain,62,,,DISULFID:3,,,,
P20229,Naja naja (Indian cobra),35670,Contains 1 BPTI/Kunitz inhibitor domain,57,,,DISULFID:3,,,,
Q7LZE4,Oxyuranus scutellatus scutellatus (Australian taipan),8667,Contains 1 BPTI/Kunitz inhibitor domain,62,,,DISULFID:3,,,,
P83974,Chilobrachys jingzhao (Chinese spider),278060,,62,,,,,,,
P62520,Chilobrachys jingzhao (Chinese spider),278060,,63,,,DISULFID:3,,,,
P82942,Naja kaouthia (Monocled cobra) (Naja siamensis),8649,Contains 1 disintegrin domain,401,,,DISULFID:6; CARBOHYD:1,,,,
Q9TWG0,Anemonia sulcata (Snake-locks sea anemone),6108,Contains 1 BPTI/Kunitz inhibitor domain,58,,,DISULFID:3,,,,
Q9TWF9,Anemonia sulcata (Snake-locks sea anemone),6108,Contains 1 BPTI/Kunitz inhibitor domain,58,,,DISULFID:3,,,,
Q9TWF8,Anemonia sulcata (Snake-locks sea anemone),6108,Contains 1 BPTI/Kunitz inhibitor domain,59,,,DISULFID:3,,,,
P60311,Naja sputatrix (Malayan spitting cobra),33626,Snake toxin family,60,,,DISULFID:4,,,,
P83659,Cyphononyx dorsalis (Spider wasp),246266,Bradykinin family,9,,,,,GO:0045776 (negative regulation of blood pressure); GO:0045987 (positive regulation of smooth muscle contra...); GO:0005615 (extracellular space),,
P83655,Heterometrus spinifer (Asia giant forest scorpion),118530,,23,,,DISULFID:2,,,,
P58910,Parabuthus transvaalicus (South African fattail scorpion),170972,Alpha/beta-scorpion toxin family,63,,,DISULFID:4,,,,
P23631,Latrodectus mactans (Black widow spider),6924,Contains 21 ANK repeats,1401,,,,Alpha-latrotoxin is probably processed at its C-terminus.,,,
Q9XZC0,Latrodectus mactans (Black widow spider),6924,Contains 20 ANK repeats,1395,,,,,,,
P84038,Vipera lebetina (Elephant snake) (Leventine viper),8709,Contains 1 C-type lectin family domain,42,fragment,,DISULFID:1,Glycosylated.,,,
P84037,Vipera lebetina (Elephant snake) (Leventine viper),8709,Contains 1 C-type lectin family domain,43,fragment,,DISULFID:1,Glycosylated.,,,
Q7LZ31,Heloderma horridum horridum (Mexican beaded lizard),8552,,33,fragment,LD(50) is 0.135 mg/kg on mice.,,,,,
Q02989,Latrodectus mactans (Black widow spider),6924,Contains 21 ANK repeats,1411,fragment,,,Probably processed at its C-terminus.,,,
Q25338,Latrodectus mactans (Black widow spider),6924,Contains 15 ANK repeats,1214,,,,Processed at its C-terminus. Unprocessed protein is inactive.,,,
Q95P90,Mesobuthus martensii (Manchurian scorpion) (Buthus martensii),34649,,94,,,DISULFID:3,"A fourth disulfide bond may be found between Cys-17 and Cys- 89, in the condition that the signal peptide is shorter (1-16).",,,
P61507,Hogna carolinensis (Carolina wolf spider) (Lycosa carolinensis),278031,,25,,,MOD_RES:1,,,,
P61508,Hogna carolinensis (Carolina wolf spider) (Lycosa carolinensis),278031,,27,,,,,,,
P56569,Mesobuthus martensii (Manchurian scorpion) (Buthus martensii),34649,Alpha/beta-scorpion toxin family,64,,,DISULFID:4,,,,
Q86BW9,Mesobuthus martensii (Manchurian scorpion) (Buthus martensii),34649,Alpha/beta-scorpion toxin family,85,,,DISULFID:4; MOD_RES:1,,,,
P59853,Mesobuthus martensii (Manchurian scorpion) (Buthus martensii),34649,Alpha/beta-scorpion toxin family,85,,,DISULFID:4; MOD_RES:1,,,,
P28375,Dendroaspis jamesoni kaimosae (Eastern Jameson's mamba),8619,Snake toxin family,59,,,DISULFID:4,,,,
P69034,Protopolybia exigua (Neotropical social wasp),91439,MCD family,14,,,MOD_RES:1,,,,
P69035,Protopolybia exigua (Neotropical social wasp),91439,MCD family,14,,,MOD_RES:1,,,,
P69036,Protopolybia exigua (Neotropical social wasp),91439,MCD family,14,,,MOD_RES:1,,,,
P42716,Parapolybia indica,31921,MCD family,14,,,MOD_RES:1,,,,
P01517,Polistes jadwigae (Paper wasp),7457,MCD family,14,,,MOD_RES:1,,,,
P21654,Vespa basalis (Hornet),7444,MCD family,14,,,MOD_RES:1,,,,
P01516,Vespa crabro (European hornet),7445,MCD family,14,,,MOD_RES:1,,,,
P01514,Vespula lewisii (Yellow jacket) (Wasp),7452,MCD family,14,,,MOD_RES:1,,,,
P04205,Vespa mandarinia (Hornet),7446,MCD family,14,,,MOD_RES:1,,,,
P17238,Vespa orientalis (Oriental hornet),7447,MCD family,14,,,MOD_RES:1,,,,
P01515,Vespa xanthoptera (Japanese hornet),7448,MCD family,14,,,MOD_RES:1,,,,
P01499,Apis mellifera (Honeybee),7460,,50,,,DISULFID:2; MOD_RES:4,,,,
P04567,Megabombus pennsylvanicus (American common bumblebee),28643,,28,,,DISULFID:2,,,,
P68407,Apis cerana cerana (Oriental honeybee),94128,Melittin family,70,,,MOD_RES:1,,,,
Q8LW54,Apis cerana (Indian honeybee),7461,Melittin family,77,,,MOD_RES:1,,,,
P01502,Apis dorsata (Giant honeybee),7462,Melittin family,26,,,MOD_RES:1,,,,
P01504,Apis florea (Little honeybee),7463,Melittin family,26,,,MOD_RES:1,,,,
P01501,Apis mellifera (Honeybee),7460,Melittin family,70,,,MOD_RES:2,,,,
P59261,Polistes hebraeus (Paper wasp),202806,Melittin family,70,,,MOD_RES:1,,,,
P59262,Vespula maculifrons (Eastern yellow jacket) (Wasp),7453,Melittin family,70,,,MOD_RES:1,,,,
P68408,Vespa magnifica (Hornet),202807,Melittin family,70,,,MOD_RES:1,,,,
P68409,Vespa velutina nigrithorax (Hornet),202809,Melittin family,70,,,MOD_RES:1,,,,
P60273,Grammostola spatulata (Chilean rose tarantula),29015,Spider potassium channel inhibitory toxin family,31,,,DISULFID:3,,,,
Q7YT39,Grammostola spatulata (Chilean rose tarantula),29015,Spider potassium channel inhibitory toxin family,82,,,MOD_RES:1,,,,
O57540,Crotalus durissus terrificus (South American rattlesnake),8732,Snake toxin myotoxin family,65,,,DISULFID:3,,,,
Q9PWF3,Crotalus durissus terrificus (South American rattlesnake),8732,Snake toxin myotoxin family,65,,,DISULFID:3,,,,
O73799,Crotalus durissus terrificus (South American rattlesnake),8732,Snake toxin myotoxin family,64,,,DISULFID:3,,,,
Q07932,Myrmecia pilosula (Bulldog ant) (Australian jumper ant),13618,,112,,,,,,,
Q26464,Myrmecia pilosula (Bulldog ant) (Australian jumper ant),13618,,75,,,,,,,
P24331,Crotalus durissus terrificus (South American rattlesnake),8732,Snake toxin myotoxin family,65,,,DISULFID:3,,,,
P12028,Crotalus viridis concolor (Midget faded rattlesnake),8740,Snake toxin myotoxin family,43,,,DISULFID:3,,,,
P01476,Crotalus viridis viridis (Prairie rattlesnake),8742,Snake toxin myotoxin family,42,,LD(50) is 3.0 mg/kg by intramuscular injection.,DISULFID:3,,,,
P24332,Crotalus durissus terrificus (South American rattlesnake),8732,Snake toxin myotoxin family,64,fragment,,DISULFID:1,,,,
P12029,Crotalus viridis concolor (Midget faded rattlesnake),8740,Snake toxin myotoxin family,43,,,DISULFID:3,,,,
P63175,Crotalus viridis viridis (Prairie rattlesnake),8742,Snake toxin myotoxin family,45,,,DISULFID:3,,,,
P24333,Crotalus durissus terrificus (South American rattlesnake),8732,Snake toxin myotoxin family,65,,,DISULFID:3,,,,
P63176,Crotalus viridis viridis (Prairie rattlesnake),8742,Snake toxin myotoxin family,45,,,DISULFID:3,,,,
P24334,Crotalus durissus terrificus (South American rattlesnake),8732,Snake toxin myotoxin family,51,fragment,,DISULFID:3,,,,
P01475,Crotalus durissus terrificus (South American rattlesnake),8732,Snake toxin myotoxin family,42,,LD(50) is 32.8 mg/kg by intraperitoneal injection into mice.,DISULFID:3,,,,
P01477,Crotalus viridis helleri (Southern pacific rattlesnake),8741,Snake toxin myotoxin family,43,,LD(50) is 1.96 mg/kg by intravenous injection.,DISULFID:3,,,,
P24330,Crotalus adamanteus (Eastern diamondback rattlesnake),8729,Snake toxin myotoxin family,45,,LD(50) is 0.96 mg/kg by subcutaneous injection.,DISULFID:3,,,,
P63327,Crotalus durissus ruruima (South American rattlesnake) (Mt. Roraima rattlesnake),221570,Snake toxin myotoxin family,42,,,DISULFID:3,,,,
P82972,Pseudocerastes persicus (Persian horned viper) (False horned viper),47769,Natriuretic peptide family,37,,,DISULFID:1,,GO:0030146 (diuresis); GO:0045776 (negative regulation of blood pressure); GO:0009405 (pathogenesis); GO:0030828 (positive regulation of cGMP biosynthesis); GO:0005576 (extracellular region),,
P80958,Naja atra (Chinese cobra),8656,Snake toxin family,82,,,DISULFID:4,,,,
Q9W717,Naja atra (Chinese cobra),8656,Snake toxin family,86,,,DISULFID:4,,,,
O77463,Tityus serrulatus (Brazilian scorpion),6887,Alpha/beta-scorpion toxin family,84,,,DISULFID:4; MOD_RES:1,,,,
P60589,Naja nigricollis (Black-necked spitting cobra),8654,Contains 1 WAP-type domain,51,,,DISULFID:4,,,,
P83490,Coelognathus radiatus (Radiated ratsnake) (Elaphe radiata),201391,Snake toxin family,77,,,DISULFID:5; MOD_RES:1,,,,
Q9PUB7,Micrurus corallinus (Brazilian coral snake),54390,Snake toxin family,78,,,DISULFID:4,,,,
Q9PRI1,Micrurus corallinus (Brazilian coral snake),54390,Snake toxin family,78,,,DISULFID:4,,,,
P58370,Micrurus corallinus (Brazilian coral snake),54390,Snake toxin family,86,,,DISULFID:5,,,,
P01526,Cerebratulus lacteus (Milky ribbon worm),6221,Worm B-toxin family,55,,,DISULFID:4; MOD_RES:1,,,,
P01525,Cerebratulus lacteus (Milky ribbon worm),6221,Worm B-toxin family,55,,,DISULFID:4; MOD_RES:1,,,,
Q8AY53,Bungarus candidus (Malayan krait),92438,Snake toxin family,86,,,DISULFID:4,,,,
Q8AY52,Bungarus candidus (Malayan krait),92438,Snake toxin family,86,,,DISULFID:4,,,,
Q8AY56,Bungarus candidus (Malayan krait),92438,Snake toxin family,87,,,DISULFID:5,,,,
Q8AY55,Bungarus candidus (Malayan krait),92438,Snake toxin family,87,,,DISULFID:5,,,,
P60615,Bungarus multicinctus (Many-banded krait),8616,Snake toxin family,95,,LD(50) is 0.3 mg/kg by subcutaneous injection.,DISULFID:5,,,,
P60616,Bungarus multicinctus (Many-banded krait),8616,Snake toxin family,95,,,DISULFID:5,,,,
P01385,Acanthophis antarcticus (Common death adder),8605,Snake toxin family,73,,LD(50) is 0.13 mg/kg by intramuscular injection.,DISULFID:5,,,,
P25670,Aspidelaps scutatus (Shield-nose snake),8607,Snake toxin family,68,,LD(50) is 0.13 mg/kg by intravenous injection.,DISULFID:5,,,,
P01380,Astrotia stokesi (Stokes's sea snake) (Disteira stokesi),8680,Snake toxin family,70,,LD(50) is 0.096 mg/kg by intramuscular injection.,DISULFID:5; MOD_RES:1,,,,
P34074,Boulengerina annulata annulata (Banded water cobra),8610,Snake toxin family,71,,LD(50) is 0.086 mg/kg by intraperitoneal injection.,DISULFID:5,,,,
P01398,Bungarus multicinctus (Many-banded krait),8616,Snake toxin family,87,,,DISULFID:5,,,,
P01393,Dendroaspis jamesoni kaimosae (Eastern Jameson's mamba),8619,Snake toxin family,72,,LD(50) is 0.38 mg/kg by subcutaneous injection.,DISULFID:5,,,,
P01396,Dendroaspis polylepis polylepis (Black mamba),8620,Snake toxin family,72,,LD(50) is 0.12 mg/kg by subcutaneous injection.,DISULFID:5,,,,
P01394,Dendroaspis viridis (Western green mamba),8621,Snake toxin family,72,,LD(50) is 0.9 mg/kg by intraperitoneal injection.,DISULFID:5,Neurotoxin 4.7.3 differs from 4.9.3 only in that Trp-26 has undergone partial photooxidation.,,,
P01379,Laticauda semifasciata (Broad-banded blue sea snake) (Erabu sea snake),8631,Snake toxin family,87,,LD(50) is 1.24 mg/kg by intramuscular injection.,DISULFID:5,,,,
P01389,Naja haje anchietae (Angolan cobra),263737,Snake toxin family,72,,LD(50) is 0.067 mg/kg by subcutaneous injection.,DISULFID:5,,,,
P25674,Naja haje haje (Egyptian cobra),8642,Snake toxin family,71,,LD(50) is 0.11 mg/kg by intravenous injection.,DISULFID:5,,,,
P01391,Naja kaouthia (Monocled cobra) (Naja siamensis),8649,Snake toxin family,71,,LD(50) is 0.1 mg/kg by intravenous injection.,DISULFID:5,,,,
P01383,Naja melanoleuca (Forest cobra) (Black-lipped cobra),8643,Snake toxin family,71,,LD(50) is 1.5 mg/kg by intraperitoneal injection.,DISULFID:5,,,,
P25668,Naja naja (Indian cobra),35670,Snake toxin family,71,,LD(50) is 0.15 mg/kg by subcutaneous injection.,DISULFID:5,,,,
P01390,Naja nivea (Cape cobra),8655,Snake toxin family,71,,LD(50) is 0.076 mg/kg by subcutaneous injection.,DISULFID:5,,,,
P01382,Naja oxiana (Central Asian cobra) (Oxus cobra),8657,Snake toxin family,73,,LD(50) is 0.56 mg/kg by intraperitoneal injection.,DISULFID:5,,,,
P01384,Notechis scutatus scutatus (Mainland tiger snake) (Common tiger snake),70142,Snake toxin family,73,,LD(50) is 0.125 mg/kg by intravenous injection.,DISULFID:5,,,,
P01387,Ophiophagus hannah (King cobra) (Naja hannah),8665,Snake toxin family,73,,LD(50) is 0.3 mg/kg by subcutaneous injection.,DISULFID:5,,,,
P01381,Astrotia stokesi (Stokes's sea snake) (Disteira stokesi),8680,Snake toxin family,72,,LD(50) is 0.096 mg/kg by intramuscular injection.,DISULFID:5; MOD_RES:1,,,,
P15815,Bungarus flaviceps flaviceps (Red-headed krait),8615,Snake toxin family,66,,,DISULFID:5,,,,
P01397,Dendroaspis polylepis polylepis (Black mamba),8620,Snake toxin family,72,,,DISULFID:5,,,,
P01395,Dendroaspis viridis (Western green mamba),8621,Snake toxin family,73,,"LD(50) is 0.045 mg/kg by subcutaneous injection for variant I, and 0.08 mg/kg for variant V.",DISULFID:5,,,,
P01388,Naja melanoleuca (Forest cobra) (Black-lipped cobra),8643,Snake toxin family,71,,,DISULFID:5,,,,
P25669,Naja naja (Indian cobra),35670,Snake toxin family,71,,,DISULFID:5,,,,
P01386,Ophiophagus hannah (King cobra) (Naja hannah),8665,Snake toxin family,73,,LD(50) is 0.35 mg/kg by subcutaneous injection.,DISULFID:5,,,,
P25667,Dendroaspis polylepis polylepis (Black mamba),8620,Snake toxin family,72,,LD(50) is 0.4 mg/kg by subcutaneous injection.,DISULFID:5,,,,
P25671,Naja naja (Indian cobra),35670,Snake toxin family,71,,LD(50) is 0.10 to 0.15 mg/kg by subcutaneous injection.,DISULFID:5,,,,
P07526,Ophiophagus hannah (King cobra) (Naja hannah),8665,Snake toxin family,73,,,DISULFID:5,,,,
O12961,Bungarus multicinctus (Many-banded krait),8616,Snake toxin family,87,,,DISULFID:5,,,,
P25672,Naja naja (Indian cobra),35670,Snake toxin family,71,,LD(50) is 0.22 mg/kg by subcutaneous injection.,DISULFID:5,,,,
P80156,Ophiophagus hannah (King cobra) (Naja hannah),8665,Snake toxin family,72,,,DISULFID:5,,,,
O12962,Bungarus multicinctus (Many-banded krait),8616,Snake toxin family,87,,,DISULFID:5,,,,
P25673,Naja naja (Indian cobra),35670,Snake toxin family,71,,,DISULFID:5,,,,
P80965,Ophiophagus hannah (King cobra) (Naja hannah),8665,Snake toxin family,72,,,DISULFID:5,,,,
Q9W729,Bungarus multicinctus (Many-banded krait),8616,Snake toxin family,87,,,DISULFID:5,,,,
P82662,Ophiophagus hannah (King cobra) (Naja hannah),8665,Snake toxin family,70,,,DISULFID:5,,,,
O42257,Naja sputatrix (Malayan spitting cobra),33626,Snake toxin family,90,,LD(50) is 0.14 mg/kg by intravenous injection into mice.,DISULFID:5,,,,
Q7T3J2,Bungarus candidus (Malayan krait),92438,Snake toxin family,95,,LD(50) is 0.23 mg/kg by intraperitoneal injection into mice.,DISULFID:5,,,,
P15816,Bungarus multicinctus (Many-banded krait),8616,Snake toxin family,87,,,DISULFID:5,,,,
P13495,Pseudonaja textilis (Eastern brown snake),8673,Snake toxin family,71,,LD(50) is 0.015 mg/kg by intraperitoneal injection into mice.,DISULFID:5,,,,
P34073,Acanthophis antarcticus (Common death adder),8605,Snake toxin family,74,,,DISULFID:5,,,,
Q9YGH9,Bungarus multicinctus (Many-banded krait),8616,Snake toxin family,89,,,DISULFID:5,,,,
Q9W796,Bungarus multicinctus (Many-banded krait),8616,Snake toxin family,89,,,DISULFID:5,,,,
O12963,Bungarus multicinctus (Many-banded krait),8616,Snake toxin family,89,,,DISULFID:5,,,,
Q9YGJ0,Bungarus multicinctus (Many-banded krait),8616,Snake toxin family,89,,,DISULFID:5,,,,
P15818,Bungarus multicinctus (Many-banded krait),8616,Snake toxin family,87,,,DISULFID:5,,,,
P14612,Pseudechis australis (Mulga snake) (King brown snake),8670,Snake toxin family,68,,,DISULFID:5,,,,
Q9W7J5,Pseudonaja textilis (Eastern brown snake),8673,Snake toxin family,103,,,DISULFID:5,,,,
P15817,Bungarus multicinctus (Many-banded krait),8616,Snake toxin family,87,,,DISULFID:5,,,,
Q7ZT13,Bungarus multicinctus (Many-banded krait),8616,Snake toxin family,86,,,DISULFID:4,,,,
Q800Y3,Bungarus multicinctus (Many-banded krait),8616,Snake toxin family,86,,,DISULFID:4,,,,
Q8QGR0,Dendroaspis angusticeps (Eastern green mamba),8618,Snake toxin family,86,,,DISULFID:4,,GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0048019 (receptor antagonist activity),GO:0048019 (receptor antagonist activity),
P60234,Dendroaspis angusticeps (Eastern green mamba),8618,Snake toxin family,65,,,DISULFID:4,,,,
P60235,Dendroaspis angusticeps (Eastern green mamba),8618,Snake toxin family,40,fragment,,DISULFID:1,Contains three disulfide bonds (By similarity).,,,
P60236,Dendroaspis angusticeps (Eastern green mamba),8618,Snake toxin family,40,fragment,,DISULFID:1,Contains three disulfide bonds (By similarity).,,,
P60237,Dendroaspis angusticeps (Eastern green mamba),8618,Snake toxin family,63,,,DISULFID:4,,,,
P83302,Ophiophagus hannah (King cobra) (Naja hannah),8665,Snake toxin family,57,,LD(50) is 2 mg/kg by intravenous injection.,DISULFID:4,,,,
P01434,Acanthophis antarcticus (Common death adder),8605,Snake toxin family,62,,LD(50) is 0.08 mg/kg by intramuscular injection.,DISULFID:4,,,,
P32879,Aipysurus laevis (Olive sea snake),8678,Snake toxin family,60,,LD(50) is 0.067 mg/kg by intramuscular injection.,DISULFID:4,,,,
P68412,Astrotia stokesi (Stokes's sea snake) (Disteira stokesi),8680,Snake toxin family,60,,LD(50) is 0.13 mg/kg by intramuscular injection.,DISULFID:4,,,,
P34075,Boulengerina annulata annulata (Banded water cobra),8610,Snake toxin family,61,,LD(50) is 0.052 mg/kg by intraperitoneal injection.,DISULFID:4,,,,
P34076,Boulengerina christyi (Christy's water cobra),8611,Snake toxin family,62,,LD(50) is 0.083 mg/kg by intraperitoneal injection.,DISULFID:4,,,,
P10808,Bungarus fasciatus (Banded krait),8613,Snake toxin family,64,,,DISULFID:4,,,,
P01417,Dendroaspis jamesoni kaimosae (Eastern Jameson's mamba),8619,Snake toxin family,60,,LD(50) is 0.11 mg/kg by subcutaneous injection.,DISULFID:4,,,,
P01416,Dendroaspis polylepis polylepis (Black mamba),8620,Snake toxin family,60,,LD(50) is 0.09 mg/kg by subcutaneous injection.,DISULFID:4,,,,
P01418,Dendroaspis viridis (Western green mamba),8621,Snake toxin family,60,,LD(50) is 0.08 mg/kg by intraperitoneal injection.,DISULFID:4,,,,
P68415,Enhydrina schistosa (Beaked sea snake) (Common sea snake),8682,Snake toxin family,60,,LD(50) is 0.2 mg/kg by intravenous injection.,DISULFID:4,,,,
P01425,Hemachatus haemachatus (Ringhals) (Sepedon haemachatus),8626,Snake toxin family,61,,LD(50) is 0.11 mg/kg by intravenous injection.,DISULFID:4,,,,
P25494,Hydrophis cyanocinctus (Asian annulated sea snake),8686,Snake toxin family,60,,,DISULFID:4,,,,
P01437,Hydrophis lapemoides (Persian gulf sea snake),8684,Snake toxin family,60,,LD(50) is 0.09 mg/kg by intramuscular injection.,DISULFID:4,,,,
P68413,Hydrophis ornatus (Reef sea snake),8685,Snake toxin family,60,,,DISULFID:4,,,,
P68416,Lapemis hardwickii (Hardwick's sea snake),8781,Snake toxin family,60,,,DISULFID:4,,,,
Q9YGC2,Laticauda laticaudata (Blue-ringed sea krait),8630,Snake toxin family,83,,,DISULFID:4,,,,
P80548,Micrurus nigrocinctus (Central American coral snake) (Gargantilla),8635,Snake toxin family,60,,,DISULFID:4,,,,
P60770,Naja atra (Chinese cobra),8656,Snake toxin family,83,,LD(50) is 0.09 mg/kg by subcutaneous injection.,DISULFID:4,,,,
P68417,Naja haje annulifera (Banded Egyptian cobra),8641,Snake toxin family,61,,LD(50) is 0.105 mg/kg by subcutaneous injection.,DISULFID:4,,,,
P68418,Naja haje haje (Egyptian cobra),8642,Snake toxin family,61,,LD(50) is 0.10 mg/kg by intravenous injection.,DISULFID:4,,,,
P60771,Naja kaouthia (Monocled cobra) (Naja siamensis),8649,Snake toxin family,62,,LD(50) is 3.25 ug/kg by intraperitoneal injection into mice.,DISULFID:4,,,,
P01424,Naja melanoleuca (Forest cobra) (Black-lipped cobra),8643,Snake toxin family,61,,,DISULFID:4,,,,
P01431,Naja mossambica (Mozambique cobra),8644,Snake toxin family,62,,LD(50) is 0.04 mg/kg by subcutaneous injection.,DISULFID:4,,,,
P68419,Naja nivea (Cape cobra),8655,Snake toxin family,61,,LD(50) is 0.086 mg/kg by intravenous injection.,DISULFID:4,,,,
P01427,Naja oxiana (Central Asian cobra) (Oxus cobra),8657,Snake toxin family,61,,,DISULFID:4,,,,
P01426,Naja pallida (Red spitting cobra),8658,Snake toxin family,61,,LD(50) is 0.036 mg/kg by subcutaneous injection.,DISULFID:4,,,,
P60773,Naja philippinensis (Philippine cobra),8659,Snake toxin family,61,,LD(50) is 0.05 mg/kg by intravenous injection.,DISULFID:4,,,,
P60774,Naja samarensis (Visayan cobra),8660,Snake toxin family,61,,,DISULFID:4,,,,
P25497,Pseudechis australis (Mulga snake) (King brown snake),8670,Snake toxin family,62,,LD(50) is 0.076 mg/kg by intravenous injection.,DISULFID:4,,,,
Q9W7K2,Pseudonaja textilis (Eastern brown snake),8673,Snake toxin family,79,,,DISULFID:4,,,,
P19959,Aipysurus laevis (Olive sea snake),8678,Snake toxin family,81,,LD(50) is 0.067 mg/kg by intramuscular injection.,DISULFID:4,,,,
P14534,Bungarus fasciatus (Banded krait),8613,Snake toxin family,63,,,DISULFID:4,,,,
P01433,Hemachatus haemachatus (Ringhals) (Sepedon haemachatus),8626,Snake toxin family,61,,LD(50) is 0.09 mg/kg by intravenous injection.,DISULFID:4,,,,
P62376,Hydrophis cyanocinctus (Asian annulated sea snake),8686,Snake toxin family,60,,LD(50) is 0.085 mg/kg by intravenous injection.,DISULFID:4,,,,
P10457,Laticauda colubrina (Yellow-lipped sea krait),8628,Snake toxin family,83,,,DISULFID:4,,,,
Q9YGW9,Laticauda laticaudata (Blue-ringed sea krait),8630,Snake toxin family,83,,,DISULFID:4,,,,
Q9DE57,Naja atra (Chinese cobra),8656,Snake toxin family,83,,,DISULFID:4,,,,
P01422,Naja haje annulifera (Banded Egyptian cobra),8641,Snake toxin family,61,,LD(50) is 0.12 mg/kg by subcutaneous injection.,DISULFID:4,,,,
P25675,Naja haje haje (Egyptian cobra),8642,Snake toxin family,61,,LD(50) is 0.08 mg/kg by intravenous injection.,DISULFID:4,,,,
P01423,Naja nivea (Cape cobra),8655,Snake toxin family,61,,LD(50) is 0.08 mg/kg by intravenous injection.,DISULFID:4,,,,
Q9W7K1,Pseudonaja textilis (Eastern brown snake),8673,Snake toxin family,79,,,DISULFID:4,,,,
P19958,Aipysurus laevis (Olive sea snake),8678,Snake toxin family,60,,LD(50) is 0.076 mg/kg by intramuscular injection.,DISULFID:4,,,,
