Entry,Organism,Organism (ID),Protein families,Length,Fragment,Toxic dose,PTM
P01527,Cerebratulus lacteus (Milky ribbon worm) (Micrura lactea),6221,,95,,,
P0CE24,Conus capitaneus (Captain cone),89439,conotoxin D superfamily,92,,,Contains 5 disulfide bonds. {ECO:0000305}.
C4PWC4,Conus miles (Soldier cone) (Mile cone),69564,conotoxin D superfamily,92,,,Contains 5 disulfide bonds. {ECO:0000305}.
C4PWC3,Conus mustelinus (Weasel cone),101309,conotoxin D superfamily,93,,,Contains 5 disulfide bonds. {ECO:0000305}.
P0CE34,Conus rattus (Rat cone),72283,conotoxin D superfamily,92,,,Contains 5 disulfide bonds. {ECO:0000305}.
P0CE36,Conus vitulinus (Calf cone) (Conus planorbis vitulinus),101318,conotoxin D superfamily,94,,,Contains 5 disulfide bonds. {ECO:0000305}.
P0CE25,Conus capitaneus (Captain cone),89439,conotoxin D superfamily,94,,,Contains 5 disulfide bonds. {ECO:0000305}.
P0CE31,Conus miles (Soldier cone) (Mile cone),69564,conotoxin D superfamily,92,,,Contains 5 disulfide bonds. {ECO:0000305}.
P0CE28,Conus mustelinus (Weasel cone),101309,conotoxin D superfamily,93,,,Contains 5 disulfide bonds. {ECO:0000305}.
P0CE35,Conus rattus (Rat cone),72283,conotoxin D superfamily,92,,,Contains 5 disulfide bonds. {ECO:0000305}.
P0CE32,Conus miles (Soldier cone) (Mile cone),69564,conotoxin D superfamily,92,,,Contains 5 disulfide bonds. {ECO:0000305}.
P0CE26,Conus capitaneus (Captain cone),89439,conotoxin D superfamily,95,,,Contains 5 disulfide bonds. {ECO:0000305}.
P0CE33,Conus miles (Soldier cone) (Mile cone),69564,conotoxin D superfamily,92,,,Contains 5 disulfide bonds. {ECO:0000305}.
P0CE29,Conus mustelinus (Weasel cone),101309,conotoxin D superfamily,95,,,Contains 5 disulfide bonds. {ECO:0000305}.
P0CE27,Conus capitaneus (Captain cone),89439,conotoxin D superfamily,95,,,Contains 5 disulfide bonds. {ECO:0000305}.
P0CE30,Conus mustelinus (Weasel cone),101309,conotoxin D superfamily,95,,,Contains 5 disulfide bonds. {ECO:0000305}.
P0DKQ7,Conus consors (Singed cone),101297,,146,,,
P0DM45,Conus cancellatus (Cancellate cone) (Conus austini),289020,,23,,,Contains 3 disulfide bonds.
P58990,Conus radiatus (Rayed cone),61198,vasopressin/oxytocin family,84,,,
P0DL31,Conus regularis (Regular cone),1333719,,40,,,Contains 4 disulfide bonds. {ECO:0000305}.
P0CI23,Conus araneosus (Cobweb cone),101286,conotoxin T superfamily,11,,,
P0CI22,Conus araneosus (Cobweb cone),101286,conotoxin T superfamily,12,,,
P0DJC4,Conus quercinus (Oak cone),101313,conotoxin T superfamily,62,,,
P0DJC5,Conus quercinus (Oak cone),101313,conotoxin T superfamily,62,,,
P0DJC6,Conus quercinus (Oak cone),101313,conotoxin O1 superfamily,94,,,
P0DJC7,Conus quercinus (Oak cone),101313,conotoxin O1 superfamily,70,,,
Q5I4E6,Conus textile (Cloth-of-gold cone),6494,conotoxin I2 superfamily,82,,,Contains 4 disulfide bonds.
B4YSU8,Conus caracteristicus (Characteristic cone),89440,conotoxin Y superfamily,74,,,Contains disulfide bonds. {ECO:0000305}.
Q5G8B7,Tityus costatus (Brazilian scorpion),309814,,63,,,
J3RYX9,Crotalus adamanteus (Eastern diamondback rattlesnake),8729,cystatin family,139,,,
J3SE80,Crotalus adamanteus (Eastern diamondback rattlesnake),8729,cystatin family,136,,,
E3P6N3,Austrelaps superbus (Lowland copperhead snake) (Hoplocephalus superbus),29156,cystatin family,141,,,
P08935,Bitis arietans (African puff adder),8692,cystatin family,111,,,
Q6T6T4,Bitis gabonica (Gaboon adder) (Gaboon viper),8694,cystatin family,140,,,
B1P1J3,Chilobrachys guangxiensis (Chinese earth tiger tarantula) (Chilobrachys jingzhao),278060,cystatin family,134,,,
E3P6P1,Cryptophis nigrescens (Eastern small-eyed snake) (Rhinoplocephalus nigrescens),292442,cystatin family,141,,,
E3P6P0,Hoplocephalus stephensii (Stephens' banded snake),196418,cystatin family,141,,,
E3P6P3,Micropechis ikaheca (New Guinean small-eyed snake),66188,cystatin family,141,,,
P81714,Naja atra (Chinese cobra),8656,cystatin family,99,fragment,,
E3P6P4,Naja kaouthia (Monocled cobra) (Naja siamensis),8649,cystatin family,141,,,
E3P6P2,Notechis scutatus scutatus (Mainland tiger snake) (Common tiger snake),70142,cystatin family,141,,,
E3P6N5,Oxyuranus microlepidotus (Inland taipan),111177,cystatin family,141,,,
E3P6N6,Oxyuranus scutellatus scutellatus (Australian taipan) (Coastal taipan),8667,cystatin family,141,,,
Q2XXN5,Pogona barbata (Bearded dragon),52202,cystatin family,144,,,
E3P6N8,Pseudechis australis (Mulga snake) (King brown snake),8670,cystatin family,141,,,
E3P6N7,Pseudechis porphyriacus (Red-bellied black snake),8671,cystatin family,141,,,
E3P6N4,Pseudonaja textilis (Eastern brown snake),8673,cystatin family,141,,,
E3P6N9,Tropidechis carinatus (Australian rough-scaled snake),100989,cystatin family,141,,,
P85870,Oreumenes decoratus (Potter wasp),531920,,11,,,
P0C8B1,Ornithorhynchus anatinus (Duckbill platypus),9258,,68,,,
Q95P88,Mesobuthus martensii (Manchurian scorpion) (Buthus martensii),34649,invertebrate defensin family,61,,,
P0CF77,Tityus discrepans (Venezuelan scorpion),57059,invertebrate defensin family,36,,,
P85887,Phyllomedusa azurea (Orange-legged monkey frog) (Phyllomedusa hypochondrialis azurea),394475,frog skin active peptide (FSAP) family. Dermorphin subfamily,7,,,
P84523,Phyllomedusa hypochondrialis (Orange-legged leaf frog),317381,frog skin active peptide (FSAP) family. Dermorphin subfamily,7,,,
Q8T0W8,Gastrophysa atrocyanea (Leaf beetle),169758,diapausin family,65,,,
P83253,Macrovipera lebetina (Levantine viper) (Vipera lebetina),8709,disintegrin family. Dimeric disintegrin subfamily,111,,,
P83254,Macrovipera lebetina (Levantine viper) (Vipera lebetina),8709,disintegrin family. Dimeric disintegrin subfamily,64,,,
Q6T6T3,Bitis gabonica (Gaboon adder) (Gaboon viper),8694,disintegrin family. Dimeric disintegrin subfamily,128,,,
Q3BER2,Echis ocellatus (Ocellated saw-scaled viper),99586,disintegrin family. Dimeric disintegrin subfamily,111,,,
Q3BK13,Macrovipera lebetina (Levantine viper) (Vipera lebetina),8709,disintegrin family. Dimeric disintegrin subfamily,128,,,
Q6T6T2,Bitis gabonica (Gaboon adder) (Gaboon viper),8694,disintegrin family. Dimeric disintegrin subfamily,128,,,
Q3BER3,Echis ocellatus (Ocellated saw-scaled viper),99586,disintegrin family. Dimeric disintegrin subfamily,128,,,
P0C6A8,Macrovipera lebetina obtusa (Levant blunt-nosed viper) (Vipera lebetina obtusa),209528,disintegrin family. Dimeric disintegrin subfamily,65,,,
Q3BER4,Echis ocellatus (Ocellated saw-scaled viper),99586,disintegrin family. Dimeric disintegrin subfamily,115,,,
P0C6A4,Echis ocellatus (Ocellated saw-scaled viper),99586,disintegrin family. Dimeric disintegrin subfamily,66,,,
P0C6B0,Macrovipera lebetina obtusa (Levant blunt-nosed viper) (Vipera lebetina obtusa),209528,disintegrin family. Dimeric disintegrin subfamily,69,,,
P83041,Cerastes cerastes (Horned desert viper),8697,disintegrin family. Dimeric disintegrin subfamily,65,,,
P82465,Echis carinatus sochureki (Saw-scaled viper),124223,disintegrin family. Dimeric disintegrin subfamily,115,,,
P0C6A6,Vipera berus berus (Common viper),31156,disintegrin family. Dimeric disintegrin subfamily,64,,,
P83043,Cerastes cerastes (Horned desert viper),8697,disintegrin family. Dimeric disintegrin subfamily,65,,,
P83044,Cerastes cerastes (Horned desert viper),8697,disintegrin family. Dimeric disintegrin subfamily,65,,,
P81742,Eristicophis macmahoni (Leaf-nosed viper),110227,disintegrin family. Dimeric disintegrin subfamily,69,,,
Q805F7,Agkistrodon contortrix contortrix (Southern copperhead),8713,disintegrin family. Dimeric disintegrin subfamily,111,,,
Q805F5,Agkistrodon piscivorus piscivorus (Eastern cottonmouth),8716,disintegrin family. Dimeric disintegrin subfamily,111,,,
C9E1S2,Agkistrodon piscivorus leucostoma (Western cottonmouth) (Acontias leucostoma),459671,disintegrin family. Dimeric disintegrin subfamily,111,,,
Q3BK16,Cerastes vipera (Sahara sand viper),8698,disintegrin family. Dimeric disintegrin subfamily,111,,,
P0C6A3,Echis multisquamatus (Central Asian sand viper),93050,disintegrin family. Dimeric disintegrin subfamily,68,,,
Q3BK15,Cerastes vipera (Sahara sand viper),8698,disintegrin family. Dimeric disintegrin subfamily,64,fragment,,
P0C6B4,Echis carinatus (Saw-scaled viper),40353,disintegrin family. Dimeric disintegrin subfamily,62,,,
P0C6B5,Echis carinatus (Saw-scaled viper),40353,disintegrin family. Dimeric disintegrin subfamily,63,,,
P83658,Echis carinatus (Saw-scaled viper),40353,disintegrin family. Dimeric disintegrin subfamily,64,,,
M5BGY5,Atheris chlorechis (Western bush viper) (Vipera chlorechis),110216,disintegrin family. Dimeric disintegrin subfamily,111,,,
M5BHN0,Atheris nitschei (Great lakes bush viper),110224,disintegrin family. Dimeric disintegrin subfamily,111,,,
M5BGS2,Atheris squamigera (Variable bush viper),110225,disintegrin family. Dimeric disintegrin subfamily,111,,,
Q5EE07,Echis carinatus (Saw-scaled viper),40353,disintegrin family. Dimeric disintegrin subfamily,64,fragment,,
Q3BK17,Cerastes vipera (Sahara sand viper),8698,disintegrin family. Short disintegrin subfamily,43,,,
P0C6E2,Daboia palaestinae (Palestine viper) (Vipera palaestinae),1170828,disintegrin family. Short disintegrin subfamily,41,,,
Q3BER1,Echis ocellatus (Ocellated saw-scaled viper),99586,disintegrin family. Short disintegrin subfamily,128,,,
Q3BK14,Macrovipera lebetina (Levantine viper) (Vipera lebetina),8709,disintegrin family. Short disintegrin subfamily,107,,,
P83469,Macrovipera lebetina obtusa (Levant blunt-nosed viper) (Vipera lebetina obtusa),209528,disintegrin family. Short disintegrin subfamily,41,,,
Q7ZZM2,Protobothrops jerdonii (Jerdon's pitviper) (Trimeresurus jerdonii),242841,disintegrin family. Short disintegrin subfamily,110,,,"The C-terminal dipeptide may be post-translationally removed, as seen in disintegrins that possess a KTS integrin-binding motif."
P0CH43,Haplopelma schmidti (Chinese bird spider) (Ornithoctonus huwenum),29017,huwentoxin-1 family. Double-knot toxin subfamily,79,,,
P82172,Ornithorhynchus anatinus (Duckbill platypus),9258,,66,,,
P82140,Ornithorhynchus anatinus (Duckbill platypus),9258,,66,,,Stereoinversion of L-Met-26 (in DLP-4) to D-Met-26 (in DLP- 2). {ECO:0000269|PubMed:16033333}.
P82141,Ornithorhynchus anatinus (Duckbill platypus),9258,,38,,,
P0C8B2,Ornithorhynchus anatinus (Duckbill platypus),9258,,66,,,
Q75WF2,Acanthaster planci (Crown-of-thorns starfish),133434,DNase II family,358,,LD(50) is 140 ug/kg by intraventricular injection into mice. {ECO:0000269|PubMed:15450924}.,
P0C1B7,Parabuthus transvaalicus (South African fattail scorpion),170972,long (3 C-C) scorpion toxin superfamily. Sodium channel inhibitor family. Beta subfamily,58,,,
P49343,Ectatomma tuberculatum (Selva ant),39300,ectatomin family,37,,LD(50) is 6.8 ug/kg by intracerebroventricular injection into mice. {ECO:0000269|PubMed:7826413}.,
P49344,Ectatomma tuberculatum (Selva ant),39300,ectatomin family,34,,LD(50) is 6.8 ug/kg by intracerebroventricular injection into mice. {ECO:0000269|PubMed:7826413}.,
P0DP97,Bumba pulcherrimaklaasi (Tarantula spider) (Euathlus pulcherrimaklaasi),2024411,huwentoxin-1 family. Htx-4 subfamily,33,,,
B2D0J5,Apis mellifera (Honeybee),7460,type-B carboxylesterase/lipase family,557,,,
P0CJ37,Eumenes fraterculus (Solitary wasp),1035771,MCD family. Eumenitin subfamily,15,,,
P0CJ36,Eumenes rubrofemoratus (Solitary wasp),1035770,MCD family. Eumenitin subfamily,15,,,
P0C931,Eumenes rubronotatus (Solitary wasp),539890,MCD family. Eumenitin subfamily,15,,,
P0DJ94,Heloderma horridum horridum (Mexican beaded lizard),8552,glucagon family,38,,,Glycosylation may be of interest for the biological stability of exendin-1 and exendin-1b. {ECO:0000269|PubMed:10880980}.
P04203,Heloderma suspectum (Gila monster),8554,glucagon family,38,,,"Thr-32 is glycosylated by N-acetylgalactosamine and a hexose, probably Glu-GalNAc-Thr, a mucin type O-glycosylation which may affect the biological stability of exendin-1 and exendin-1b. {ECO:0000269|PubMed:10880980}."
C6EVG2,Heloderma suspectum cinctum (Banded Gila monster),537493,glucagon family,84,,,
P04204,Heloderma suspectum (Gila monster),8554,glucagon family,84,,,"An amidated Pro-81 is described (PubMed:6439576, PubMed:3569266). Such an amidation is however not compatible with the sequence displayed (PubMed:9545315 and PubMed:10880980). Indeed cDNAs do not encode a Gly that could serve as substrate for peptide alpha-amidation. {ECO:0000269|PubMed:3569266, ECO:0000269|PubMed:6439576}."
P20394,Heloderma horridum horridum (Mexican beaded lizard),8552,glucagon family,87,,,
C6EVG1,Heloderma suspectum cinctum (Banded Gila monster),537493,glucagon family,87,,,
P26349,Heloderma suspectum (Gila monster),8554,glucagon family,87,,,
P85029,Ctenus ornatus (Brazilian spider) (Oligoctenus ornatus),406443,,27,,,
P85145,Ctenus ornatus (Brazilian spider) (Oligoctenus ornatus),406443,omega-agatoxin superfamily. Type II/III omega-agatoxin family,36,fragment,,
P85146,Ctenus ornatus (Brazilian spider) (Oligoctenus ornatus),406443,omega-agatoxin superfamily. Type II/III omega-agatoxin family,31,fragment,,
P85032,Ctenus ornatus (Brazilian spider) (Oligoctenus ornatus),406443,spider neurotoxin 21C2 family,32,,,
P85237,Ctenus ornatus (Brazilian spider) (Oligoctenus ornatus),406443,,23,fragment,,
P85144,Ctenus ornatus (Brazilian spider) (Oligoctenus ornatus),406443,omega-agatoxin superfamily. Type II/III omega-agatoxin family,40,fragment,,
P85236,Ctenus ornatus (Brazilian spider) (Oligoctenus ornatus),406443,,29,fragment,,
Q1L658,Pseudonaja textilis (Eastern brown snake),8673,peptidase S1 family,463,,,The iron and 2-oxoglutarate dependent 3-hydroxylation of aspartate and asparagine is (R) stereospecific within EGF domains. {ECO:0000250}.
Q4QXT9,Tropidechis carinatus (Australian rough-scaled snake),100989,peptidase S1 family. Snake venom subfamily,483,,,The iron and 2-oxoglutarate dependent 3-hydroxylation of aspartate and asparagine is (R) stereospecific within EGF domains. {ECO:0000250}.
Q58L90,Oxyuranus microlepidotus (Inland taipan),111177,multicopper oxidase family,1460,,,"In physiological conditions, blood coagulation factor V and factor Va are inactivated by activated protein C (APC) through proteolytic degradation of the heavy chain. However, omicarin-C non-catalytic subunit (factor V-like protein) retains its full activity even at high concentration of APC. This has two explanations: this protein has only one of the three cleavage sites present in factor V that are targeted by the APC for inactivation, and the binding with the catalytic subunit protect the cleavage site from inactivation (By similarity). {ECO:0000250}."
Q58L91,Oxyuranus scutellatus (Coastal taipan),8668,multicopper oxidase family,1459,,,"In physiological conditions, blood coagulation factor V and factor Va are inactivated by activated protein C (APC) through proteolytic degradation of the heavy chain. However, oscutarin-C non-catalytic subunit (factor V-like protein) retains its full activity even at high concentration of APC. This has two explanations: this protein has only one of the three cleavage sites present in factor V that are targeted by the APC for inactivation, and the binding with the catalytic subunit protect the cleavage site from inactivation (By similarity). {ECO:0000250}."
Q7SZN0,Pseudonaja textilis (Eastern brown snake),8673,multicopper oxidase family,1460,,,"In physiological conditions, blood coagulation factor V and factor Va are inactivated by activated protein C (APC) through proteolytic degradation of the heavy chain. However, pseutarin-C non-catalytic subunit (factor V-like protein) retains its full activity even at high concentration of APC. This has two explanations: this protein has only one of the three cleavage sites present in factor V that are targeted by the APC for inactivation, and the binding with the catalytic subunit protect the cleavage site from inactivation."
Q593B6,Pseudonaja textilis (Eastern brown snake),8673,multicopper oxidase family,1459,,,Activated protein C inactivates factor V and factor Va by proteolytic degradation. {ECO:0000250}.
Q58L95,Oxyuranus microlepidotus (Inland taipan),111177,peptidase S1 family. Snake venom subfamily,467,,,Gamma-carboxyglutamate residues are formed by vitamin K dependent carboxylation. These residues are essential for the binding of calcium.
Q58L96,Oxyuranus scutellatus (Coastal taipan),8668,peptidase S1 family. Snake venom subfamily,467,,,"Gamma-carboxyglutamate residues are formed by vitamin K dependent carboxylation. These residues are essential for the binding of calcium. {ECO:0000255|PROSITE-ProRule:PRU00463, ECO:0000269|PubMed:3531198}."
Q56VR3,Pseudonaja textilis (Eastern brown snake),8673,peptidase S1 family. Snake venom subfamily,467,,"Intravenous injection (23 ug/kg bodyweight) of the group C prothrombin activator causes death in rats through disseminated intravascular coagulopathy (PubMed:3075905), whereas pseutarin-C is not lethal even at 10 mg/kg in mice when injected intraperitoneally (PubMed:15351847). {ECO:0000269|PubMed:15351847, ECO:0000269|PubMed:3075905}.","Gamma-carboxyglutamate residues are formed by vitamin K dependent carboxylation. These residues are essential for the binding of calcium. {ECO:0000255|PROSITE-ProRule:PRU00463, ECO:0000269|PubMed:12362232}."
A6MFK7,Demansia vestigiata (Lesser black whip snake) (Demansia atra),412038,peptidase S1 family. Snake venom subfamily,473,,,"The vitamin K-dependent, enzymatic carboxylation of some glutamate residues allows the modified protein to bind calcium. {ECO:0000250}."
P82807,Notechis scutatus scutatus (Mainland tiger snake) (Common tiger snake),70142,peptidase S1 family. Snake venom subfamily,455,,,"Gamma-carboxyglutamate residues are formed by vitamin K dependent carboxylation. These residues are essential for the binding of calcium. {ECO:0000255|PROSITE-ProRule:PRU00463, ECO:0000269|PubMed:10779512, ECO:0000269|PubMed:12403650}."
A6MFK8,Demansia vestigiata (Lesser black whip snake) (Demansia atra),412038,peptidase S1 family. Snake venom subfamily,471,,,"The vitamin K-dependent, enzymatic carboxylation of some glutamate residues allows the modified protein to bind calcium. {ECO:0000250}."
Q58L94,Notechis scutatus scutatus (Mainland tiger snake) (Common tiger snake),70142,peptidase S1 family. Snake venom subfamily,453,,,"Gamma-carboxyglutamate residues are formed by vitamin K dependent carboxylation. These residues are essential for the binding of calcium. {ECO:0000255|PROSITE-ProRule:PRU00463, ECO:0000269|PubMed:12403650}."
B5G6G5,Cryptophis nigrescens (Eastern small-eyed snake) (Rhinoplocephalus nigrescens),292442,peptidase S1 family. Snake venom subfamily,455,,,"The vitamin K-dependent, enzymatic carboxylation of some glutamate residues allows the modified protein to bind calcium. {ECO:0000250}."
P83370,Hoplocephalus stephensii (Stephens' banded snake),196418,peptidase S1 family. Snake venom subfamily,455,,,"The vitamin K-dependent, enzymatic carboxylation of some glutamate residues allows the modified protein to bind calcium. {ECO:0000250}."
P0CY52,Notechis scutatus niger (Peninsula tiger snake) (Notechis ater niger),1027870,peptidase S1 family. Snake venom subfamily,20,fragment,,"Gamma-carboxyglutamate residues are formed by vitamin K dependent carboxylation. These residues are essential for the binding of calcium. {ECO:0000255|PROSITE-ProRule:PRU00463, ECO:0000269|PubMed:12403650}."
Q58L93,Pseudechis porphyriacus (Red-bellied black snake),8671,peptidase S1 family. Snake venom subfamily,454,,,"The vitamin K-dependent, enzymatic carboxylation of some glutamate residues allows the modified protein to bind calcium. {ECO:0000250}."
P81428,Tropidechis carinatus (Australian rough-scaled snake),100989,peptidase S1 family. Snake venom subfamily,455,,,"The O-linked saccharides at Ser-92 are a mixture of Xyl-Glc, and Glc along with smaller amounts of Xyl-GlcNAc, GlcNAc, Gal, GalNAc, Xyl-Gal, and Xyl-GalNAc, suggesting that the glycosyl transferases responsible for this modification are non-specific. The N-linked carbohydrate at Asn-254 (Asn-45 of the heavy chain) is a sialylated and diantennary oligosaccharide. {ECO:0000269|PubMed:10397729, ECO:0000269|PubMed:12871464}."
D8VNS7,Cerberus rynchops (Dog-faced water snake),46267,ficolin lectin family. Veficolin subfamily,345,,,"Hydroxylated, possibly at Pro-80. {ECO:0000269|PubMed:20158271}."
E2IYB3,Varanus komodoensis (Komodo dragon),61221,ficolin lectin family. Veficolin subfamily,221,fragment,,
D8VNS8,Cerberus rynchops (Dog-faced water snake),46267,ficolin lectin family. Veficolin subfamily,347,,,"Hydroxylated, possibly at Pro-74 and Pro-94. {ECO:0000269|PubMed:20158271}."
D8VNS9,Cerberus rynchops (Dog-faced water snake),46267,ficolin lectin family. Veficolin subfamily,347,,,Hydroxylated. {ECO:0000250}.
D8VNT0,Cerberus rynchops (Dog-faced water snake),46267,ficolin lectin family. Veficolin subfamily,345,,,"Hydroxylated, possibly at Pro-80. {ECO:0000269|PubMed:20158271}."
P86876,Neanthes japonica (Polychaete worm) (Nereis japonica),60015,peptidase S8 family,32,fragment,,
P86330,Neanthes japonica (Polychaete worm) (Nereis japonica),60015,,32,fragment,,The N-terminus is blocked. {ECO:0000269|PubMed:19896371}.
Q76CA1,Stichodactyla gigantea (Giant carpet anemone) (Gigantic sea anemone),230562,,86,,PD(50) is 215 ug/kg to crabs. LD(50) is >1000 ug/kg to crabs. {ECO:0000269|PubMed:12565742}.,
P43685,Heloderma horridum horridum (Mexican beaded lizard),8552,peptidase S1 family,230,,LD(50) is 2.5 mg/kg of body weight by intravenous injection into mice. {ECO:0000269|PubMed:8408054}.,"Extensively glycosylated, contains approximately 8 mol of monosaccharide per mol of toxin. {ECO:0000269|PubMed:8408054}."
I1SB07,Conus consors (Singed cone),101297,conotoxin M superfamily,22,,,
P69842,Pogonoperca punctata (Clown grouper) (Grammistes punctatus),160738,grammistin family. Group 2 subfamily,13,,LC(50) is 4.0 ug/ml against killifish.,
P69847,Pogonoperca punctata (Clown grouper) (Grammistes punctatus),160738,grammistin family. Group 3 subfamily,25,,LC(50) is 20-40 ug/ml against killifish.,
P69837,Pogonoperca punctata (Clown grouper) (Grammistes punctatus),160738,grammistin family. Group 1 subfamily,24,,,
P69838,Pogonoperca punctata (Clown grouper) (Grammistes punctatus),160738,grammistin family. Group 1 subfamily,24,,,
P69840,Grammistes sexlineatus (Goldenstriped soapfish) (Perca sexlineata),270576,grammistin family. Group 2 subfamily,13,,,
P69835,Grammistes sexlineatus (Goldenstriped soapfish) (Perca sexlineata),270576,grammistin family. Group 1 subfamily,25,,LC(50) is 1.9 ug/ml against killifish.,
P69836,Grammistes sexlineatus (Goldenstriped soapfish) (Perca sexlineata),270576,grammistin family. Group 1 subfamily,24,,LC(50) is 0.19 ug/ml against killifish.,
D2Y2C4,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,,65,,,
D2Y2R1,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,,65,,,
D2Y2R3,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,,65,,,
D2Y2F2,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,,71,,,
D2Y2R4,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,,65,,,
D2Y2C1,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-1 family. Hntx-12 subfamily,97,,,
D2Y2H6,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-1 family. Hntx-12 subfamily,97,,,
D2Y2H7,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-1 family. Hntx-12 subfamily,97,,,
D2Y2H8,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-1 family. Hntx-12 subfamily,97,,,
D2Y2A0,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-1 family. Hntx-13 subfamily,90,,,
D2Y2A1,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-1 family. Hntx-13 subfamily,90,,,
D2Y2A2,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-1 family. Hntx-13 subfamily,90,,,
D2Y2B2,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-1 family. Hntx-13 subfamily,90,,,
D2Y2B3,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-1 family. Hntx-13 subfamily,90,,,
D2Y2B4,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-1 family. Hntx-13 subfamily,90,,,
D2Y2B5,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-1 family. Hntx-13 subfamily,90,,,
D2Y2H5,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-1 family. Hntx-13 subfamily,90,,,
D2Y2A3,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-1 family. Hntx-13 subfamily,90,,,
D2Y2A4,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-1 family. Hntx-13 subfamily,90,,,
D2Y2A5,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-1 family. Hntx-13 subfamily,90,,,
D2Y2A6,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-1 family. Hntx-13 subfamily,90,,,
D2Y2A7,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-1 family. Hntx-13 subfamily,90,,,
D2Y2A8,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-1 family. Hntx-13 subfamily,90,,,
D2Y2A9,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-1 family. Hntx-13 subfamily,90,,,
D2Y2B0,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-1 family. Hntx-13 subfamily,90,,,
D2Y2B1,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-1 family. Hntx-13 subfamily,90,,,
D2Y2H3,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-1 family. Hntx-13 subfamily,90,,,
D2Y2H4,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-1 family. Hntx-13 subfamily,90,,,
D2Y2C0,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,AVIT (prokineticin) family,84,,,
D2Y2E0,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,AVIT (prokineticin) family,84,,,
D2Y2E1,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,AVIT (prokineticin) family,84,,,
D2Y2E2,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,AVIT (prokineticin) family,84,,,
D2Y2E3,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,AVIT (prokineticin) family,84,,,
D2Y2E4,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,AVIT (prokineticin) family,84,,,
D2Y2E5,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,AVIT (prokineticin) family,84,,,
D2Y2E6,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,AVIT (prokineticin) family,84,,,
D2Y2E7,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,AVIT (prokineticin) family,84,,,
D2Y2B6,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,,117,,,
D2Y2B7,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,,117,,,
D2Y2B8,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,,117,,,
D2Y2B9,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,,117,,,
D2Y2D8,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,,117,,,
D2Y2D9,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,,117,,,
D2Y262,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
