Entry,Organism,Organism (ID),Protein families,Length,Fragment,Toxic dose,PTM Summary,PTM,Gene Ontology (GO),Gene Ontology (molecular function),Protein existence
P85161,Bothrops jararaca (Jararaca) (Bothrops jajaraca),8724,Bradykinin-potentiating peptide family,11,,,MOD_RES:1,,GO:0008217 (regulation of blood pressure); GO:0005576 (extracellular region); GO:0008191 (metalloendopeptidase inhibitor activity),GO:0008191 (metalloendopeptidase inhibitor activity),1: Evidence at protein level;
P0DJK4,Bothrops cotiara (Cotiara) (Rhinocerophis cotiara),8727,Bradykinin-potentiating peptide family,11,,,MOD_RES:1,,GO:0008217 (regulation of blood pressure); GO:0005576 (extracellular region); GO:0008191 (metalloendopeptidase inhibitor activity),GO:0008191 (metalloendopeptidase inhibitor activity),1: Evidence at protein level;
P0DL00,Bothrops fonsecai (Fonseca's lancehead) (Rhinocerophis fonsecai),157549,Bradykinin-potentiating peptide family,11,,,MOD_RES:1,,GO:0008217 (regulation of blood pressure); GO:0005576 (extracellular region); GO:0008191 (metalloendopeptidase inhibitor activity),GO:0008191 (metalloendopeptidase inhibitor activity),1: Evidence at protein level;
P0DL01,Bothrops jararaca (Jararaca) (Bothrops jajaraca),8724,Bradykinin-potentiating peptide family,11,,,MOD_RES:1,,GO:0008217 (regulation of blood pressure); GO:0005576 (extracellular region); GO:0008191 (metalloendopeptidase inhibitor activity),GO:0008191 (metalloendopeptidase inhibitor activity),1: Evidence at protein level;
P0DJK6,Bothrops jararaca (Jararaca) (Bothrops jajaraca),8724,Bradykinin-potentiating peptide family,11,,,MOD_RES:1,,GO:0008217 (regulation of blood pressure); GO:0005576 (extracellular region); GO:0008191 (metalloendopeptidase inhibitor activity),GO:0008191 (metalloendopeptidase inhibitor activity),1: Evidence at protein level;
P0DL04,Bothrops jararaca (Jararaca) (Bothrops jajaraca),8724,Bradykinin-potentiating peptide family,11,,,MOD_RES:1,,GO:0008217 (regulation of blood pressure); GO:0005576 (extracellular region); GO:0008191 (metalloendopeptidase inhibitor activity),GO:0008191 (metalloendopeptidase inhibitor activity),1: Evidence at protein level;
P0DL05,Bothrops jararaca (Jararaca) (Bothrops jajaraca),8724,Bradykinin-potentiating peptide family,11,,,MOD_RES:1,,GO:0008217 (regulation of blood pressure); GO:0005576 (extracellular region); GO:0008191 (metalloendopeptidase inhibitor activity),GO:0008191 (metalloendopeptidase inhibitor activity),1: Evidence at protein level;
P85168,Bothrops jararaca (Jararaca) (Bothrops jajaraca),8724,Bradykinin-potentiating peptide family,12,,,MOD_RES:1,,GO:0008217 (regulation of blood pressure); GO:0005576 (extracellular region); GO:0008191 (metalloendopeptidase inhibitor activity),GO:0008191 (metalloendopeptidase inhibitor activity),1: Evidence at protein level;
P0DM54,Bothrops jararaca (Jararaca) (Bothrops jajaraca),8724,Bradykinin-potentiating peptide family,12,,,MOD_RES:1,,GO:0008217 (regulation of blood pressure); GO:0005576 (extracellular region); GO:0008191 (metalloendopeptidase inhibitor activity),GO:0008191 (metalloendopeptidase inhibitor activity),1: Evidence at protein level;
P85162,Bothrops jararaca (Jararaca) (Bothrops jajaraca),8724,Bradykinin-potentiating peptide family,12,,,MOD_RES:2,,GO:0008217 (regulation of blood pressure); GO:0005576 (extracellular region); GO:0008191 (metalloendopeptidase inhibitor activity),GO:0008191 (metalloendopeptidase inhibitor activity),1: Evidence at protein level;
P0DKZ2,Bothrops cotiara (Cotiara) (Rhinocerophis cotiara),8727,Bradykinin-potentiating peptide family,12,,,MOD_RES:1,,GO:0008217 (regulation of blood pressure); GO:0005576 (extracellular region); GO:0008191 (metalloendopeptidase inhibitor activity),GO:0008191 (metalloendopeptidase inhibitor activity),1: Evidence at protein level;
P0DKZ7,Bothrops fonsecai (Fonseca's lancehead) (Rhinocerophis fonsecai),157549,Bradykinin-potentiating peptide family,12,,,MOD_RES:1,,GO:0008217 (regulation of blood pressure); GO:0005576 (extracellular region); GO:0008191 (metalloendopeptidase inhibitor activity),GO:0008191 (metalloendopeptidase inhibitor activity),1: Evidence at protein level;
P0DKZ5,Bothrops cotiara (Cotiara) (Rhinocerophis cotiara),8727,Bradykinin-potentiating peptide family,12,,,MOD_RES:1,,GO:0008217 (regulation of blood pressure); GO:0005576 (extracellular region); GO:0008191 (metalloendopeptidase inhibitor activity),GO:0008191 (metalloendopeptidase inhibitor activity),1: Evidence at protein level;
P0DL03,Bothrops jararaca (Jararaca) (Bothrops jajaraca),8724,Bradykinin-potentiating peptide family,12,,,MOD_RES:1,,GO:0008217 (regulation of blood pressure); GO:0005576 (extracellular region); GO:0008191 (metalloendopeptidase inhibitor activity),GO:0008191 (metalloendopeptidase inhibitor activity),1: Evidence at protein level;
P0DKZ6,Bothrops cotiara (Cotiara) (Rhinocerophis cotiara),8727,Bradykinin-potentiating peptide family,13,,,MOD_RES:1,,GO:0008217 (regulation of blood pressure); GO:0005576 (extracellular region); GO:0008191 (metalloendopeptidase inhibitor activity),GO:0008191 (metalloendopeptidase inhibitor activity),1: Evidence at protein level;
P85169,Bothrops jararaca (Jararaca) (Bothrops jajaraca),8724,Bradykinin-potentiating peptide family,13,,,MOD_RES:1,,GO:0008217 (regulation of blood pressure); GO:0005576 (extracellular region); GO:0008191 (metalloendopeptidase inhibitor activity),GO:0008191 (metalloendopeptidase inhibitor activity),1: Evidence at protein level;
P0DL02,Bothrops jararaca (Jararaca) (Bothrops jajaraca),8724,Bradykinin-potentiating peptide family,13,,,MOD_RES:1,,GO:0008217 (regulation of blood pressure); GO:0005576 (extracellular region); GO:0008191 (metalloendopeptidase inhibitor activity),GO:0008191 (metalloendopeptidase inhibitor activity),1: Evidence at protein level;
P0DL06,Bothrops jararaca (Jararaca) (Bothrops jajaraca),8724,Bradykinin-potentiating peptide family,13,,,MOD_RES:1,,GO:0008217 (regulation of blood pressure); GO:0005576 (extracellular region); GO:0008191 (metalloendopeptidase inhibitor activity),GO:0008191 (metalloendopeptidase inhibitor activity),1: Evidence at protein level;
P85163,Bothrops jararaca (Jararaca) (Bothrops jajaraca),8724,Bradykinin-potentiating peptide family,14,,,MOD_RES:2,,GO:0008217 (regulation of blood pressure); GO:0005576 (extracellular region); GO:0008191 (metalloendopeptidase inhibitor activity),GO:0008191 (metalloendopeptidase inhibitor activity),1: Evidence at protein level;
P0C7R6,Agkistrodon piscivorus piscivorus (Eastern cottonmouth),8716,Bradykinin-potentiating peptide family,10,,,MOD_RES:1,,GO:0008217 (regulation of blood pressure); GO:0005576 (extracellular region); GO:0008191 (metalloendopeptidase inhibitor activity),GO:0008191 (metalloendopeptidase inhibitor activity),1: Evidence at protein level;
P0C7S7,Protobothrops mucrosquamatus (Taiwan habu) (Trimeresurus mucrosquamatus),103944,Bradykinin-potentiating peptide family,11,,,MOD_RES:1,,GO:0008217 (regulation of blood pressure); GO:0005576 (extracellular region); GO:0008191 (metalloendopeptidase inhibitor activity),GO:0008191 (metalloendopeptidase inhibitor activity),1: Evidence at protein level;
P0C7S8,Lycosa erythrognatha (Spider) (Scaptocosa raptoria),332789,Bradykinin-potentiating peptide family,11,,,MOD_RES:1,,GO:0008217 (regulation of blood pressure); GO:0005576 (extracellular region); GO:0008191 (metalloendopeptidase inhibitor activity),GO:0008191 (metalloendopeptidase inhibitor activity),1: Evidence at protein level;
P86643,Phasmahyla jandaia (Jandaia leaf frog),762504,Bradykinin-potentiating peptide family,10,,,MOD_RES:1,,GO:0008217 (regulation of blood pressure); GO:0005576 (extracellular region),,1: Evidence at protein level;
P85165,Phyllomedusa hypochondrialis (Orange-legged leaf frog),317381,Bradykinin-potentiating peptide family,10,,,MOD_RES:1,,GO:0008217 (regulation of blood pressure); GO:0005576 (extracellular region),,1: Evidence at protein level;
P0CF38,Isometrus maculatus (Lesser brown scorpion),497827,Scorpion BPP family,56,,PD(50) is 38 mg/kg into the insect A.domestica. {ECO:0000269|PubMed:20139620}.,,,GO:0019835 (cytolysis); GO:0042742 (defense response to bacterium); GO:0006811 (ion transport); GO:0016021 (integral component of membrane); GO:0044218 (other organism cell membrane),,1: Evidence at protein level;
C9X4J0,Tityus discrepans (Venezuelan scorpion),57059,Scorpion BPP family,77,,,,,GO:0008217 (regulation of blood pressure); GO:0005576 (extracellular region); GO:0008191 (metalloendopeptidase inhibitor activity),GO:0008191 (metalloendopeptidase inhibitor activity),2: Evidence at transcript level;
P31351,Vipera aspis (Aspic viper),8706,Bradykinin-potentiating peptide family,10,,,MOD_RES:1,,GO:0008217 (regulation of blood pressure); GO:0005576 (extracellular region); GO:0008191 (metalloendopeptidase inhibitor activity),GO:0008191 (metalloendopeptidase inhibitor activity),1: Evidence at protein level;
Q9TWR4,Tityus serrulatus (Brazilian scorpion),6887,Scorpion BPP family,13,,,,,GO:0008217 (regulation of blood pressure); GO:0005576 (extracellular region); GO:0008191 (metalloendopeptidase inhibitor activity),GO:0008191 (metalloendopeptidase inhibitor activity),1: Evidence at protein level;
P58803,Conus imperialis (Imperial cone),35631,,7,,,DISULFID:1; MOD_RES:3,,GO:0005576 (extracellular region),,1: Evidence at protein level;
P84832,Ascaphus truei (Coastal tailed frog),8439,Bradykinin-related peptide family,10,,,,,GO:0006952 (defense response); GO:0050880 (regulation of blood vessel size); GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
P86820,Physalaemus signifer (Girard's dwarf frog),364768,Bradykinin-related peptide family,8,,,,,GO:0006952 (defense response); GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
P84824,Ascaphus truei (Coastal tailed frog),8439,Bradykinin-related peptide family,11,,,,,GO:0006952 (defense response); GO:0050880 (regulation of blood vessel size); GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
P84823,Ascaphus truei (Coastal tailed frog),8439,Bradykinin-related peptide family,12,,,,,GO:0006952 (defense response); GO:0050880 (regulation of blood vessel size); GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
Q7T3L1,Bombina maxima (Giant fire-bellied toad) (Chinese red belly toad),161274,Bradykinin-related peptide family,294,,,DISULFID:1; MOD_RES:1,,GO:0006952 (defense response); GO:0042755 (eating behavior); GO:0042311 (vasodilation); GO:0005576 (extracellular region); GO:0005179 (hormone activity),GO:0005179 (hormone activity),1: Evidence at protein level;
Q90WZ1,Bombina maxima (Giant fire-bellied toad) (Chinese red belly toad),161274,Bradykinin-related peptide family,208,,,,,GO:0006952 (defense response); GO:0045987 (positive regulation of smooth muscle contraction); GO:0042311 (vasodilation); GO:0005576 (extracellular region); GO:0005179 (hormone activity),GO:0005179 (hormone activity),1: Evidence at protein level;
Q90W88,Bombina maxima (Giant fire-bellied toad) (Chinese red belly toad),161274,Bradykinin-related peptide family,152,,,,,GO:0006952 (defense response); GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
P84825,Ascaphus truei (Coastal tailed frog),8439,Bradykinin-related peptide family,9,,,,,GO:0006952 (defense response); GO:0050880 (regulation of blood vessel size); GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
P83060,Bombina orientalis (Oriental fire-bellied toad),8346,Bradykinin-related peptide family,167,,,,,GO:0006952 (defense response); GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
P83056,Bombina variegata (Yellow-bellied toad),8348,Bradykinin-related peptide family,97,,,,,GO:0006952 (defense response); GO:0045986 (negative regulation of smooth muscle contraction); GO:0045987 (positive regulation of smooth muscle contraction); GO:0050796 (regulation of insulin secretion); GO:0042311 (vasodilation); GO:0005576 (extracellular region); GO:0005179 (hormone activity),GO:0005179 (hormone activity),1: Evidence at protein level;
P0DM72,Nephila clavipes (Golden silk orbweaver),6915,Bradykinin-related peptide family,10,,LD(50) is 98 pmoles/mg when injected into honeybees. Dose that causes muscle constriction (ED(50)) is 7 uM. Dose that causes muscle relaxation (ED(50)) is 10 uM. {ECO:0000269|PubMed:16202476}.,MOD_RES:1,,GO:0005576 (extracellular region),,1: Evidence at protein level;
Q7LZ54,Pelophylax nigromaculatus (Black-spotted frog) (Rana nigromaculata),8409,Bradykinin-related peptide family,9,,,,,GO:0006952 (defense response); GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
P86156,Pelophylax ridibundus (Marsh frog) (Rana ridibunda),8406,Bradykinin-related peptide family,14,,,,,GO:0006952 (defense response); GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
P86627,Phasmahyla jandaia (Jandaia leaf frog),762504,Bradykinin-related peptide family,9,,,,,GO:0006952 (defense response); GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
Q0VTU0,Phyllomedusa azurea (Orange-legged monkey frog) (Phyllomedusa hypochondrialis azurea),394475,Bradykinin-related peptide family,61,,,,,GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
P84895,Phyllomedusa hypochondrialis (Orange-legged leaf frog),317381,Bradykinin-related peptide family,9,,,MOD_RES:1,,GO:0006952 (defense response); GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
Q800F1,Phyllomedusa sauvagei (Sauvage's leaf frog),8395,Bradykinin-related peptide family,62,,,MOD_RES:2,,GO:0005576 (extracellular region),,1: Evidence at protein level;
P86811,Physalaemus signifer (Girard's dwarf frog),364768,Bradykinin-related peptide family,8,,,,,GO:0006952 (defense response); GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
P0DM70,Protopolybia exigua (Neotropical social wasp),91439,Bradykinin-related peptide family,21,,Dose that causes constriction of the isolated rat ileum muscles (ED(50)) is 3.8 uM. Dose that causes degranulation of mast cells (ED(50)) is 100 uM. {ECO:0000269|PubMed:16815592}.,,,GO:0043303 (mast cell degranulation); GO:0005576 (extracellular region); GO:0042629 (mast cell granule),,1: Evidence at protein level;
P83055,Bombina maxima (Giant fire-bellied toad) (Chinese red belly toad),161274,Bradykinin-related peptide family,114,,,MOD_RES:2,,GO:0006952 (defense response); GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
P83059,Bombina orientalis (Oriental fire-bellied toad),8346,Bradykinin-related peptide family,161,,,DISULFID:1; MOD_RES:1,,GO:0006952 (defense response); GO:0045776 (negative regulation of blood pressure); GO:0045987 (positive regulation of smooth muscle contraction); GO:0005576 (extracellular region),,1: Evidence at protein level;
P83057,Bombina variegata (Yellow-bellied toad),8348,Bradykinin-related peptide family,96,,,,,GO:0006952 (defense response); GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
P0DM73,Nephila clavipes (Golden silk orbweaver),6915,Bradykinin-related peptide family,10,,LD(50) is 72 pmoles/mg when injected into honeybees. Dose that causes muscle constriction (ED(50)) is 1 uM. Dose that causes muscle relaxation (ED(50)) is 3.2 uM. {ECO:0000269|PubMed:16202476}.,MOD_RES:1,,GO:0005576 (extracellular region),,1: Evidence at protein level;
P86157,Pelophylax ridibundus (Marsh frog) (Rana ridibunda),8406,Bradykinin-related peptide family,11,,,,,GO:0006952 (defense response); GO:0005576 (extracellular region),,1: Evidence at protein level;
P86628,Phasmahyla jandaia (Jandaia leaf frog),762504,Bradykinin-related peptide family,8,,,,,GO:0006952 (defense response); GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
Q0VTT8,Phyllomedusa azurea (Orange-legged monkey frog) (Phyllomedusa hypochondrialis azurea),394475,Bradykinin-related peptide family,61,,,MOD_RES:1,,GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
P84892,Phyllomedusa hypochondrialis (Orange-legged leaf frog),317381,Bradykinin-related peptide family,8,,,,,GO:0006952 (defense response); GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
P84697,Phyllomedusa sauvagei (Sauvage's leaf frog),8395,Bradykinin-related peptide family,11,,,MOD_RES:1,,GO:0006952 (defense response); GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
P86812,Physalaemus signifer (Girard's dwarf frog),364768,Bradykinin-related peptide family,9,,,,,GO:0006952 (defense response); GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
P0DM71,Protopolybia exigua (Neotropical social wasp),91439,Bradykinin-related peptide family,19,,Dose that causes degranulation of mast cells (ED(50)) is 10 uM. {ECO:0000269|PubMed:16815592}.,,,GO:0043303 (mast cell degranulation); GO:0005576 (extracellular region); GO:0042629 (mast cell granule),,1: Evidence at protein level;
P83058,Bombina variegata (Yellow-bellied toad),8348,Bradykinin-related peptide family,9,,,,,GO:0006952 (defense response); GO:0005576 (extracellular region),,1: Evidence at protein level;
P0DM74,Nephila clavipes (Golden silk orbweaver),6915,Bradykinin-related peptide family,10,,LD(50) is 70 pmoles/mg when injected into honeybees. Dose that causes muscle constriction (ED(50)) is 0.7 uM. Dose that causes muscle relaxation (ED(50)) is 1.0 uM. {ECO:0000269|PubMed:16202476}.,MOD_RES:1,,GO:0005576 (extracellular region),,1: Evidence at protein level;
Q7LZ53,Pelophylax nigromaculatus (Black-spotted frog) (Rana nigromaculata),8409,Bradykinin-related peptide family,14,,,,,GO:0006952 (defense response); GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
P86035,Pelophylax ridibundus (Marsh frog) (Rana ridibunda),8406,Bradykinin-related peptide family,9,,,,,GO:0006952 (defense response); GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
P86629,Phasmahyla jandaia (Jandaia leaf frog),762504,Bradykinin-related peptide family,9,,,,,GO:0006952 (defense response); GO:0005576 (extracellular region),,1: Evidence at protein level;
P84935,Phyllomedusa azurea (Orange-legged monkey frog) (Phyllomedusa hypochondrialis azurea),394475,Bradykinin-related peptide family,11,,,MOD_RES:1,,GO:0006952 (defense response); GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
P84893,Phyllomedusa hypochondrialis (Orange-legged leaf frog),317381,Bradykinin-related peptide family,8,,,,,GO:0006952 (defense response); GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
P86428,Phyllomedusa nordestina (Northeastern Brazilian leaf frog),699254,Bradykinin-related peptide family,6,,,MOD_RES:1,,GO:0006952 (defense response); GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
P84673,Phyllomedusa sauvagei (Sauvage's leaf frog),8395,Bradykinin-related peptide family,9,,,,,GO:0006952 (defense response); GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
P86813,Physalaemus signifer (Girard's dwarf frog),364768,Bradykinin-related peptide family,10,,,,,GO:0006952 (defense response); GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
P84497,Trachemys scripta (Red-eared slider turtle) (Pseudemys scripta),34903,Bradykinin-related peptide family,9,,,,,GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
P86630,Phasmahyla jandaia (Jandaia leaf frog),762504,Bradykinin-related peptide family,8,,,,,GO:0006952 (defense response); GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
P85885,Phyllomedusa azurea (Orange-legged monkey frog) (Phyllomedusa hypochondrialis azurea),394475,Bradykinin-related peptide family,9,,,MOD_RES:1,,GO:0006952 (defense response); GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
P84894,Phyllomedusa hypochondrialis (Orange-legged leaf frog),317381,Bradykinin-related peptide family,9,,,MOD_RES:1,,GO:0006952 (defense response); GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
P86814,Physalaemus signifer (Girard's dwarf frog),364768,Bradykinin-related peptide family,11,,,,,GO:0006952 (defense response); GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
P84896,Phyllomedusa hypochondrialis (Orange-legged leaf frog),317381,Bradykinin-related peptide family,9,,,MOD_RES:1,,GO:0006952 (defense response); GO:0005576 (extracellular region),,1: Evidence at protein level;
P86426,Phyllomedusa nordestina (Northeastern Brazilian leaf frog),699254,Bradykinin-related peptide family,8,,,,,GO:0006952 (defense response); GO:0042310 (vasoconstriction); GO:0005576 (extracellular region),,1: Evidence at protein level;
P86815,Physalaemus signifer (Girard's dwarf frog),364768,Bradykinin-related peptide family,13,,,,,GO:0006952 (defense response); GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
P83660,Cyphononyx fulvognathus (Spider wasp) (Cyphononyx dorsalis),246266,Bradykinin-related peptide family,16,,,,,GO:0009405 (pathogenesis); GO:0005615 (extracellular space),,1: Evidence at protein level;
P84897,Phyllomedusa hypochondrialis (Orange-legged leaf frog),317381,Bradykinin-related peptide family,10,,,MOD_RES:1,,GO:0006952 (defense response); GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
P86816,Physalaemus signifer (Girard's dwarf frog),364768,Bradykinin-related peptide family,11,,,,,GO:0006952 (defense response); GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
P84898,Phyllomedusa hypochondrialis (Orange-legged leaf frog),317381,Bradykinin-related peptide family,11,,,MOD_RES:1,,GO:0006952 (defense response); GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
P86427,Phyllomedusa nordestina (Northeastern Brazilian leaf frog),699254,Bradykinin-related peptide family,8,,,,,GO:0006952 (defense response); GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
P86817,Physalaemus signifer (Girard's dwarf frog),364768,Bradykinin-related peptide family,11,,,,,GO:0006952 (defense response); GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
P84899,Phyllomedusa hypochondrialis (Orange-legged leaf frog),317381,Bradykinin-related peptide family,11,,,MOD_RES:1,,GO:0006952 (defense response); GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
P86818,Physalaemus signifer (Girard's dwarf frog),364768,Bradykinin-related peptide family,11,,,,,GO:0006952 (defense response); GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
P86819,Physalaemus signifer (Girard's dwarf frog),364768,Bradykinin-related peptide family,10,,,,,GO:0006952 (defense response); GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
P83659,Cyphononyx fulvognathus (Spider wasp) (Cyphononyx dorsalis),246266,Bradykinin-related peptide family,11,,,,,GO:0045776 (negative regulation of blood pressure); GO:0045987 (positive regulation of smooth muscle contraction); GO:0005615 (extracellular space),,1: Evidence at protein level;
P0DL32,Cyphononyx fulvognathus (Spider wasp) (Cyphononyx dorsalis),246266,Bradykinin-related peptide family,11,,,,,GO:0005576 (extracellular region),,1: Evidence at protein level;
P86631,Phasmahyla jandaia (Jandaia leaf frog),762504,Bradykinin-related peptide family,11,,,MOD_RES:1,,GO:0006952 (defense response); GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
Q0VTT9,Phyllomedusa azurea (Orange-legged monkey frog) (Phyllomedusa hypochondrialis azurea),394475,Bradykinin-related peptide family,62,,,MOD_RES:1,"Asp,Pro,Glu-[Thr6,Val10]-phyllokinin and [Thr6,Val10]- phyllokinin occur in sulfated and nonsulfated forms. [Thr6]- bradykinin and Des-Arg-[Thr6]-bradykinin are nonsulfated. {ECO:0000269|PubMed:17120273}.",GO:0005576 (extracellular region),,1: Evidence at protein level;
P84900,Phyllomedusa hypochondrialis (Orange-legged leaf frog),317381,Bradykinin-related peptide family,62,,,MOD_RES:2,,GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
P86632,Phasmahyla jandaia (Jandaia leaf frog),762504,Bradykinin-related peptide family,11,,,MOD_RES:1,,GO:0006952 (defense response); GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
P84901,Phyllomedusa hypochondrialis (Orange-legged leaf frog),317381,Bradykinin-related peptide family,11,,,MOD_RES:1,,GO:0006952 (defense response); GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
Q7LZ52,Phyllomedusa rohdei (Rohde's leaf frog),8394,Bradykinin-related peptide family,11,,,MOD_RES:1,,GO:0006952 (defense response); GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
P84773,Amia calva (Bowfin),7924,Bradykinin-related peptide family,9,,,,,GO:0045776 (negative regulation of blood pressure); GO:0045986 (negative regulation of smooth muscle contraction); GO:0045777 (positive regulation of blood pressure); GO:0045987 (positive regulation of smooth muscle contraction); GO:0042310 (vasoconstriction); GO:0042311 (vasodilation); GO:0005615 (extracellular space),,1: Evidence at protein level;
P84774,Lepisosteus osseus (Long-nosed gar) (Esox osseus),34771,Bradykinin-related peptide family,9,,,,,GO:0045986 (negative regulation of smooth muscle contraction); GO:0045987 (positive regulation of smooth muscle contraction); GO:0042310 (vasoconstriction); GO:0042311 (vasodilation); GO:0005615 (extracellular space),,1: Evidence at protein level;
P12797,Megascolia flavifrons (Garden dagger wasp) (Solitary wasp),7437,Bradykinin-related peptide family,11,,,,,GO:0045776 (negative regulation of blood pressure); GO:0045987 (positive regulation of smooth muscle contraction); GO:0005615 (extracellular space),,1: Evidence at protein level;
P0DM76,Nephila clavipes (Golden silk orbweaver),6915,Bradykinin-related peptide family,9,,LD(50) is 54 pmoles/mg when injected into honeybees. Dose that causes muscle constriction (ED(50)) is 0.3 uM. Dose that causes muscle relaxation (ED(50)) is 0.2 uM. {ECO:0000269|PubMed:16202476}.,,,GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
Q9PRZ1,Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri),8022,Bradykinin-related peptide family,10,,,,,GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
P42717,Parapolybia indica (Lesser paper wasp),31921,Bradykinin-related peptide family,13,,,MOD_RES:1,,GO:0008217 (regulation of blood pressure); GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
P85873,Polistes major (Neotropical social wasp),91420,Bradykinin-related peptide family,11,,,,,GO:0008217 (regulation of blood pressure); GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
Q7M3T3,Vespa mandarinia (Asian giant hornet),7446,Bradykinin-related peptide family,12,,,MOD_RES:1,,GO:0008217 (regulation of blood pressure); GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
P57672,Vespula maculifrons (Eastern yellow jacket) (Wasp),7453,Bradykinin-related peptide family,17,,,CARBOHYD:2,,GO:0008217 (regulation of blood pressure); GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
Q7M3T2,Vespa xanthoptera (Japanese yellow hornet) (Vespa simillima xanthoptera),7448,Bradykinin-related peptide family,12,,,,,GO:0008217 (regulation of blood pressure); GO:0042311 (vasodilation); GO:0005576 (extracellular region),,1: Evidence at protein level;
P59866,Hottentotta tamulus sindicus (Scorpion) (Buthus sindicus),42519,,34,,,,,GO:0005576 (extracellular region),,1: Evidence at protein level;
P0C2K3,Loxosceles gaucho (Spider),58216,Arthropod phospholipase D family,36,fragment,,,Contains 2 disulfide bonds. {ECO:0000250}.,GO:0005576 (extracellular region); GO:0046872 (metal ion binding); GO:0070290 (N-acylphosphatidylethanolamine-specific phospholipase D activity); GO:0004630 (phospholipase D activity),GO:0046872 (metal ion binding); GO:0070290 (N-acylphosphatidylethanolamine-specific phospholipase D activity); GO:0004630 (phospholipase D activity),1: Evidence at protein level;
